ctime,datid,datname,pid,leader_pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query_id,query,backend_type
1683036397.542069,,,2595,,,,"",,,,2023-05-02 07:00:48.61415-07,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1683036397.542069,,,2597,,10,postgres,"",,,,2023-05-02 07:00:48.616454-07,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1683036397.542069,22501,dbt2,3836,,10,postgres,psql,::1,,54552,2023-05-02 07:06:37.536519-07,2023-05-02 07:06:37.542069-07,2023-05-02 07:06:37.542069-07,2023-05-02 07:06:37.54207-07,,,active,,33971810,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",client backend
1683036397.542069,,,2593,,,,"",,,,2023-05-02 07:00:48.612162-07,,,,Activity,BgWriterMain,,,,,"",background writer
1683036397.542069,,,2592,,,,"",,,,2023-05-02 07:00:48.611152-07,,,,Timeout,CheckpointWriteDelay,,,,,"",checkpointer
1683036397.542069,,,2594,,,,"",,,,2023-05-02 07:00:48.613192-07,,,,Activity,WalWriterMain,,,,,"",walwriter
1683036457.621591,,,2595,,,,"",,,,2023-05-02 07:00:48.61415-07,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1683036457.621591,,,2597,,10,postgres,"",,,,2023-05-02 07:00:48.616454-07,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1683036457.621591,22501,dbt2,3913,,10,postgres,dbt2-client,::1,,54592,2023-05-02 07:06:37.882225-07,2023-05-02 07:07:37.610662-07,2023-05-02 07:07:37.610829-07,2023-05-02 07:07:37.610829-07,IO,DataFileRead,active,33989333,33989331,,"SELECT * FROM delivery($1, $2)",client backend
1683036457.621591,22501,dbt2,3914,,10,postgres,dbt2-client,::1,,54598,2023-05-02 07:06:37.886556-07,2023-05-02 07:07:37.611005-07,2023-05-02 07:07:37.614109-07,2023-05-02 07:07:37.61411-07,IO,WALSync,active,33989334,,,COMMIT,client backend
1683036457.621591,22501,dbt2,3917,,10,postgres,dbt2-client,::1,,54618,2023-05-02 07:06:37.887757-07,2023-05-02 07:07:37.618405-07,2023-05-02 07:07:37.619584-07,2023-05-02 07:07:37.619585-07,LWLock,WALWrite,active,33989336,,,COMMIT,client backend
1683036457.621591,22501,dbt2,3916,,10,postgres,dbt2-client,::1,,54612,2023-05-02 07:06:37.885513-07,2023-05-02 07:07:37.614212-07,2023-05-02 07:07:37.615007-07,2023-05-02 07:07:37.615007-07,LWLock,WALWrite,active,33989335,,,COMMIT,client backend
1683036457.621591,22501,dbt2,3941,,10,postgres,psql,::1,,44950,2023-05-02 07:07:37.549899-07,2023-05-02 07:07:37.621591-07,2023-05-02 07:07:37.621591-07,2023-05-02 07:07:37.621592-07,,,active,,33989333,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",client backend
1683036457.621591,22501,dbt2,3940,,10,postgres,psql,::1,,44938,2023-05-02 07:07:37.550346-07,2023-05-02 07:07:37.622068-07,2023-05-02 07:07:37.622068-07,2023-05-02 07:07:37.622069-07,,,active,,33989333,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_database) TO STDOUT (FORMAT CSV);",client backend
1683036457.621591,,,2593,,,,"",,,,2023-05-02 07:00:48.612162-07,,,,Activity,BgWriterMain,,,,,"",background writer
1683036457.621591,,,2592,,,,"",,,,2023-05-02 07:00:48.611152-07,,,,Timeout,CheckpointWriteDelay,,,,,"",checkpointer
