ctime,datname,nspname,relname,locktype,database,relation,page,tuple,virtualxid,transactionid,classid,objid,objsubid,virtualtransaction,pid,mode,granted,fastpath,waitstart
1683036397.581297,dbt2,pg_catalog,pg_namespace,relation,22501,2615,,,,,,,,4/53,3838,AccessShareLock,t,t,
1683036397.581297,dbt2,pg_catalog,pg_namespace_nspname_index,relation,22501,2684,,,,,,,,4/53,3838,AccessShareLock,t,t,
1683036397.581297,dbt2,pg_catalog,pg_namespace_oid_index,relation,22501,2685,,,,,,,,4/53,3838,AccessShareLock,t,t,
1683036457.642997,dbt2,public,customer,relation,22501,22508,,,,,,,,3/21650,3913,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,customer,relation,22501,22508,,,,,,,,5/4735,3917,AccessShareLock,t,t,
1683036457.642997,dbt2,public,customer,relation,22501,22508,,,,,,,,6/4724,3916,AccessShareLock,t,t,
1683036457.642997,dbt2,public,customer,relation,22501,22508,,,,,,,,4/4771,3914,AccessShareLock,t,t,
1683036457.642997,dbt2,public,customer,relation,22501,22508,,,,,,,,3/21650,3913,AccessShareLock,t,t,
1683036457.642997,dbt2,public,district,relation,22501,22505,,,,,,,,6/4724,3916,AccessShareLock,t,t,
1683036457.642997,dbt2,public,district,relation,22501,22505,,,,,,,,6/4724,3916,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,district,relation,22501,22505,,,,,,,,3/21650,3913,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,district,relation,22501,22505,,,,,,,,5/4735,3917,AccessShareLock,t,t,
1683036457.642997,dbt2,public,district,relation,22501,22505,,,,,,,,5/4735,3917,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,district,relation,22501,22505,,,,,,,,4/4771,3914,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,district,relation,22501,22505,,,,,,,,4/4771,3914,AccessShareLock,t,t,
1683036457.642997,dbt2,public,history,relation,22501,22513,,,,,,,,3/21650,3913,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,i_customer,relation,22501,22568,,,,,,,,3/21650,3913,AccessShareLock,t,t,
1683036457.642997,dbt2,public,i_orders,relation,22501,22567,,,,,,,,5/4735,3917,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,item,relation,22501,22525,,,,,,,,4/4771,3914,AccessShareLock,t,t,
1683036457.642997,dbt2,public,item,relation,22501,22525,,,,,,,,6/4724,3916,AccessShareLock,t,t,
1683036457.642997,dbt2,public,new_order,relation,22501,22516,,,,,,,,4/4771,3914,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,new_order,relation,22501,22516,,,,,,,,5/4735,3917,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,new_order,relation,22501,22516,,,,,,,,6/4724,3916,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,order_line,relation,22501,22522,,,,,,,,4/4771,3914,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,order_line,relation,22501,22522,,,,,,,,6/4724,3916,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,orders,relation,22501,22519,,,,,,,,5/4735,3917,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,orders,relation,22501,22519,,,,,,,,4/4771,3914,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,orders,relation,22501,22519,,,,,,,,6/4724,3916,RowExclusiveLock,t,t,
1683036457.642997,dbt2,pg_catalog,pg_index,relation,22501,2610,,,,,,,,8/4,3944,AccessShareLock,t,t,
1683036457.642997,dbt2,pg_catalog,pg_index,relation,22501,2610,,,,,,,,9/2,3943,AccessShareLock,t,t,
1683036457.642997,dbt2,pg_catalog,pg_index_indexrelid_index,relation,22501,2679,,,,,,,,8/4,3944,AccessShareLock,t,t,
1683036457.642997,dbt2,pg_catalog,pg_index_indrelid_index,relation,22501,2678,,,,,,,,8/4,3944,AccessShareLock,t,t,
1683036457.642997,dbt2,pg_catalog,pg_namespace,relation,22501,2615,,,,,,,,9/2,3943,AccessShareLock,t,t,
1683036457.642997,dbt2,pg_catalog,pg_namespace,relation,22501,2615,,,,,,,,7/12,3942,AccessShareLock,t,t,
1683036457.642997,dbt2,pg_catalog,pg_namespace,relation,22501,2615,,,,,,,,8/4,3944,AccessShareLock,t,t,
1683036457.642997,dbt2,pg_catalog,pg_namespace_nspname_index,relation,22501,2684,,,,,,,,7/12,3942,AccessShareLock,t,t,
1683036457.642997,dbt2,pg_catalog,pg_namespace_oid_index,relation,22501,2685,,,,,,,,7/12,3942,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_customer,relation,22501,22543,,,,,,,,3/21650,3913,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_customer,relation,22501,22543,,,,,,,,5/4735,3917,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_customer,relation,22501,22543,,,,,,,,6/4724,3916,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_customer,relation,22501,22543,,,,,,,,4/4771,3914,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_customer,relation,22501,22543,,,,,,,,3/21650,3913,RowExclusiveLock,t,t,
