ctime,relid,indexrelid,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,relid,indexrelid,schemaname,relname,indexrelname,idx_blks_read,idx_blks_hit
1683036397.593887,22525,22563,public,item,pk_item,77523,77460,77460,22525,22563,public,item,pk_item,417,154631
1683036397.593887,22502,22539,public,warehouse,pk_warehouse,14827,14827,14827,22502,22539,public,warehouse,pk_warehouse,3,14829
1683036397.593887,22519,22567,public,orders,i_orders,656,94568,90454,22519,22567,public,orders,i_orders,6245,21733
1683036397.593887,22519,22548,public,orders,pk_orders,6411,6412,6412,22519,22548,public,orders,pk_orders,127,59684
1683036397.593887,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,490,490,490,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,20,1027
1683036397.593887,1247,2703,pg_catalog,pg_type,pg_type_oid_index,950,945,945,1247,2703,pg_catalog,pg_type,pg_type_oid_index,13,1962
1683036397.593887,1247,2704,pg_catalog,pg_type,pg_type_typname_nsp_index,9,8,8,1247,2704,pg_catalog,pg_type,pg_type_typname_nsp_index,4,15
1683036397.593887,22505,22541,public,district,pk_district,22885,22885,22885,22505,22541,public,district,pk_district,5,45775
1683036397.593887,2836,2837,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,2836,2837,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0
1683036397.593887,4171,4172,pg_toast,pg_toast_1247,pg_toast_1247_index,0,0,0,4171,4172,pg_toast,pg_toast_1247,pg_toast_1247_index,0,0
1683036397.593887,2830,2831,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,2830,2831,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0
1683036397.593887,2832,2833,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,2832,2833,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0
1683036397.593887,4157,4158,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0,0,4157,4158,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0
1683036397.593887,4159,4160,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0,0,4159,4160,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0
1683036397.593887,2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,110,230,230,2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,8,163
1683036397.593887,3439,3440,pg_toast,pg_toast_3381,pg_toast_3381_index,0,0,0,3439,3440,pg_toast,pg_toast_3381,pg_toast_3381_index,0,0
1683036397.593887,3430,3431,pg_toast,pg_toast_3429,pg_toast_3429_index,0,0,0,3430,3431,pg_toast,pg_toast_3429,pg_toast_3429_index,0,0
1683036397.593887,2838,2839,pg_toast,pg_toast_2618,pg_toast_2618_index,29,101,101,2838,2839,pg_toast,pg_toast_2618,pg_toast_2618_index,8,42
1683036397.593887,2336,2337,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,2336,2337,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0
1683036397.593887,4145,4146,pg_toast,pg_toast_3466,pg_toast_3466_index,0,0,0,4145,4146,pg_toast,pg_toast_3466,pg_toast_3466_index,0,0
1683036397.593887,2834,2835,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,2834,2835,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0
1683036397.593887,4163,4164,pg_toast,pg_toast_2615,pg_toast_2615_index,0,0,0,4163,4164,pg_toast,pg_toast_2615,pg_toast_2615_index,0,0
1683036397.593887,3118,3119,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0,0,3118,3119,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0
