Linux 6.1.12-200.fc37.x86_64 (lithium) 	05/02/2023 	_x86_64_	(4 CPU)

07:06:37 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:07:37 AM     all     16.64      0.00     20.06     21.07      2.15     40.08
07:08:37 AM     all     16.27      0.00     18.60     20.62      1.26     43.25
07:09:37 AM     all     16.73      0.00     19.47     19.06      2.08     42.67
07:10:37 AM     all     16.57      0.00     18.56     19.43      1.69     43.75
07:11:37 AM     all     16.55      0.00     19.45     19.27      1.54     43.20
07:12:37 AM     all     16.56      0.00     18.55     19.00      1.39     44.51
07:13:37 AM     all     16.87      0.00     18.62     18.44      1.37     44.71
07:14:37 AM     all     17.03      0.00     19.07     18.52      1.25     44.13
07:15:37 AM     all     16.84      0.00     19.51     18.89      1.50     43.26
07:16:37 AM     all     16.38      0.00     22.16     17.63      1.76     42.06
07:17:37 AM     all     16.00      0.00     18.68     18.74      1.16     45.42
07:18:37 AM     all     16.27      0.00     18.12     19.10      1.37     45.14
07:19:37 AM     all     16.49      0.00     18.78     18.49      1.08     45.16
07:20:37 AM     all     16.60      0.00     18.37     18.52      1.14     45.37
07:21:37 AM     all     16.85      0.00     18.89     19.00      1.25     44.01
07:22:37 AM     all     16.89      0.00     18.77     18.74      1.15     44.45
07:23:37 AM     all     16.52      0.00     18.65     18.70      1.33     44.79
07:24:37 AM     all     17.35      0.00     18.56     18.55      1.15     44.38
07:25:37 AM     all     16.57      0.00     19.02     18.66      1.23     44.52
07:26:37 AM     all     16.87      0.00     18.90     18.30      1.17     44.76
07:27:37 AM     all     17.66      0.00     18.61     18.31      1.13     44.28
07:28:37 AM     all     17.13      0.00     18.55     18.35      1.33     44.64
07:29:37 AM     all     16.74      0.00     18.80     18.57      1.19     44.70
07:30:37 AM     all     16.74      0.00     17.97     18.17      0.98     46.13
07:31:37 AM     all     16.91      0.00     18.55     18.08      1.07     45.39
07:32:37 AM     all     17.13      0.00     18.30     17.93      0.93     45.72
07:33:37 AM     all     17.00      0.00     20.10     17.32      1.40     44.18
07:34:37 AM     all     17.41      0.00     18.56     18.13      1.35     44.55
07:35:37 AM     all     16.97      0.00     18.11     18.83      1.11     44.97
07:36:37 AM     all     17.12      0.00     17.96     18.22      1.01     45.70
07:37:37 AM     all     17.03      0.00     18.19     18.39      1.42     44.97
07:38:37 AM     all     16.53      0.00     18.23     18.80      1.26     45.18
07:39:37 AM     all     16.69      0.00     18.11     18.60      1.03     45.57
07:40:37 AM     all     16.80      0.00     18.37     18.31      1.19     45.33
07:41:37 AM     all     17.56      0.00     18.21     17.94      0.99     45.29
07:42:37 AM     all     16.94      0.00     18.20     18.12      1.07     45.67
07:43:37 AM     all     17.23      0.00     18.33     18.25      1.06     45.14
07:44:37 AM     all     16.52      0.00     18.33     17.88      1.16     46.11
07:45:37 AM     all     17.30      0.00     18.48     17.87      2.04     44.31
07:46:37 AM     all     16.50      6.24     18.78     17.03      1.93     39.52
07:47:37 AM     all     16.87      0.00     17.93     18.31      1.51     45.38
07:48:37 AM     all     16.93      0.00     18.61     18.36      2.08     44.02
07:49:37 AM     all     16.47      0.00     17.79     17.92      2.45     45.36
07:50:37 AM     all     16.53      0.00     18.34     17.93      1.67     45.53
07:51:37 AM     all     16.37      0.00     19.83     17.70      1.99     44.11
07:52:37 AM     all     15.89      0.00     19.02     17.89      1.98     45.22
07:53:37 AM     all     17.51      0.00     18.73     18.01      1.92     43.83
07:54:37 AM     all     16.65      0.00     18.60     18.15      1.44     45.16
07:55:37 AM     all     16.92      0.00     18.30     18.51      1.16     45.11
07:56:37 AM     all     16.94      0.00     18.68     18.06      1.17     45.13
07:57:37 AM     all     17.82      0.00     19.43     17.45      1.36     43.95
07:58:37 AM     all     17.33      0.00     18.68     17.43      2.00     44.56
07:59:37 AM     all     16.49      0.00     18.22     18.13      2.28     44.89
08:00:37 AM     all     14.10      0.00     17.06     20.69      2.22     45.93
08:01:37 AM     all     15.98      0.00     17.44     18.52      1.49     46.56
08:02:37 AM     all     16.47      0.00     17.76     17.97      2.33     45.47
08:03:37 AM     all     16.60      0.00     18.55     18.20      2.11     44.54
08:04:37 AM     all     15.08      0.00     21.59     18.36      2.41     42.56
08:05:37 AM     all     16.73      0.00     19.28     17.96      1.51     44.51
08:06:37 AM     all     16.57      0.00     18.13     17.75      1.64     45.91
