# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;dkB/s;areq-sz;aqu-sz;await;%util
lithium;60;1683036457;vda;3524.88;8797.00;58660.80;0.00;19.14;4.27;1.05;97.47
lithium;60;1683036457;vda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036457;vda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036457;vda3;3524.88;8797.00;58660.80;0.00;19.14;3.72;1.05;97.47
lithium;60;1683036457;zram0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036517;vda;4052.57;7026.47;70369.80;0.00;19.10;4.07;0.85;98.05
lithium;60;1683036517;vda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036517;vda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036517;vda3;4052.57;7026.47;70369.80;0.00;19.10;3.46;0.85;98.05
lithium;60;1683036517;zram0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036577;vda;3336.07;4412.53;65315.33;0.00;20.90;4.35;1.13;96.85
lithium;60;1683036577;vda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036577;vda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036577;vda3;3336.07;4412.53;65315.33;0.00;20.90;3.77;1.13;96.85
lithium;60;1683036577;zram0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036637;vda;3985.52;4671.27;80239.00;0.00;21.30;4.27;0.92;98.06
lithium;60;1683036637;vda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036637;vda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036637;vda3;3985.52;4671.27;80239.00;0.00;21.30;3.66;0.92;98.06
lithium;60;1683036637;zram0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036697;vda;3971.07;3481.13;85544.13;0.00;22.42;5.64;1.27;97.67
lithium;60;1683036697;vda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036697;vda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036697;vda3;3971.07;3481.13;85544.13;0.00;22.42;5.03;1.27;97.67
lithium;60;1683036697;zram0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036757;vda;3999.18;3873.47;81424.73;0.00;21.33;5.06;1.11;97.78
lithium;60;1683036757;vda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036757;vda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036757;vda3;3999.18;3873.47;81424.73;0.00;21.33;4.44;1.11;97.78
lithium;60;1683036757;zram0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036817;vda;3744.67;3104.93;75382.93;0.00;20.96;3.67;0.82;96.99
lithium;60;1683036817;vda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036817;vda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036817;vda3;3744.67;3104.93;75382.93;0.00;20.96;3.07;0.82;96.99
lithium;60;1683036817;zram0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036877;vda;3794.28;2572.73;82829.13;0.00;22.51;4.61;1.05;97.42
lithium;60;1683036877;vda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036877;vda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036877;vda3;3794.28;2572.73;82829.13;0.00;22.51;4.00;1.05;97.42
lithium;60;1683036877;zram0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036937;vda;4497.07;11293.73;89835.87;0.00;22.49;6.21;1.24;97.52
lithium;60;1683036937;vda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036937;vda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036937;vda3;4497.07;11293.73;89835.87;0.00;22.49;5.59;1.24;97.52
lithium;60;1683036937;zram0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036997;vda;4677.85;21490.93;92962.87;0.00;24.47;6.05;1.17;96.76
lithium;60;1683036997;vda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036997;vda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036997;vda3;4677.85;21490.93;92962.87;0.00;24.47;5.46;1.17;96.76
lithium;60;1683036997;zram0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683037057;vda;3965.65;931.13;93097.00;0.00;23.71;5.02;1.11;97.19
lithium;60;1683037057;vda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683037057;vda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683037057;vda3;3965.65;931.13;93097.00;0.00;23.71;4.40;1.11;97.19
lithium;60;1683037057;zram0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lithium;60;1683037117;vda;3619.23;1425.80;83935.67;0.00;23.59;5.17;1.25;97.59
