ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1682725183.398375,0,,0,0,0,3677,73709,25641,18233,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-04-28 07:35:32.653676-07
1682725183.398375,14779,postgres,0,1562,0,11058,207282,867544,91844,0,0,0,0,0,0,0,,,0,0,19471.904,11241.441,0,239,0,0,0,2023-04-28 07:35:32.653494-07
1682725183.398375,22501,dbt2,2,4277330,19308,82760177,813211440,230027684,185019340,25968541,48058870,1693164,0,0,0,20,,,0,0,681396674.832,625409446.643,19964836.549,1936,749,0,0,2023-04-28 07:35:51.975166-07
1682725183.398375,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725183.398375,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725243.383977,0,,0,0,0,3702,74674,25909,18469,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-04-28 07:35:32.653676-07
1682725243.383977,14779,postgres,0,1564,0,11058,207365,868785,91858,0,0,0,0,0,0,0,,,0,0,19471.904,11241.441,0,239,0,0,0,2023-04-28 07:35:32.653494-07
1682725243.383977,22501,dbt2,2,4285856,19343,82893332,814691661,230453717,185390239,26019321,48152497,1696476,0,0,0,20,,,0,0,681455888.348,625455580.346,19971954.636,1974,749,0,0,2023-04-28 07:35:51.975166-07
1682725243.383977,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725243.383977,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725303.407780,0,,0,0,0,3727,74826,25983,18511,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-04-28 07:35:32.653676-07
1682725303.407780,14779,postgres,0,1566,0,11090,207416,870026,91872,0,0,0,0,0,0,0,,,0,0,19471.904,11241.441,0,239,0,0,0,2023-04-28 07:35:32.653494-07
1682725303.407780,22501,dbt2,3,4294270,19372,83020397,816132583,230857732,185741261,26068980,48243659,1699678,0,0,0,20,,,0,0,681516150.931,625502590.731,19979296.984,1979,749,0,0,2023-04-28 07:35:51.975166-07
1682725303.407780,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725303.407780,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725363.458004,0,,0,0,0,3752,75028,26073,18565,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-04-28 07:35:32.653676-07
1682725363.458004,14779,postgres,0,1568,0,11122,207467,871267,91886,0,0,0,0,0,0,0,,,0,0,19471.904,11241.441,0,239,0,0,0,2023-04-28 07:35:32.653494-07
1682725363.458004,22501,dbt2,4,4301448,19409,83142584,817432403,231229678,186065350,26112638,48326418,1702740,0,0,0,20,,,0,0,681577083.532,625549907.063,19986792.645,1986,749,0,0,2023-04-28 07:35:51.975166-07
1682725363.458004,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725363.458004,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725423.461274,0,,0,0,0,3777,75202,26152,18612,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-04-28 07:35:32.653676-07
1682725423.461274,14779,postgres,0,1570,0,11154,207518,872508,91900,0,0,0,0,0,0,0,,,0,0,19471.904,11241.441,0,239,0,0,0,2023-04-28 07:35:32.653494-07
1682725423.461274,22501,dbt2,3,4308518,19445,83266204,818640518,231579123,186369572,26154782,48405934,1705642,0,0,0,20,,,0,0,681637653.172,625597056.594,19994217.805,1992,749,0,0,2023-04-28 07:35:51.975166-07
1682725423.461274,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725423.461274,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725483.461166,0,,0,0,0,3802,75354,26226,18654,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-04-28 07:35:32.653676-07
1682725483.461166,14779,postgres,0,1572,0,11186,207569,873749,91914,0,0,0,0,0,0,0,,,0,0,19471.904,11241.441,0,239,0,0,0,2023-04-28 07:35:32.653494-07
1682725483.461166,22501,dbt2,2,4316522,19481,83416226,820027501,231986432,186726058,26203176,48493638,1708714,0,0,0,20,,,0,0,681698083.356,625644315.068,20001505.395,1997,749,0,0,2023-04-28 07:35:51.975166-07
1682725483.461166,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725483.461166,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725543.482671,0,,0,0,0,3827,75506,26300,18696,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-04-28 07:35:32.653676-07
1682725543.482671,14779,postgres,0,1574,0,11218,207620,874990,91928,0,0,0,0,0,0,0,,,0,0,19471.904,11241.441,0,239,0,0,0,2023-04-28 07:35:32.653494-07
1682725543.482671,22501,dbt2,2,4324021,19516,83551026,821361766,232364241,187062242,26249016,48581086,1711996,0,0,0,20,,,0,0,681758579.319,625691503.839,20008801.645,2002,749,0,0,2023-04-28 07:35:51.975166-07
1682725543.482671,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725543.482671,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725603.472182,0,,0,0,0,3849,75584,26336,18720,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-04-28 07:35:32.653676-07
1682725603.472182,14779,postgres,0,1576,0,11250,207671,876231,91942,0,0,0,0,0,0,0,,,0,0,19471.904,11241.441,0,239,0,0,0,2023-04-28 07:35:32.653494-07
1682725603.472182,22501,dbt2,4,4332081,19547,83692768,822756316,232759954,187416364,26297209,48671595,1715298,0,0,0,20,,,0,0,681818675.218,625738514.643,20016063.09,2004,749,0,0,2023-04-28 07:35:51.975166-07
1682725603.472182,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725603.472182,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725663.490853,0,,0,0,0,3877,75738,26427,18763,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-04-28 07:35:32.653676-07
1682725663.490853,14779,postgres,0,1578,0,11282,207722,877472,91956,0,0,0,0,0,0,0,,,0,0,19471.904,11241.441,0,239,0,0,0,2023-04-28 07:35:32.653494-07
1682725663.490853,22501,dbt2,2,4339956,19584,83835251,824125652,233137465,187752098,26344926,48759790,1718450,0,0,0,20,,,0,0,681878680.452,625785267.457,20023333.321,2009,749,0,0,2023-04-28 07:35:51.975166-07
1682725663.490853,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725663.490853,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1682725723.466923,0,,0,0,0,3902,75890,26501,18805,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-04-28 07:35:32.653676-07
1682725723.466923,14779,postgres,0,1580,0,11314,207773,878713,91970,0,0,0,0,0,0,0,,,0,0,19471.904,11241.441,0,239,0,0,0,2023-04-28 07:35:32.653494-07
1682725723.466923,22501,dbt2,2,4347668,19611,83978076,825466578,233521572,188094420,26391556,48845432,1721482,0,0,0,20,,,0,0,681939527.26,625833057.157,20030546.203,2014,749,0,0,2023-04-28 07:35:51.975166-07
