ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1682725183.370635,3350,pg_catalog,pg_partitioned_table,0,0,0,0,0,0,0,0,3350,pg_catalog,pg_partitioned_table,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,2618,pg_catalog,pg_rewrite,437,189,170,888,698,171,170,706,2618,pg_catalog,pg_rewrite,0,0,614,626,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,4153,pg_toast,pg_toast_3118,0,0,0,0,,,,,4153,pg_toast,pg_toast_3118,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,4177,pg_toast,pg_toast_1262,0,0,0,0,,,,,4177,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,4060,pg_toast,pg_toast_3592,0,0,0,0,,,,,4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,4159,pg_toast,pg_toast_2600,0,0,0,0,,,,,4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,4165,pg_toast,pg_toast_3350,0,0,0,0,,,,,4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,4147,pg_toast,pg_toast_3079,0,0,0,0,,,,,4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,14597,information_schema,sql_features,0,0,,,0,0,0,0,14597,information_schema,sql_features,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,2753,pg_catalog,pg_opfamily,0,0,0,0,,,,,2753,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,4181,pg_toast,pg_toast_6000,0,0,0,0,,,,,4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,1247,pg_catalog,pg_type,622,78184,803,164400,0,0,0,0,1247,pg_catalog,pg_type,0,0,81020,78806,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,3601,pg_catalog,pg_ts_parser,0,0,0,0,,,,,3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,2602,pg_catalog,pg_amop,1289,46820,1674,59424,,,,,2602,pg_catalog,pg_amop,0,0,28626,57228,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,3439,pg_toast,pg_toast_3381,0,0,0,0,,,,,3439,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,6104,pg_catalog,pg_publication,0,0,0,0,,,,,6104,pg_catalog,pg_publication,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,22513,public,history,131371,1902514,,,,,,,22513,public,history,0,0,,,1845989,0,0,0,12297735,0,837944,1845989,,,,2023-04-28 15:26:41.985002-07,0,0,0,1
1682725183.370635,22502,public,warehouse,74377,44022912,193,3901262,,,,,22502,public,warehouse,0,0,3777026,3777026,0,1845992,0,1791888,100,0,0,0,,2023-04-28 16:38:15.066828-07,,2023-04-28 16:38:15.077359-07,0,127,0,127
1682725183.370635,3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,2846,pg_toast,pg_toast_2396,0,0,0,0,,,,,2846,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,4145,pg_toast,pg_toast_3466,0,0,0,0,,,,,4145,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,22528,public,stock,29525283,78460735,8742836,291815803,,,,,22528,public,stock,0,0,75905226,45945928,0,20258326,0,2577,9869006,237812,562920,0,,2023-04-28 16:27:29.788949-07,,2023-04-28 16:23:49.539953-07,0,9,0,17
