ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1650902658.661125,,0,0,0,446,216740,82932,49454,2,1,0
1650902658.661125,postgres,0,11185,76,5984,515195,4613818,178327,35,0,0
1650902658.661125,dbt2,2,6045226,27217,2422694,1114382134,314432177,218022419,37261315,69432305,2008156
1650902658.661125,template1,0,0,0,0,0,0,0,0,0,0
1650902658.661125,template0,0,0,0,0,0,0,0,0,0,0
1650902718.663528,,0,0,0,446,216936,83007,49500,2,1,0
1650902718.663528,postgres,0,11187,76,5984,515278,4615059,178341,35,0,0
1650902718.663528,dbt2,3,6075394,27348,2431397,1119684592,315874539,219127621,37445169,69771844,2019678
1650902718.663528,template1,0,0,0,0,0,0,0,0,0,0
1650902718.663528,template0,0,0,0,0,0,0,0,0,0,0
1650902778.665316,,0,0,0,446,217088,83072,49536,2,1,0
1650902778.665316,postgres,0,11189,76,5984,515361,4616300,178355,35,0,0
1650902778.665316,dbt2,2,6106275,27488,2440535,1125308312,317468109,220301718,37631873,70129240,2032360
1650902778.665316,template1,0,0,0,0,0,0,0,0,0,0
1650902778.665316,template0,0,0,0,0,0,0,0,0,0,0
1650902838.663904,,0,0,0,446,217306,83152,49587,2,1,0
1650902838.663904,postgres,0,11191,76,5984,515444,4617541,178369,35,0,0
1650902838.663904,dbt2,2,6140973,27652,2450322,1131695517,319250065,221630912,37844585,70526859,2046112
1650902838.663904,template1,0,0,0,0,0,0,0,0,0,0
1650902838.663904,template0,0,0,0,0,0,0,0,0,0,0
1650902898.665403,,0,0,0,446,217480,83222,49628,2,1,0
1650902898.665403,postgres,0,11193,76,5984,515527,4618782,178383,35,0,0
1650902898.665403,dbt2,2,6177356,27811,2489161,1138413144,321062938,223007541,38066799,70944218,2060637
1650902898.665403,template1,0,0,0,0,0,0,0,0,0,0
1650902898.665403,template0,0,0,0,0,0,0,0,0,0,0
1650902958.666605,,0,0,0,446,217654,83292,49669,2,1,0
1650902958.666605,postgres,0,11195,76,5984,515610,4620023,178397,35,0,0
1650902958.666605,dbt2,2,6210535,27966,2495856,1144645555,322756641,224273246,38269324,71323331,2073769
1650902958.666605,template1,0,0,0,0,0,0,0,0,0,0
1650902958.666605,template0,0,0,0,0,0,0,0,0,0,0
