# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
pgsql1.dbt2.internal;60;1650902719;nvme1n1;733.80;263.87;3359.80;4.94;0.32;0.25;0.82;60.39
pgsql1.dbt2.internal;60;1650902719;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902719;nvme1n1p2;733.80;263.87;3359.80;4.94;0.21;0.25;0.82;60.39
pgsql1.dbt2.internal;60;1650902719;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902719;nvme0n1;735.98;293.60;3379.20;4.99;0.23;0.17;0.80;58.83
pgsql1.dbt2.internal;60;1650902719;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902719;nvme0n1p2;735.98;293.60;3379.20;4.99;0.12;0.17;0.80;58.83
pgsql1.dbt2.internal;60;1650902719;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902719;md127;533.35;549.93;6545.47;13.30;0.10;0.18;1.01;53.73
pgsql1.dbt2.internal;60;1650902719;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
