# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
pgsql1.dbt2.internal;60;1650902719;-1;9.12;0.00;1.37;0.00;0.00;89.51
pgsql1.dbt2.internal;60;1650902719;0;1.40;0.00;0.27;0.00;0.00;98.33
pgsql1.dbt2.internal;60;1650902719;1;8.38;0.00;1.14;0.00;0.00;90.48
pgsql1.dbt2.internal;60;1650902719;2;12.57;0.00;2.14;0.00;0.00;85.29
pgsql1.dbt2.internal;60;1650902719;3;11.60;0.00;1.51;0.00;0.00;86.89
pgsql1.dbt2.internal;60;1650902719;4;9.76;0.00;1.41;0.00;0.00;88.83
pgsql1.dbt2.internal;60;1650902719;5;11.05;0.00;1.76;0.00;0.00;87.19
pgsql1.dbt2.internal;60;1650902779;-1;8.88;0.00;0.95;0.00;0.00;90.17
pgsql1.dbt2.internal;60;1650902779;0;0.32;0.00;0.13;0.00;0.00;99.55
pgsql1.dbt2.internal;60;1650902779;1;8.23;0.00;0.85;0.00;0.00;90.92
pgsql1.dbt2.internal;60;1650902779;2;8.72;0.00;1.04;0.00;0.00;90.24
pgsql1.dbt2.internal;60;1650902779;3;9.93;0.00;1.08;0.00;0.00;88.99
pgsql1.dbt2.internal;60;1650902779;4;11.03;0.00;1.32;0.00;0.00;87.66
pgsql1.dbt2.internal;60;1650902779;5;15.10;0.00;1.28;0.00;0.00;83.62
pgsql1.dbt2.internal;60;1650902839;-1;7.53;0.00;0.88;0.00;0.00;91.59
pgsql1.dbt2.internal;60;1650902839;0;0.26;0.00;0.07;0.00;0.00;99.67
pgsql1.dbt2.internal;60;1650902839;1;12.49;0.00;1.02;0.00;0.00;86.50
pgsql1.dbt2.internal;60;1650902839;2;8.56;0.00;1.11;0.00;0.00;90.33
pgsql1.dbt2.internal;60;1650902839;3;7.31;0.00;1.01;0.00;0.00;91.67
pgsql1.dbt2.internal;60;1650902839;4;7.73;0.00;1.05;0.00;0.00;91.23
pgsql1.dbt2.internal;60;1650902839;5;8.88;0.00;1.05;0.00;0.00;90.07
pgsql1.dbt2.internal;60;1650902899;-1;6.97;0.00;0.86;0.00;0.00;92.17
pgsql1.dbt2.internal;60;1650902899;0;0.10;0.00;0.07;0.00;0.00;99.83
pgsql1.dbt2.internal;60;1650902899;1;7.08;0.00;0.75;0.00;0.00;92.17
pgsql1.dbt2.internal;60;1650902899;2;12.35;0.00;1.32;0.00;0.00;86.32
pgsql1.dbt2.internal;60;1650902899;3;8.41;0.00;1.13;0.00;0.00;90.46
pgsql1.dbt2.internal;60;1650902899;4;8.04;0.00;1.14;0.00;0.00;90.82
pgsql1.dbt2.internal;60;1650902899;5;5.86;0.00;0.73;0.00;0.00;93.41
pgsql1.dbt2.internal;60;1650902959;-1;7.02;0.00;0.77;0.00;0.00;92.21
pgsql1.dbt2.internal;60;1650902959;0;0.08;0.00;0.03;0.00;0.00;99.88
pgsql1.dbt2.internal;60;1650902959;1;6.58;0.00;0.85;0.00;0.00;92.57
pgsql1.dbt2.internal;60;1650902959;2;8.54;0.00;1.00;0.00;0.00;90.46
pgsql1.dbt2.internal;60;1650902959;3;14.07;0.00;1.26;0.00;0.00;84.67
pgsql1.dbt2.internal;60;1650902959;4;6.98;0.00;0.81;0.00;0.00;92.21
pgsql1.dbt2.internal;60;1650902959;5;5.87;0.00;0.70;0.00;0.00;93.43
