# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
pgsql1.dbt2.internal;60;1650902719;lo;18.28;18.28;7.01;7.01;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902719;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902719;eth1;1601.02;1533.90;367.14;692.42;0.00;0.00;0.00;0.06
pgsql1.dbt2.internal;60;1650902779;lo;26.58;26.58;8.04;8.04;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902779;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902779;eth1;1628.02;1561.82;372.73;701.48;0.00;0.00;0.00;0.06
pgsql1.dbt2.internal;60;1650902839;lo;28.37;28.37;8.33;8.33;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902839;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902839;eth1;1820.27;1743.57;418.18;786.91;0.00;0.00;0.00;0.06
pgsql1.dbt2.internal;60;1650902899;lo;28.53;28.53;8.37;8.37;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902899;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902899;eth1;1903.80;1824.82;437.46;822.73;0.00;0.00;0.00;0.07
pgsql1.dbt2.internal;60;1650902959;lo;25.48;25.48;7.90;7.90;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902959;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650902959;eth1;1747.58;1675.72;401.25;755.16;0.00;0.00;0.00;0.06
