# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
lithium;60;1682725243;-1;6.29;0.00;9.26;11.23;0.80;72.42
lithium;60;1682725243;0;5.44;0.00;7.93;9.89;0.72;76.02
lithium;60;1682725243;1;5.84;0.00;9.44;10.59;0.80;73.33
lithium;60;1682725243;2;6.04;0.00;10.11;11.87;0.74;71.24
lithium;60;1682725243;3;7.86;0.00;9.56;12.57;0.94;69.07
lithium;60;1682725303;-1;5.98;0.00;8.97;11.52;0.82;72.71
lithium;60;1682725303;0;5.35;0.00;8.25;10.31;0.80;75.29
lithium;60;1682725303;1;6.70;0.00;8.43;12.35;0.82;71.71
lithium;60;1682725303;2;6.60;0.00;10.46;13.18;0.84;68.93
lithium;60;1682725303;3;5.28;0.00;8.76;10.25;0.80;74.90
lithium;60;1682725363;-1;6.16;0.00;9.79;11.22;0.56;72.27
lithium;60;1682725363;0;5.77;0.00;10.16;10.45;0.54;73.09
lithium;60;1682725363;1;3.80;0.00;7.75;7.26;0.55;80.64
lithium;60;1682725363;2;10.10;0.00;12.21;17.58;0.61;59.51
lithium;60;1682725363;3;5.00;0.00;9.05;9.62;0.55;75.78
lithium;60;1682725423;-1;6.01;0.00;9.68;11.55;0.50;72.26
lithium;60;1682725423;0;4.11;0.00;8.57;8.84;0.49;78.00
lithium;60;1682725423;1;5.60;0.00;9.79;10.35;0.54;73.72
lithium;60;1682725423;2;8.42;0.00;9.89;16.02;0.47;65.21
lithium;60;1682725423;3;5.90;0.00;10.49;11.00;0.52;72.09
lithium;60;1682725483;-1;5.96;0.00;9.57;11.54;0.63;72.30
lithium;60;1682725483;0;5.57;0.00;9.01;11.04;0.52;73.85
lithium;60;1682725483;1;5.04;0.00;8.74;9.69;0.59;75.95
lithium;60;1682725483;2;8.46;0.00;12.07;16.31;0.77;62.40
lithium;60;1682725483;3;4.77;0.00;8.47;9.14;0.65;76.98
lithium;60;1682725543;-1;6.04;0.00;9.79;11.39;0.63;72.15
lithium;60;1682725543;0;6.66;0.00;10.06;12.85;0.62;69.81
lithium;60;1682725543;1;5.45;0.00;9.95;11.00;0.57;73.03
lithium;60;1682725543;2;7.31;0.00;9.67;13.33;0.69;69.00
lithium;60;1682725543;3;4.73;0.00;9.47;8.40;0.64;76.76
lithium;60;1682725603;-1;5.99;0.00;9.72;11.49;0.90;71.89
lithium;60;1682725603;0;6.14;0.00;9.77;11.44;0.84;71.82
lithium;60;1682725603;1;6.96;0.00;9.35;13.64;0.84;69.21
lithium;60;1682725603;2;5.04;0.00;10.15;9.68;0.97;74.15
lithium;60;1682725603;3;5.83;0.00;9.63;11.21;0.94;72.39
lithium;60;1682725663;-1;6.09;0.00;9.77;11.56;0.69;71.88
lithium;60;1682725663;0;5.25;0.00;8.14;9.96;0.65;75.99
lithium;60;1682725663;1;3.41;0.00;8.58;7.59;0.57;79.85
lithium;60;1682725663;2;7.34;0.00;11.12;14.19;0.74;66.61
lithium;60;1682725663;3;8.37;0.00;11.26;14.52;0.79;65.07
lithium;60;1682725723;-1;5.96;0.00;9.91;11.77;0.66;71.70
lithium;60;1682725723;0;4.55;0.00;9.99;9.04;0.60;75.81
lithium;60;1682725723;1;4.43;0.00;8.69;9.22;0.62;77.05
lithium;60;1682725723;2;8.42;0.00;10.95;15.64;0.76;64.23
lithium;60;1682725723;3;6.47;0.00;10.01;13.20;0.66;69.66
lithium;60;1682725783;-1;5.93;0.00;9.87;11.48;0.63;72.09
lithium;60;1682725783;0;3.38;0.00;7.15;6.50;0.58;82.38
lithium;60;1682725783;1;6.41;0.00;10.83;12.22;0.64;69.90
lithium;60;1682725783;2;6.89;0.00;10.55;13.35;0.65;68.55
lithium;60;1682725783;3;7.04;0.00;10.97;13.85;0.64;67.50
lithium;60;1682725843;-1;6.01;0.00;9.85;11.68;0.73;71.73
lithium;60;1682725843;0;5.31;0.00;8.02;11.05;0.72;74.91
lithium;60;1682725843;1;7.27;0.00;11.12;14.03;0.74;66.83
lithium;60;1682725843;2;6.64;0.00;10.38;12.24;0.72;70.01
lithium;60;1682725843;3;4.83;0.00;9.87;9.40;0.74;75.16
lithium;60;1682725903;-1;5.86;0.00;9.77;12.04;1.03;71.30
lithium;60;1682725903;0;5.54;0.00;6.69;11.70;1.03;75.03
lithium;60;1682725903;1;5.72;0.00;9.54;11.01;0.94;72.79
lithium;60;1682725903;2;7.44;0.00;12.80;15.93;1.07;62.76
lithium;60;1682725903;3;4.75;0.00;10.06;9.54;1.07;74.57
lithium;60;1682725963;-1;6.62;0.00;9.81;11.24;0.61;71.72
lithium;60;1682725963;0;7.09;0.00;9.81;13.18;0.55;69.38
lithium;60;1682725963;1;5.51;0.00;8.34;9.54;0.69;75.92
lithium;60;1682725963;2;8.35;0.00;11.10;11.64;0.61;68.31
lithium;60;1682725963;3;5.56;0.00;9.99;10.59;0.60;73.26
lithium;60;1682726023;-1;6.05;0.00;9.84;11.52;0.79;71.81
lithium;60;1682726023;0;4.82;0.00;7.23;9.12;0.79;78.05
lithium;60;1682726023;1;4.84;0.00;9.53;9.86;0.70;75.06
lithium;60;1682726023;2;7.52;0.00;13.35;14.38;0.79;63.97
lithium;60;1682726023;3;7.02;0.00;9.28;12.72;0.87;70.11
lithium;60;1682726083;-1;6.02;0.00;9.88;11.46;0.60;72.04
lithium;60;1682726083;0;4.39;0.00;8.78;8.83;0.55;77.44
lithium;60;1682726083;1;5.47;0.00;9.23;10.15;0.67;74.47
lithium;60;1682726083;2;7.04;0.00;10.86;13.76;0.55;67.79
lithium;60;1682726083;3;7.17;0.00;10.64;13.11;0.64;68.45
lithium;60;1682726143;-1;5.94;0.00;9.87;11.62;0.92;71.65
