# hostname;interval;timestamp;pswpin/s;pswpout/s
lithium;60;1682725243;0.00;0.00
lithium;60;1682725303;0.00;0.00
lithium;60;1682725363;0.00;0.00
lithium;60;1682725423;0.00;0.00
lithium;60;1682725483;0.00;0.00
lithium;60;1682725543;0.00;0.00
lithium;60;1682725603;0.00;0.00
lithium;60;1682725663;0.00;0.00
lithium;60;1682725723;0.00;0.00
lithium;60;1682725783;0.00;0.00
lithium;60;1682725843;0.00;0.00
lithium;60;1682725903;0.00;123.18
lithium;60;1682725963;0.00;0.00
lithium;60;1682726023;0.00;100.40
lithium;60;1682726083;0.00;49.83
lithium;60;1682726143;0.00;17.35
lithium;60;1682726203;0.00;4.17
lithium;60;1682726263;0.00;0.00
lithium;60;1682726323;0.00;0.00
lithium;60;1682726383;0.00;0.00
lithium;60;1682726443;0.00;0.00
lithium;60;1682726503;0.00;0.00
lithium;60;1682726563;0.00;0.00
lithium;60;1682726623;0.00;0.00
lithium;60;1682726683;0.00;0.00
lithium;60;1682726743;0.00;0.00
lithium;60;1682726803;0.00;0.00
lithium;60;1682726863;0.00;0.00
lithium;60;1682726923;0.00;0.00
lithium;60;1682726983;0.00;0.00
lithium;60;1682727043;0.00;0.00
lithium;60;1682727103;0.00;0.00
lithium;60;1682727163;0.00;0.00
lithium;60;1682727223;0.00;0.00
lithium;60;1682727283;0.00;0.00
lithium;60;1682727343;0.00;0.00
lithium;60;1682727403;0.00;0.00
lithium;60;1682727463;0.00;0.00
lithium;60;1682727523;0.00;0.00
lithium;60;1682727583;0.00;0.00
lithium;60;1682727643;0.00;0.00
lithium;60;1682727703;0.00;0.00
lithium;60;1682727763;0.00;0.00
lithium;60;1682727823;0.00;0.00
lithium;60;1682727883;0.00;0.00
lithium;60;1682727943;0.00;0.00
lithium;60;1682728003;0.00;0.00
lithium;60;1682728063;0.00;0.00
lithium;60;1682728123;0.00;0.00
lithium;60;1682728183;0.00;0.00
lithium;60;1682728243;0.00;0.00
lithium;60;1682728303;0.00;0.00
lithium;60;1682728363;0.00;0.00
lithium;60;1682728423;0.00;0.00
lithium;60;1682728483;0.00;0.00
lithium;60;1682728543;0.00;0.00
lithium;60;1682728603;0.00;0.00
lithium;60;1682728663;0.00;0.00
lithium;60;1682728723;0.00;0.00
lithium;60;1682728783;0.00;0.00
