Time,USER,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,threads,fd-nr,Command
1650902718,postgres,1660,0.00,0.00,0.00,0.00,0.00,1,2.18,0.00,222780,3328,0.01,132,16,2.07,387.13,0.13,0,0.05,0.00,1,4,"/bin/sh src/scripts/dbt2-run-workload -a pgsql -c 10 -w 1 -o /tmp/2-tier -d 300 -n -s 100 -u -H 10.1.1.3 -r"
1650902718,postgres,1709,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,256488,7440,0.01,132,60,0.00,0.07,0.00,0,0.05,0.00,1,6,"ssh 10.1.1.3 dbt2-sysstats --iter 6 --sample 60 --outdir /tmp/2-tier/db/pgsql1.dbt2.internal"
1650902718,postgres,1721,3.32,3.90,0.00,0.45,7.22,0,6.73,0.17,276764,8848,0.01,132,28,14.53,16.87,0.00,0,1623.95,0.33,1,8,"dbt2-driver3 -l 300 -wmin 1 -wmax 1 -w 1 -sleep 100 -outdir /tmp/2-tier/driver/potassium.1 -tpw 10 -ktd 0 -ktn 0 -kto 0 -ktp 0 -kts 0 -ttd 0 -ttn 0 -tto 0 -ttp 0 -tts 0 -a pgsql -b dbt2 -b dbt2 -d 10.1.1.3"
1650902718,postgres,1725,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,217188,884,0.00,132,20,0.00,0.00,0.00,0,0.02,0.00,1,3,"sar -o /tmp/2-tier/driver/potassium/sar_raw.out 60 6"
1650902718,postgres,1726,0.00,0.00,0.00,0.00,0.00,5,8.80,0.00,220324,3932,0.01,132,20,0.00,0.00,0.00,0,0.22,0.00,1,5,"pidstat -H -h -l -d -r -s -U -u -w -v -h -l -d -r -s -u -w 60 6"
1650902718,postgres,1727,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,222828,1256,0.00,132,20,0.00,0.27,0.00,0,1.12,0.02,1,5,"sadc 60 7 -Z -S XALL /tmp/2-tier/driver/potassium/sar_raw.out"
1650902718,postgres,1731,0.00,0.00,0.00,0.00,0.00,3,1.37,0.00,217072,788,0.00,132,12,0.00,0.00,0.00,0,0.02,0.02,1,3,"sleep 300"
1650902778,postgres,1709,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,256488,7440,0.01,132,60,0.00,0.07,0.00,0,0.02,0.00,1,6,"ssh 10.1.1.3 dbt2-sysstats --iter 6 --sample 60 --outdir /tmp/2-tier/db/pgsql1.dbt2.internal"
1650902778,postgres,1721,3.37,4.32,0.00,1.37,7.68,0,0.00,0.00,276764,8848,0.01,132,28,0.00,17.27,0.00,0,1664.55,2.25,1,8,"dbt2-driver3 -l 300 -wmin 1 -wmax 1 -w 1 -sleep 100 -outdir /tmp/2-tier/driver/potassium.1 -tpw 10 -ktd 0 -ktn 0 -kto 0 -ktp 0 -kts 0 -ttd 0 -ttn 0 -tto 0 -ttp 0 -tts 0 -a pgsql -b dbt2 -b dbt2 -d 10.1.1.3"
1650902778,postgres,1725,0.00,0.00,0.00,0.00,0.00,1,0.02,0.00,217188,884,0.00,132,24,0.00,0.07,0.00,0,0.02,0.00,1,3,"sar -o /tmp/2-tier/driver/potassium/sar_raw.out 60 6"
1650902778,postgres,1726,0.00,0.02,0.00,0.00,0.02,2,1.98,0.00,222448,4644,0.01,132,24,0.00,0.07,0.00,0,0.15,0.00,1,5,"pidstat -H -h -l -d -r -s -U -u -w -v -h -l -d -r -s -u -w 60 6"
1650902778,postgres,1727,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,222828,1256,0.00,132,20,0.00,0.40,0.00,0,0.82,0.00,1,5,"sadc 60 7 -Z -S XALL /tmp/2-tier/driver/potassium/sar_raw.out"
1650902838,postgres,1709,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,256488,7440,0.01,132,60,0.00,0.07,0.00,0,0.02,0.00,1,6,"ssh 10.1.1.3 dbt2-sysstats --iter 6 --sample 60 --outdir /tmp/2-tier/db/pgsql1.dbt2.internal"
1650902838,postgres,1721,3.62,4.57,0.00,1.08,8.18,0,0.00,0.00,276764,8848,0.01,132,28,0.00,19.27,0.00,0,1854.37,2.53,1,8,"dbt2-driver3 -l 300 -wmin 1 -wmax 1 -w 1 -sleep 100 -outdir /tmp/2-tier/driver/potassium.1 -tpw 10 -ktd 0 -ktn 0 -kto 0 -ktp 0 -kts 0 -ttd 0 -ttn 0 -tto 0 -ttp 0 -tts 0 -a pgsql -b dbt2 -b dbt2 -d 10.1.1.3"
1650902838,postgres,1725,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,217188,884,0.00,132,24,0.00,0.07,0.00,0,0.02,0.00,1,3,"sar -o /tmp/2-tier/driver/potassium/sar_raw.out 60 6"
1650902838,postgres,1726,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,222448,4644,0.01,132,24,0.00,0.13,0.00,0,0.18,0.00,1,5,"pidstat -H -h -l -d -r -s -U -u -w -v -h -l -d -r -s -u -w 60 6"
1650902838,postgres,1727,0.00,0.02,0.00,0.00,0.02,1,0.00,0.00,222828,1256,0.00,132,20,0.00,0.33,0.00,0,0.83,0.00,1,5,"sadc 60 7 -Z -S XALL /tmp/2-tier/driver/potassium/sar_raw.out"
