# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
potassium;60;1650902718;nvme1n1;729.88;261.33;3348.07;4.95;0.32;0.26;0.82;60.05
potassium;60;1650902718;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650902718;nvme1n1p2;729.88;261.33;3348.07;4.95;0.21;0.26;0.82;60.05
potassium;60;1650902718;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650902718;nvme0n1;731.30;293.47;3359.07;4.99;0.22;0.17;0.80;58.49
potassium;60;1650902718;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650902718;nvme0n1p2;731.30;293.47;3359.07;4.99;0.12;0.17;0.80;58.49
potassium;60;1650902718;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650902718;md127;530.40;547.27;6513.73;13.31;0.10;0.18;1.01;53.42
potassium;60;1650902718;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
