# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
potassium;60;1650902718;-1;0.70;0.00;0.92;0.00;0.00;98.38
potassium;60;1650902718;0;3.54;0.00;4.12;0.00;0.00;92.34
potassium;60;1650902718;1;0.22;0.00;0.87;0.00;0.00;98.91
potassium;60;1650902718;2;0.03;0.00;0.02;0.00;0.00;99.95
potassium;60;1650902718;3;0.03;0.00;0.00;0.00;0.00;99.97
potassium;60;1650902718;4;0.03;0.00;0.02;0.00;0.00;99.95
potassium;60;1650902718;5;0.32;0.00;0.49;0.00;0.00;99.19
potassium;60;1650902778;-1;0.44;0.00;0.58;0.00;0.00;98.97
potassium;60;1650902778;0;2.64;0.00;3.44;0.00;0.00;93.93
potassium;60;1650902778;1;0.02;0.00;0.00;0.00;0.00;99.98
potassium;60;1650902778;2;0.00;0.00;0.02;0.00;0.00;99.98
potassium;60;1650902778;3;0.00;0.00;0.02;0.00;0.00;99.98
potassium;60;1650902778;4;0.00;0.00;0.00;0.00;0.00;100.00
potassium;60;1650902778;5;0.00;0.00;0.02;0.00;0.00;99.98
potassium;60;1650902838;-1;0.41;0.00;0.52;0.00;0.00;99.07
potassium;60;1650902838;0;2.45;0.00;3.09;0.00;0.00;94.46
potassium;60;1650902838;1;0.00;0.00;0.00;0.00;0.00;100.00
potassium;60;1650902838;2;0.00;0.00;0.00;0.00;0.00;100.00
potassium;60;1650902838;3;0.02;0.00;0.00;0.00;0.00;99.98
potassium;60;1650902838;4;0.00;0.00;0.00;0.00;0.00;100.00
potassium;60;1650902838;5;0.00;0.00;0.00;0.00;0.00;100.00
potassium;60;1650902898;-1;0.38;0.00;0.46;0.00;0.00;99.16
potassium;60;1650902898;0;2.25;0.00;2.78;0.00;0.00;94.97
potassium;60;1650902898;1;0.00;0.00;0.00;0.00;0.00;100.00
potassium;60;1650902898;2;0.02;0.00;0.00;0.00;0.00;99.98
potassium;60;1650902898;3;0.00;0.00;0.00;0.00;0.00;100.00
potassium;60;1650902898;4;0.00;0.00;0.00;0.00;0.00;100.00
potassium;60;1650902898;5;0.00;0.00;0.00;0.00;0.00;100.00
potassium;60;1650902958;-1;0.37;0.00;0.49;0.00;0.00;99.14
potassium;60;1650902958;0;2.21;0.00;2.89;0.00;0.00;94.90
potassium;60;1650902958;1;0.00;0.00;0.00;0.00;0.00;100.00
potassium;60;1650902958;2;0.00;0.00;0.02;0.00;0.00;99.98
potassium;60;1650902958;3;0.00;0.00;0.00;0.00;0.00;100.00
potassium;60;1650902958;4;0.00;0.00;0.00;0.00;0.00;100.00
potassium;60;1650902958;5;0.00;0.00;0.00;0.00;0.00;100.00
