Linux 6.1.12-200.fc37.x86_64 (potassium) 	04/28/2023 	_x86_64_	(1 CPU)

04:39:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:40:42 PM     all      2.35      0.00      4.66      0.03      0.23     92.73
04:41:42 PM     all      0.92      0.00      3.66      0.00      0.18     95.23
04:42:42 PM     all      0.89      0.00      3.70      0.00      0.13     95.28
04:43:42 PM     all      0.86      0.00      3.65      0.00      0.07     95.43
04:44:42 PM     all      0.91      0.00      3.59      0.00      0.12     95.38
04:45:42 PM     all      0.87      0.00      3.74      0.03      0.12     95.23
04:46:42 PM     all      0.92      0.00      3.77      0.00      0.18     95.12
04:47:42 PM     all      0.89      0.00      3.60      0.00      0.15     95.36
04:48:42 PM     all      0.86      0.00      3.61      0.00      0.12     95.42
04:49:42 PM     all      0.91      0.00      3.66      0.00      0.10     95.34
04:50:42 PM     all      0.89      0.00      3.71      0.08      0.10     95.22
04:51:42 PM     all      0.90      0.00      3.62      0.02      0.28     95.17
04:52:42 PM     all      0.92      0.00      3.81      0.00      0.12     95.15
04:53:42 PM     all      0.91      0.00      3.84      0.02      0.10     95.13
04:54:42 PM     all      0.87      0.00      3.71      0.00      0.10     95.32
04:55:42 PM     all      0.85      0.00      3.70      0.00      0.18     95.26
04:56:42 PM     all      0.89      0.00      3.84      0.00      0.20     95.07
04:57:42 PM     all      0.92      0.00      3.80      0.00      0.15     95.12
04:58:42 PM     all      0.92      0.00      3.59      0.00      0.25     95.24
04:59:42 PM     all      0.91      0.00      3.67      0.00      0.22     95.20
05:00:42 PM     all      0.92      0.00      3.80      0.00      0.25     95.03
05:01:42 PM     all      0.92      0.00      3.87      0.03      0.07     95.10
05:02:42 PM     all      0.82      0.00      3.72      0.02      0.12     95.32
05:03:42 PM     all      0.96      0.00      3.60      0.00      0.23     95.21
05:04:42 PM     all      0.89      0.00      3.71      0.00      0.12     95.29
05:05:42 PM     all      0.89      0.00      3.76      0.00      0.12     95.23
05:06:42 PM     all      0.87      0.00      3.79      0.02      0.08     95.23
05:07:42 PM     all      0.81      0.00      3.69      0.00      0.13     95.37
05:08:42 PM     all      0.89      0.00      3.73      0.00      0.28     95.09
05:09:42 PM     all      0.92      0.00      3.79      0.00      0.12     95.17
05:10:42 PM     all      0.84      0.00      3.86      0.00      0.10     95.20
05:11:42 PM     all      0.91      0.00      3.64      0.02      0.12     95.32
05:12:42 PM     all      0.92      0.49      3.85      0.00      0.10     94.64
05:13:42 PM     all      0.89      0.00      3.86      0.00      0.15     95.10
05:14:42 PM     all      0.89      0.00      3.81      0.00      0.10     95.20
05:15:42 PM     all      0.92      0.00      3.65      0.00      0.22     95.21
05:16:42 PM     all      0.87      0.00      3.78      0.02      0.10     95.23
05:17:42 PM     all      0.94      0.00      3.69      0.00      0.10     95.27
05:18:42 PM     all      0.92      0.00      3.86      0.00      0.35     94.87
05:19:42 PM     all      0.94      0.00      3.63      0.00      0.17     95.26
05:20:42 PM     all      0.94      0.00      3.71      0.00      0.20     95.15
05:21:42 PM     all      0.90      0.00      3.72      0.02      0.15     95.21
05:22:42 PM     all      0.89      0.00      3.67      0.00      0.17     95.27
05:23:42 PM     all      0.91      0.00      3.84      0.00      0.12     95.14
05:24:42 PM     all      0.87      0.00      3.82      0.00      0.17     95.14
05:25:42 PM     all      0.91      0.00      3.74      0.00      0.10     95.25
05:26:42 PM     all      0.97      0.00      3.60      0.02      0.25     95.16
05:27:42 PM     all      0.89      0.00      3.43      0.00      0.20     95.48
05:28:42 PM     all      0.86      0.00      3.42      0.00      0.22     95.51
05:29:42 PM     all      0.91      0.00      3.80      0.02      0.05     95.23
05:30:42 PM     all      0.92      0.00      3.69      0.00      0.10     95.28
05:31:42 PM     all      0.96      0.00      3.60      0.02      0.17     95.26
05:32:42 PM     all      0.89      0.00      3.68      0.00      0.08     95.35
05:33:42 PM     all      0.94      0.00      3.69      0.02      0.15     95.20
05:34:42 PM     all      0.97      0.00      3.71      0.00      0.37     94.95
05:35:42 PM     all      0.92      0.00      3.66      0.00      0.17     95.25
05:36:42 PM     all      0.87      0.00      3.66      0.00      0.07     95.39
05:37:42 PM     all      0.92      0.00      3.59      0.00      0.18     95.30
05:38:42 PM     all      1.00      0.00      3.78      0.00      0.18     95.03
05:39:42 PM     all      0.90      0.00      3.73      0.00      0.27     95.09
