# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
potassium;60;1682725242;304632;1056444;212160;10.52;3324;1359120;1162644;28.82;414768;1077708;80
potassium;60;1682725302;304632;1056448;211848;10.50;3324;1359420;1162948;28.82;414832;1078008;0
potassium;60;1682725362;304632;1056456;211584;10.49;3324;1359688;1163336;28.83;414840;1078276;0
potassium;60;1682725422;304632;1056456;211324;10.48;3324;1359948;1163596;28.84;414844;1078508;0
potassium;60;1682725482;304632;1056452;211044;10.46;3324;1360240;1163888;28.85;414788;1078816;0
potassium;60;1682725542;366128;1117932;149392;7.41;3324;1360508;1131716;28.05;382772;1079096;0
potassium;60;1682725602;365876;1117680;149352;7.40;3324;1360800;1132008;28.06;382772;1079396;0
potassium;60;1682725662;365624;1117428;149312;7.40;3324;1361096;1132304;28.06;382768;1079680;0
potassium;60;1682725722;365372;1117172;149308;7.40;3324;1361368;1132576;28.07;382764;1079916;0
potassium;60;1682725782;365120;1116920;149280;7.40;3324;1361664;1132872;28.08;382772;1080236;0
potassium;60;1682725842;364116;1115912;149976;7.43;3324;1361956;1133164;28.09;382772;1080548;412
potassium;60;1682725902;363864;1115660;149896;7.43;3324;1362288;1133488;28.09;382772;1080828;0
potassium;60;1682725962;363612;1115408;149900;7.43;3324;1362556;1133756;28.10;382768;1081152;0
potassium;60;1682726022;363360;1115156;149872;7.43;3324;1362832;1134032;28.11;382768;1081412;0
potassium;60;1682726082;363108;1114904;149848;7.43;3324;1363112;1134312;28.11;382760;1081704;0
potassium;60;1682726142;362856;1114652;149804;7.43;3324;1363408;1134608;28.12;382760;1081976;0
potassium;60;1682726202;362604;1114400;149840;7.43;3324;1363688;1134888;28.13;382760;1082260;0
potassium;60;1682726262;362100;1113896;150072;7.44;3324;1363960;1135164;28.14;382736;1082528;0
potassium;60;1682726322;361848;1113644;150008;7.44;3324;1364280;1135480;28.14;382768;1082832;0
potassium;60;1682726382;361596;1113392;149932;7.43;3324;1364608;1135808;28.15;382768;1083180;0
potassium;60;1682726442;361092;1112892;150096;7.44;3324;1364920;1136116;28.16;382768;1083460;408
potassium;60;1682726502;361092;1112892;149840;7.43;3324;1365176;1136372;28.17;382768;1083736;48
potassium;60;1682726562;360588;1112392;150056;7.44;3324;1365460;1136656;28.17;382744;1084032;0
potassium;60;1682726622;360336;1112140;150024;7.44;3324;1365752;1136952;28.18;382768;1084312;0
potassium;60;1682726682;360084;1111888;149996;7.44;3324;1366032;1137228;28.19;382768;1084584;0
potassium;60;1682726742;359832;1111636;149984;7.43;3324;1366296;1137492;28.19;382768;1084880;0
potassium;60;1682726802;359580;1111384;149976;7.43;3324;1366556;1137752;28.20;382768;1085136;0
potassium;60;1682726862;359328;1111132;149960;7.43;3324;1366828;1138028;28.21;382736;1085404;0
potassium;60;1682726922;359076;1110880;149904;7.43;3324;1367144;1138340;28.21;382764;1085708;0
potassium;60;1682726982;358824;1110628;149900;7.43;3324;1367400;1138596;28.22;382768;1085960;0
potassium;60;1682727042;358320;1110124;150112;7.44;3324;1367668;1138864;28.23;382768;1086208;428
potassium;60;1682727102;358320;1110124;149812;7.43;3324;1367968;1139164;28.23;382768;1086544;0
potassium;60;1682727162;332364;1084172;175524;8.70;3324;1368232;1139424;28.24;382748;1086812;0
potassium;60;1682727222;332364;1084172;175252;8.69;3324;1368504;1139696;28.25;382780;1087076;0
potassium;60;1682727282;332364;1084172;174980;8.67;3324;1368776;1139968;28.25;382784;1087324;0
potassium;60;1682727342;332364;1084172;174672;8.66;3324;1369084;1140276;28.26;382784;1087652;0
potassium;60;1682727402;332364;1084172;174408;8.65;3324;1369348;1140540;28.27;382784;1087928;0
potassium;60;1682727462;332364;1084176;174144;8.63;3324;1369612;1140804;28.27;382756;1088196;0
potassium;60;1682727522;332364;1084176;173840;8.62;3324;1369916;1141108;28.28;382776;1088484;0
potassium;60;1682727582;332364;1084176;173548;8.60;3324;1370208;1141404;28.29;382768;1088772;0
