# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
potassium;60;1682725242;0.00;31.20;309.40;0.00;563.38;0.00;0.00;0.00;0.00
potassium;60;1682725302;0.00;11.87;0.28;0.00;261.65;0.00;0.00;0.00;0.00
potassium;60;1682725362;0.00;0.00;7.90;0.00;227.58;0.00;0.00;0.00;0.00
potassium;60;1682725422;0.00;0.00;7.90;0.00;223.95;0.00;0.00;0.00;0.00
potassium;60;1682725482;0.00;0.00;7.88;0.00;253.95;0.00;0.00;0.00;0.00
potassium;60;1682725542;0.00;25.20;2.57;0.00;368.90;0.00;0.00;0.00;0.00
potassium;60;1682725602;0.00;0.00;0.00;0.00;249.43;0.00;0.00;0.00;0.00
potassium;60;1682725662;0.00;0.00;7.87;0.00;251.92;0.00;0.00;0.00;0.00
potassium;60;1682725722;0.00;0.00;7.92;0.00;242.52;0.00;0.00;0.00;0.00
potassium;60;1682725782;0.00;0.00;7.93;0.00;254.10;0.00;0.00;0.00;0.00
potassium;60;1682725842;0.00;2.53;10.20;0.00;255.68;0.00;0.00;0.00;0.00
potassium;60;1682725902;0.00;26.87;0.00;0.00;277.73;0.00;0.00;0.00;0.00
potassium;60;1682725962;0.00;0.00;7.85;0.00;235.00;0.00;0.00;0.00;0.00
potassium;60;1682726022;0.00;8.67;7.92;0.00;234.43;0.00;0.00;0.00;0.00
potassium;60;1682726082;0.00;0.00;7.83;0.00;246.32;0.00;0.00;0.00;0.00
potassium;60;1682726142;0.00;1.20;0.02;0.00;253.17;0.00;0.00;0.00;0.00
potassium;60;1682726202;0.00;6.00;0.00;0.00;240.85;0.00;0.00;0.00;0.00
potassium;60;1682726262;0.00;0.00;7.87;0.00;235.83;0.00;0.00;0.00;0.00
potassium;60;1682726322;0.00;0.00;7.93;0.00;278.98;0.00;0.00;0.00;0.00
potassium;60;1682726382;0.00;0.00;7.90;0.00;281.45;0.00;0.00;0.00;0.00
potassium;60;1682726442;0.00;1.33;10.27;0.00;264.48;0.00;0.00;0.00;0.00
potassium;60;1682726502;0.00;38.13;0.52;0.00;219.30;0.00;0.00;0.00;0.00
potassium;60;1682726562;0.00;6.00;7.87;0.00;250.35;0.00;0.00;0.00;0.00
potassium;60;1682726622;0.00;0.00;7.90;0.00;258.10;0.00;0.00;0.00;0.00
potassium;60;1682726682;0.00;0.00;7.90;0.00;240.93;0.00;0.00;0.00;0.00
potassium;60;1682726742;0.00;1.20;0.02;0.00;222.40;0.00;0.00;0.00;0.00
potassium;60;1682726802;0.00;8.13;0.00;0.00;222.77;0.00;0.00;0.00;0.00
potassium;60;1682726862;0.00;0.00;7.90;0.00;238.17;0.00;0.00;0.00;0.00
potassium;60;1682726922;0.00;0.00;7.90;0.00;271.93;0.00;0.00;0.00;0.00
potassium;60;1682726982;0.00;0.00;7.90;0.00;228.88;0.00;0.00;0.00;0.00
potassium;60;1682727042;0.00;1.33;10.28;0.00;234.43;0.00;0.00;0.00;0.00
potassium;60;1682727102;0.00;32.73;0.00;0.00;244.72;0.00;0.00;0.00;0.00
potassium;60;1682727162;0.00;34.00;138.88;0.00;340.75;0.00;0.00;0.00;0.00
potassium;60;1682727222;0.00;0.00;7.93;0.00;235.63;0.00;0.00;0.00;0.00
potassium;60;1682727282;0.00;0.00;7.92;0.00;236.00;0.00;0.00;0.00;0.00
potassium;60;1682727342;0.00;1.20;0.02;0.00;266.17;0.00;0.00;0.00;0.00
potassium;60;1682727402;0.00;7.07;0.00;0.00;224.82;0.00;0.00;0.00;0.00
potassium;60;1682727462;0.00;0.00;7.88;0.00;231.30;0.00;0.00;0.00;0.00
