# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
sodium;60;1650892623;nvme1n1;2314.13;9071.89;11596.60;8.93;0.66;0.17;0.41;95.16
sodium;60;1650892623;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892623;nvme1n1p2;2314.13;9071.89;11596.60;8.93;0.39;0.17;0.41;95.16
sodium;60;1650892623;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892623;nvme0n1;2340.63;9265.52;11670.72;8.94;0.67;0.17;0.41;95.25
sodium;60;1650892623;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892623;nvme0n1p2;2340.63;9265.52;11670.72;8.94;0.40;0.17;0.41;95.25
sodium;60;1650892623;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892623;md127;2203.57;17221.66;22739.81;18.13;0.22;0.10;0.43;94.35
sodium;60;1650892623;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
