# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sodium;60;1650892623;-1;1.93;0.00;3.22;0.00;0.00;94.85
sodium;60;1650892623;0;1.90;0.00;3.11;0.00;0.00;94.99
sodium;60;1650892623;1;1.97;0.00;3.42;0.00;0.00;94.61
sodium;60;1650892623;2;1.95;0.00;3.20;0.00;0.00;94.85
sodium;60;1650892623;3;1.85;0.00;3.04;0.00;0.00;95.11
sodium;60;1650892623;4;1.88;0.00;3.04;0.00;0.00;95.08
sodium;60;1650892623;5;2.00;0.00;3.51;0.00;0.00;94.49
sodium;60;1650892683;-1;1.81;0.00;3.04;0.00;0.00;95.16
sodium;60;1650892683;0;1.86;0.00;3.11;0.00;0.00;95.03
sodium;60;1650892683;1;1.71;0.00;2.88;0.00;0.00;95.40
sodium;60;1650892683;2;1.83;0.00;3.09;0.00;0.00;95.08
sodium;60;1650892683;3;1.83;0.00;2.97;0.00;0.00;95.21
sodium;60;1650892683;4;1.85;0.00;3.11;0.00;0.00;95.04
sodium;60;1650892683;5;1.76;0.00;3.05;0.00;0.00;95.19
sodium;60;1650892743;-1;2.00;0.00;3.39;0.00;0.00;94.60
sodium;60;1650892743;0;2.10;0.00;3.51;0.00;0.00;94.39
sodium;60;1650892743;1;2.03;0.00;3.35;0.00;0.00;94.62
sodium;60;1650892743;2;1.92;0.00;3.21;0.00;0.00;94.87
sodium;60;1650892743;3;1.95;0.00;3.39;0.00;0.00;94.66
sodium;60;1650892743;4;1.99;0.00;3.40;0.00;0.00;94.61
sodium;60;1650892743;5;2.02;0.00;3.50;0.00;0.00;94.48
sodium;60;1650892803;-1;1.94;0.00;3.27;0.00;0.00;94.79
sodium;60;1650892803;0;1.99;0.00;3.26;0.00;0.00;94.75
sodium;60;1650892803;1;1.84;0.00;3.21;0.00;0.00;94.95
sodium;60;1650892803;2;2.03;0.00;3.28;0.00;0.00;94.69
sodium;60;1650892803;3;1.89;0.00;3.23;0.00;0.00;94.88
sodium;60;1650892803;4;1.96;0.00;3.33;0.00;0.00;94.71
sodium;60;1650892803;5;1.93;0.00;3.33;0.00;0.00;94.75
sodium;60;1650892863;-1;2.37;0.00;3.95;0.00;0.00;93.68
sodium;60;1650892863;0;2.28;0.00;4.03;0.00;0.00;93.69
sodium;60;1650892863;1;2.41;0.00;3.84;0.00;0.00;93.75
sodium;60;1650892863;2;2.32;0.00;3.76;0.00;0.00;93.92
sodium;60;1650892863;3;2.42;0.00;4.00;0.00;0.00;93.58
sodium;60;1650892863;4;2.35;0.00;4.00;0.00;0.00;93.65
sodium;60;1650892863;5;2.44;0.00;4.05;0.00;0.00;93.51
