# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
sodium;60;1650892623;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892623;eth0;0.50;0.00;0.03;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892623;eth1;7712.26;7825.81;20133.42;19160.10;0.00;0.00;0.00;1.65
sodium;60;1650892683;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892683;eth0;0.53;0.02;0.03;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892683;eth1;7679.15;7773.57;19993.51;19021.86;0.00;0.00;0.00;1.64
sodium;60;1650892743;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892743;eth0;0.53;0.00;0.03;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892743;eth1;8495.72;8649.12;22253.32;21180.16;0.00;0.00;0.00;1.82
sodium;60;1650892803;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892803;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892803;eth1;8280.50;8427.90;21678.14;20633.13;0.00;0.00;0.00;1.78
sodium;60;1650892863;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892863;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
sodium;60;1650892863;eth1;8129.13;8272.18;21278.14;20253.04;0.00;0.00;0.00;1.74
