Linux 6.1.12-200.fc37.x86_64 (sodium) 	04/28/2023 	_x86_64_	(1 CPU)

03:07:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:08:34 PM     all      4.46      0.00     21.91      0.03      4.31     69.28
03:09:34 PM     all      2.69      0.00     20.25      0.00      4.44     72.63
03:10:34 PM     all      2.60      0.00     19.15      0.18      3.99     74.08
03:11:34 PM     all      2.58      0.00     19.22      0.02      4.67     73.50
03:12:34 PM     all      2.53      0.00     18.37      0.03      5.31     73.76
03:13:34 PM     all      2.72      0.00     20.02      0.00      4.47     72.80
03:14:34 PM     all      2.67      0.00     19.57      0.00      4.63     73.13
03:15:34 PM     all      2.42      0.00     18.78      0.02      4.54     74.25
03:16:34 PM     all      2.64      0.00     20.03      0.00      4.41     72.92
03:17:34 PM     all      2.55      0.00     20.03      0.00      4.56     72.86
03:18:34 PM     all      2.72      0.00     20.17      0.02      3.45     73.64
03:19:34 PM     all      2.78      0.00     20.87      0.00      3.31     73.04
03:20:34 PM     all      2.63      0.00     19.88      0.02      3.18     74.29
03:21:34 PM     all      2.88      0.00     20.80      0.03      3.54     72.74
03:22:34 PM     all      2.69      0.00     19.73      0.00      4.33     73.25
03:23:34 PM     all      2.57      0.00     18.37      0.00      4.27     74.79
03:24:34 PM     all      2.80      0.00     21.07      0.00      4.13     72.00
03:25:34 PM     all      2.75      0.00     19.40      0.05      3.37     74.43
03:26:34 PM     all      2.95      0.00     20.44      0.00      3.67     72.94
03:27:34 PM     all      2.38      0.00     17.15      0.00      3.01     77.46
03:28:34 PM     all      2.67      0.00     19.59      0.00      3.49     74.25
03:29:34 PM     all      2.75      0.00     20.85      0.00      3.23     73.17
03:30:34 PM     all      2.74      0.00     20.79      0.00      3.53     72.94
03:31:34 PM     all      2.79      0.00     21.32      0.00      3.55     72.34
03:32:34 PM     all      2.64      0.00     20.30      0.02      3.25     73.78
03:33:34 PM     all      2.57      0.00     19.56      0.00      4.00     73.87
03:34:34 PM     all      2.54      0.00     19.09      0.00      4.45     73.93
03:35:34 PM     all      2.78      0.00     20.50      0.00      3.96     72.76
03:36:34 PM     all      2.62      0.00     20.43      0.02      3.90     73.04
03:37:34 PM     all      2.60      0.00     19.72      0.00      6.15     71.53
03:38:34 PM     all      2.64      0.00     20.73      0.00      5.25     71.37
03:39:34 PM     all      2.62      0.00     21.04      0.00      4.73     71.61
03:40:34 PM     all      2.50      0.00     19.77      0.00      4.47     73.27
03:41:34 PM     all      2.47      0.00     19.31      0.00      4.98     73.24
03:42:34 PM     all      2.35      0.00     18.50      0.00      7.06     72.08
03:43:34 PM     all      2.65      0.00     20.69      0.00      5.58     71.08
03:44:34 PM     all      2.61      0.00     21.18      0.00      5.41     70.80
03:45:34 PM     all      2.69      0.00     20.86      0.00      5.29     71.16
03:46:34 PM     all      2.72      0.00     20.71      0.02      5.25     71.31
03:47:34 PM     all      2.72      0.00     20.99      0.00      5.21     71.09
03:48:34 PM     all      2.86      0.00     21.27      0.02      4.75     71.11
03:49:34 PM     all      2.49      0.00     20.53      0.00      6.18     70.80
03:50:34 PM     all      2.66      0.00     20.23      0.06      4.58     72.46
03:51:34 PM     all      2.63      0.00     19.92      0.02      5.25     72.18
03:52:34 PM     all      2.43      0.00     19.39      0.00      7.15     71.04
03:53:34 PM     all      2.56      0.00     19.62      0.02      6.48     71.33
03:54:34 PM     all      2.57      0.02     18.41      0.00      4.94     74.07
03:55:34 PM     all      2.67      0.00     19.43      0.00      4.88     73.02
03:56:34 PM     all      2.66      0.00     20.13      0.00      5.53     71.68
03:57:34 PM     all      2.62      0.00     20.15      0.00      5.56     71.67
03:58:34 PM     all      2.80      0.00     20.62      0.00      4.58     72.00
03:59:34 PM     all      2.74      0.00     20.72      0.00      6.45     70.09
04:00:34 PM     all      2.90      0.00     21.77      0.00      5.06     70.27
04:01:34 PM     all      2.61      0.00     20.48      0.02      5.64     71.25
04:02:34 PM     all      2.87      0.00     20.65      0.00      3.91     72.57
04:03:34 PM     all      2.68      0.00     20.02      0.00      3.60     73.71
04:04:34 PM     all      2.71      0.00     21.06      0.00      3.86     72.37
04:05:34 PM     all      2.50      0.00     19.15      0.00      4.80     73.55
04:06:34 PM     all      2.50      0.00     19.23      0.02      4.06     74.19
04:07:34 PM     all      2.60      0.00     19.92      0.00      4.33     73.15
