# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sodium;60;1682719714;-1;4.46;0.00;21.91;0.03;4.31;69.28
sodium;60;1682719714;0;4.46;0.00;21.91;0.03;4.31;69.28
sodium;60;1682719774;-1;2.69;0.00;20.25;0.00;4.44;72.63
sodium;60;1682719774;0;2.69;0.00;20.25;0.00;4.44;72.63
sodium;60;1682719834;-1;2.60;0.00;19.15;0.18;3.99;74.08
sodium;60;1682719834;0;2.60;0.00;19.15;0.18;3.99;74.08
sodium;60;1682719894;-1;2.58;0.00;19.22;0.02;4.67;73.50
sodium;60;1682719894;0;2.58;0.00;19.22;0.02;4.67;73.50
sodium;60;1682719954;-1;2.53;0.00;18.37;0.03;5.31;73.76
sodium;60;1682719954;0;2.53;0.00;18.37;0.03;5.31;73.76
sodium;60;1682720014;-1;2.72;0.00;20.02;0.00;4.47;72.80
sodium;60;1682720014;0;2.72;0.00;20.02;0.00;4.47;72.80
sodium;60;1682720074;-1;2.67;0.00;19.57;0.00;4.63;73.13
sodium;60;1682720074;0;2.67;0.00;19.57;0.00;4.63;73.13
sodium;60;1682720134;-1;2.42;0.00;18.78;0.02;4.54;74.25
sodium;60;1682720134;0;2.42;0.00;18.78;0.02;4.54;74.25
sodium;60;1682720194;-1;2.64;0.00;20.03;0.00;4.41;72.92
sodium;60;1682720194;0;2.64;0.00;20.03;0.00;4.41;72.92
sodium;60;1682720254;-1;2.55;0.00;20.03;0.00;4.56;72.86
sodium;60;1682720254;0;2.55;0.00;20.03;0.00;4.56;72.86
sodium;60;1682720314;-1;2.72;0.00;20.17;0.02;3.45;73.64
sodium;60;1682720314;0;2.72;0.00;20.17;0.02;3.45;73.64
sodium;60;1682720374;-1;2.78;0.00;20.87;0.00;3.31;73.04
sodium;60;1682720374;0;2.78;0.00;20.87;0.00;3.31;73.04
sodium;60;1682720434;-1;2.63;0.00;19.88;0.02;3.18;74.29
sodium;60;1682720434;0;2.63;0.00;19.88;0.02;3.18;74.29
sodium;60;1682720494;-1;2.88;0.00;20.80;0.03;3.54;72.74
sodium;60;1682720494;0;2.88;0.00;20.80;0.03;3.54;72.74
sodium;60;1682720554;-1;2.69;0.00;19.73;0.00;4.33;73.25
sodium;60;1682720554;0;2.69;0.00;19.73;0.00;4.33;73.25
sodium;60;1682720614;-1;2.57;0.00;18.37;0.00;4.27;74.79
sodium;60;1682720614;0;2.57;0.00;18.37;0.00;4.27;74.79
sodium;60;1682720674;-1;2.80;0.00;21.07;0.00;4.13;72.00
sodium;60;1682720674;0;2.80;0.00;21.07;0.00;4.13;72.00
sodium;60;1682720734;-1;2.75;0.00;19.40;0.05;3.37;74.43
sodium;60;1682720734;0;2.75;0.00;19.40;0.05;3.37;74.43
sodium;60;1682720794;-1;2.95;0.00;20.44;0.00;3.67;72.94
sodium;60;1682720794;0;2.95;0.00;20.44;0.00;3.67;72.94
sodium;60;1682720854;-1;2.38;0.00;17.15;0.00;3.01;77.46
sodium;60;1682720854;0;2.38;0.00;17.15;0.00;3.01;77.46
sodium;60;1682720914;-1;2.67;0.00;19.59;0.00;3.49;74.25
sodium;60;1682720914;0;2.67;0.00;19.59;0.00;3.49;74.25
sodium;60;1682720974;-1;2.75;0.00;20.85;0.00;3.23;73.17
sodium;60;1682720974;0;2.75;0.00;20.85;0.00;3.23;73.17
sodium;60;1682721034;-1;2.74;0.00;20.79;0.00;3.53;72.94
sodium;60;1682721034;0;2.74;0.00;20.79;0.00;3.53;72.94
sodium;60;1682721094;-1;2.79;0.00;21.32;0.00;3.55;72.34
sodium;60;1682721094;0;2.79;0.00;21.32;0.00;3.55;72.34
sodium;60;1682721154;-1;2.64;0.00;20.30;0.02;3.25;73.78
sodium;60;1682721154;0;2.64;0.00;20.30;0.02;3.25;73.78
sodium;60;1682721214;-1;2.57;0.00;19.56;0.00;4.00;73.87
sodium;60;1682721214;0;2.57;0.00;19.56;0.00;4.00;73.87
sodium;60;1682721274;-1;2.54;0.00;19.09;0.00;4.45;73.93
sodium;60;1682721274;0;2.54;0.00;19.09;0.00;4.45;73.93
sodium;60;1682721334;-1;2.78;0.00;20.50;0.00;3.96;72.76
sodium;60;1682721334;0;2.78;0.00;20.50;0.00;3.96;72.76
sodium;60;1682721394;-1;2.62;0.00;20.43;0.02;3.90;73.04
sodium;60;1682721394;0;2.62;0.00;20.43;0.02;3.90;73.04
sodium;60;1682721454;-1;2.60;0.00;19.72;0.00;6.15;71.53
sodium;60;1682721454;0;2.60;0.00;19.72;0.00;6.15;71.53
sodium;60;1682721514;-1;2.64;0.00;20.73;0.00;5.25;71.37
sodium;60;1682721514;0;2.64;0.00;20.73;0.00;5.25;71.37
sodium;60;1682721574;-1;2.62;0.00;21.04;0.00;4.73;71.61
sodium;60;1682721574;0;2.62;0.00;21.04;0.00;4.73;71.61
sodium;60;1682721634;-1;2.50;0.00;19.77;0.00;4.47;73.27
sodium;60;1682721634;0;2.50;0.00;19.77;0.00;4.47;73.27
sodium;60;1682721694;-1;2.47;0.00;19.31;0.00;4.98;73.24
sodium;60;1682721694;0;2.47;0.00;19.31;0.00;4.98;73.24
sodium;60;1682721754;-1;2.35;0.00;18.50;0.00;7.06;72.08
sodium;60;1682721754;0;2.35;0.00;18.50;0.00;7.06;72.08
sodium;60;1682721814;-1;2.65;0.00;20.69;0.00;5.58;71.08
sodium;60;1682721814;0;2.65;0.00;20.69;0.00;5.58;71.08
sodium;60;1682721874;-1;2.61;0.00;21.18;0.00;5.41;70.80
sodium;60;1682721874;0;2.61;0.00;21.18;0.00;5.41;70.80
sodium;60;1682721934;-1;2.69;0.00;20.86;0.00;5.29;71.16
sodium;60;1682721934;0;2.69;0.00;20.86;0.00;5.29;71.16
sodium;60;1682721994;-1;2.72;0.00;20.71;0.02;5.25;71.31
sodium;60;1682721994;0;2.72;0.00;20.71;0.02;5.25;71.31
sodium;60;1682722054;-1;2.72;0.00;20.99;0.00;5.21;71.09
sodium;60;1682722054;0;2.72;0.00;20.99;0.00;5.21;71.09
sodium;60;1682722114;-1;2.86;0.00;21.27;0.02;4.75;71.11
sodium;60;1682722114;0;2.86;0.00;21.27;0.02;4.75;71.11
sodium;60;1682722174;-1;2.49;0.00;20.53;0.00;6.18;70.80
sodium;60;1682722174;0;2.49;0.00;20.53;0.00;6.18;70.80
sodium;60;1682722234;-1;2.66;0.00;20.23;0.06;4.58;72.46
sodium;60;1682722234;0;2.66;0.00;20.23;0.06;4.58;72.46
sodium;60;1682722294;-1;2.63;0.00;19.92;0.02;5.25;72.18
sodium;60;1682722294;0;2.63;0.00;19.92;0.02;5.25;72.18
sodium;60;1682722354;-1;2.43;0.00;19.39;0.00;7.15;71.04
