# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
sodium;60;1682719714;824364;1550996;225104;11.16;3428;829880;724504;17.96;435612;535184;0
sodium;60;1682719774;824364;1551012;224980;11.15;3428;829976;724292;17.95;435584;535284;0
sodium;60;1682719834;824364;1551032;224876;11.15;3444;830060;724376;17.95;435680;535388;0
sodium;60;1682719894;823916;1550596;225224;11.16;3444;830152;724460;17.96;435764;535472;0
sodium;60;1682719954;823916;1550592;225144;11.16;3444;830240;724548;17.96;435784;535536;0
sodium;60;1682720014;823916;1550592;225080;11.16;3444;830324;724016;17.94;435676;535624;0
sodium;60;1682720074;823916;1550588;225016;11.15;3444;830400;724092;17.95;435688;535696;0
sodium;60;1682720134;884836;1611508;164076;8.13;3444;830472;691720;17.14;403676;535792;0
sodium;60;1682720194;884836;1611508;163992;8.13;3444;830556;691808;17.15;403680;535848;0
sodium;60;1682720254;884612;1611284;164132;8.14;3444;830640;691888;17.15;403680;535968;0
sodium;60;1682720314;884360;1611032;164352;8.15;3444;830716;691968;17.15;403680;536016;0
sodium;60;1682720374;884360;1611032;164260;8.14;3444;830812;692060;17.15;403684;536092;0
sodium;60;1682720434;884360;1611032;164232;8.14;3444;830900;692148;17.15;403684;536212;0
sodium;60;1682720494;883608;1610376;164756;8.17;3444;831116;692236;17.16;403688;536400;128
sodium;60;1682720554;883356;1610380;164704;8.16;3444;831420;692316;17.16;403688;536696;0
sodium;60;1682720614;883356;1610380;164632;8.16;3444;831504;692400;17.16;403688;536800;0
sodium;60;1682720674;883356;1610380;164544;8.16;3444;831596;692492;17.16;403688;536884;0
sodium;60;1682720734;883356;1610508;164332;8.15;3444;831808;692576;17.17;403688;537120;0
sodium;60;1682720794;883356;1610508;164248;8.14;3444;831892;692660;17.17;403688;537180;0
sodium;60;1682720854;883104;1610256;164424;8.15;3444;831968;692736;17.17;403692;537296;0
sodium;60;1682720914;883104;1610256;164336;8.15;3444;832056;692824;17.17;403692;537376;0
sodium;60;1682720974;883104;1610256;164256;8.14;3444;832140;692908;17.17;403696;537440;0
sodium;60;1682721034;882852;1610004;164428;8.15;3444;832220;692988;17.18;403696;537500;0
sodium;60;1682721094;882600;1609868;164460;8.15;3444;832424;693076;17.18;403700;537728;128
sodium;60;1682721154;882348;1609616;164632;8.16;3444;832508;693164;17.18;403700;537824;0
sodium;60;1682721214;882348;1609616;164564;8.16;3444;832592;693244;17.18;403704;537892;0
sodium;60;1682721274;882348;1609616;164484;8.15;3444;832672;693324;17.18;403704;537968;0
sodium;60;1682721334;882348;1609616;164404;8.15;3444;832752;693404;17.19;403704;538028;0
sodium;60;1682721394;882096;1609364;164572;8.16;3444;832836;693488;17.19;403704;538148;0
sodium;60;1682721454;882096;1609364;164500;8.15;3444;832908;693560;17.19;403704;538208;0
sodium;60;1682721514;882096;1609364;164424;8.15;3444;832984;693636;17.19;403700;538312;0
sodium;60;1682721574;881844;1609112;164592;8.16;3444;833068;693720;17.19;403700;538372;0
sodium;60;1682721634;881844;1609112;164512;8.15;3444;833148;693800;17.20;403700;538432;0
sodium;60;1682721694;881340;1608608;164928;8.18;3444;833220;693876;17.20;403700;538544;128
sodium;60;1682721754;881340;1608608;164860;8.17;3444;833288;693940;17.20;403700;538576;0
sodium;60;1682721814;881340;1608608;164800;8.17;3444;833360;694016;17.20;403704;538664;0
sodium;60;1682721874;881340;1608608;164724;8.17;3444;833436;694092;17.20;403700;538744;0
sodium;60;1682721934;881116;1608384;164864;8.17;3444;833520;694176;17.21;403700;538804;0
sodium;60;1682721994;881116;1608384;164816;8.17;3444;833600;694252;17.21;403700;538920;0
sodium;60;1682722054;881116;1608384;164732;8.17;3444;833684;694336;17.21;403700;538980;0
sodium;60;1682722114;881116;1608384;164660;8.16;3444;833764;694416;17.21;403692;539080;48
sodium;60;1682722174;880864;1608132;164840;8.17;3444;833836;694488;17.21;403688;539116;0
sodium;60;1682722234;880864;1608132;164760;8.17;3444;833916;694572;17.22;403688;539220;0
sodium;60;1682722294;880612;1607880;164924;8.18;3444;833988;694640;17.22;403688;539304;128
sodium;60;1682722354;880612;1607880;164848;8.17;3444;834064;694716;17.22;403688;539348;0
sodium;60;1682722414;880612;1607880;164800;8.17;3444;834128;694780;17.22;403700;539448;0
