# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
sodium;60;1682719714;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682719714;enp1s0;4302.50;3666.45;8720.43;8232.79;0.00;0.00;0.00;0.00
sodium;60;1682719774;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682719774;enp1s0;4600.02;3725.25;9217.08;8708.82;0.00;0.00;0.00;0.00
sodium;60;1682719834;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682719834;enp1s0;4401.32;3553.15;8778.03;8294.31;0.00;0.00;0.00;0.00
sodium;60;1682719894;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682719894;enp1s0;4409.45;3568.12;8800.77;8316.30;0.00;0.00;0.00;0.00
sodium;60;1682719954;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682719954;enp1s0;4246.70;3471.47;8503.45;8041.23;0.00;0.00;0.00;0.00
sodium;60;1682720014;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682720014;enp1s0;4288.90;3476.62;8557.54;8085.00;0.00;0.00;0.00;0.00
sodium;60;1682720074;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682720074;enp1s0;3967.97;3199.70;7845.27;7410.49;0.00;0.00;0.00;0.00
sodium;60;1682720134;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682720134;enp1s0;3789.99;3071.30;7528.08;7112.28;0.00;0.00;0.00;0.00
sodium;60;1682720194;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682720194;enp1s0;4075.00;3318.12;8142.36;7692.13;0.00;0.00;0.00;0.00
sodium;60;1682720254;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682720254;enp1s0;4059.82;3283.68;8059.65;7616.42;0.00;0.00;0.00;0.00
sodium;60;1682720314;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682720314;enp1s0;4324.52;3543.90;8734.69;8254.62;0.00;0.00;0.00;0.00
sodium;60;1682720374;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682720374;enp1s0;4664.28;3847.70;9524.28;9005.81;0.00;0.00;0.00;0.00
sodium;60;1682720434;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682720434;enp1s0;4537.75;3754.93;9294.08;8786.99;0.00;0.00;0.00;0.00
sodium;60;1682720494;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682720494;enp1s0;4698.87;3916.23;9688.22;9162.42;0.00;0.00;0.00;0.00
sodium;60;1682720554;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682720554;enp1s0;4386.48;3623.00;8940.40;8452.42;0.00;0.00;0.00;0.00
sodium;60;1682720614;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682720614;enp1s0;4088.37;3373.33;8294.44;7841.09;0.00;0.00;0.00;0.00
sodium;60;1682720674;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
