# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
sodium;60;1682719714;3.93;101.93;572.52;0.00;5638.63;0.00;0.00;0.00;0.00
sodium;60;1682719774;0.00;0.00;8.07;0.00;5323.72;0.00;0.00;0.00;0.00
sodium;60;1682719834;0.00;11.47;5.02;0.00;5065.93;0.00;0.00;0.00;0.00
sodium;60;1682719894;0.00;18.27;9.82;0.00;5083.98;0.00;0.00;0.00;0.00
sodium;60;1682719954;0.00;10.07;0.17;0.00;4916.62;0.00;0.00;0.00;0.00
sodium;60;1682720014;0.00;11.07;35.45;0.00;4964.70;0.00;0.00;0.00;0.00
sodium;60;1682720074;0.00;0.00;7.98;0.00;4546.13;0.00;0.00;0.00;0.00
sodium;60;1682720134;0.00;19.20;2.60;0.00;4481.62;0.00;0.00;0.00;0.00
sodium;60;1682720194;0.00;0.00;0.00;0.00;4693.37;0.00;0.00;0.00;0.00
sodium;60;1682720254;0.00;0.00;0.00;0.00;4654.65;0.00;0.00;0.00;0.00
sodium;60;1682720314;0.00;8.93;15.78;0.00;5032.98;0.00;0.00;0.00;0.00
sodium;60;1682720374;0.00;0.00;7.92;0.00;5460.60;0.00;0.00;0.00;0.00
sodium;60;1682720434;0.00;18.53;0.53;0.00;5318.30;0.00;0.00;0.00;0.00
sodium;60;1682720494;0.00;17.73;10.77;0.00;5537.23;0.00;0.00;0.00;0.00
sodium;60;1682720554;0.00;12.40;0.00;0.00;5131.78;0.00;0.00;0.00;0.00
sodium;60;1682720614;0.00;0.00;15.77;0.00;4776.27;0.00;0.00;0.00;0.00
sodium;60;1682720674;0.00;0.00;7.90;0.00;5412.63;0.00;0.00;0.00;0.00
sodium;60;1682720734;0.00;7.20;0.02;0.00;5077.57;0.00;0.00;0.00;0.00
sodium;60;1682720794;0.00;0.00;0.00;0.00;5382.85;0.00;0.00;0.00;0.00
sodium;60;1682720854;0.00;0.00;0.02;0.00;4489.47;0.00;0.00;0.00;0.00
sodium;60;1682720914;0.00;0.00;15.77;0.00;5106.63;0.00;0.00;0.00;0.00
sodium;60;1682720974;0.00;0.00;7.90;0.00;5464.73;0.00;0.00;0.00;0.00
sodium;60;1682721034;0.00;0.00;0.00;0.00;5466.93;0.00;0.00;0.00;0.00
sodium;60;1682721094;0.00;12.60;10.87;0.00;5560.38;0.00;0.00;0.00;0.00
sodium;60;1682721154;0.00;12.93;0.00;0.00;5340.40;0.00;0.00;0.00;0.00
sodium;60;1682721214;0.00;0.00;15.83;0.00;5088.73;0.00;0.00;0.00;0.00
sodium;60;1682721274;0.00;0.00;7.88;0.00;4964.88;0.00;0.00;0.00;0.00
sodium;60;1682721334;0.00;0.00;0.00;0.00;5280.42;0.00;0.00;0.00;0.00
sodium;60;1682721394;0.00;6.13;0.02;0.00;5370.87;0.00;0.00;0.00;0.00
sodium;60;1682721454;0.00;0.00;0.00;0.00;4305.63;0.00;0.00;0.00;0.00
sodium;60;1682721514;0.00;0.00;15.73;0.00;4616.37;0.00;0.00;0.00;0.00
sodium;60;1682721574;0.00;0.00;7.90;0.00;4690.50;0.00;0.00;0.00;0.00
sodium;60;1682721634;0.00;0.00;0.00;0.00;4461.47;0.00;0.00;0.00;0.00
sodium;60;1682721694;0.00;11.40;10.70;0.00;4310.00;0.00;0.00;0.00;0.00
