ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,query,state,state_change
1650892563.173343,,859,,,"",,,2022-04-25 13:10:06.460281+00,,,"",,
1650892563.173343,,862,10,postgres,"",,,2022-04-25 13:10:06.460709+00,,,"",,
1650892563.173343,dbt2,915,10,postgres,dbt2-client,10.1.1.11,36750,2022-04-25 13:16:00.235842+00,2022-04-25 13:16:03.170064+00,2022-04-25 13:16:03.170819+00,"SELECT * FROM delivery($1, $2)",active,2022-04-25 13:16:03.17082+00
1650892563.173343,dbt2,916,10,postgres,dbt2-client,10.1.1.11,36752,2022-04-25 13:16:00.335092+00,,2022-04-25 13:16:03.173861+00,COMMIT,idle,2022-04-25 13:16:03.174432+00
1650892563.173343,dbt2,917,10,postgres,dbt2-client,10.1.1.11,36754,2022-04-25 13:16:00.435569+00,2022-04-25 13:16:03.173096+00,2022-04-25 13:16:03.175342+00,COMMIT,active,2022-04-25 13:16:03.175342+00
1650892563.173343,dbt2,918,10,postgres,dbt2-client,10.1.1.11,36756,2022-04-25 13:16:00.535848+00,2022-04-25 13:16:03.175066+00,2022-04-25 13:16:03.175216+00,"SELECT * FROM payment($1, $2, $3, $4, $5, $6, $7)",active,2022-04-25 13:16:03.175216+00
1650892563.173343,dbt2,919,10,postgres,dbt2-client,10.1.1.11,36758,2022-04-25 13:16:00.636111+00,,2022-04-25 13:16:03.17013+00,COMMIT,idle,2022-04-25 13:16:03.170776+00
1650892563.173343,dbt2,920,10,postgres,dbt2-client,10.1.1.11,36760,2022-04-25 13:16:00.736384+00,,2022-04-25 13:16:03.165967+00,COMMIT,idle,2022-04-25 13:16:03.166524+00
1650892563.173343,dbt2,921,10,postgres,dbt2-client,10.1.1.11,36762,2022-04-25 13:16:00.836923+00,2022-04-25 13:16:03.166798+00,2022-04-25 13:16:03.166982+00,"SELECT * FROM delivery($1, $2)",active,2022-04-25 13:16:03.166982+00
1650892563.173343,dbt2,922,10,postgres,dbt2-client,10.1.1.11,36764,2022-04-25 13:16:00.93861+00,,2022-04-25 13:16:03.170666+00,COMMIT,idle,2022-04-25 13:16:03.171667+00
1650892563.173343,dbt2,923,10,postgres,dbt2-client,10.1.1.11,36766,2022-04-25 13:16:01.038217+00,,2022-04-25 13:16:03.172356+00,COMMIT,idle,2022-04-25 13:16:03.172837+00
1650892563.173343,dbt2,924,10,postgres,dbt2-client,10.1.1.11,36768,2022-04-25 13:16:01.138839+00,,2022-04-25 13:16:03.163625+00,COMMIT,idle,2022-04-25 13:16:03.164385+00
1650892563.173343,dbt2,1032,10,postgres,psql,,-1,2022-04-25 13:16:03.169779+00,2022-04-25 13:16:03.171299+00,2022-04-25 13:16:03.171299+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2022-04-25 13:16:03.1713+00
1650892563.173343,dbt2,1033,10,postgres,psql,,-1,2022-04-25 13:16:03.16979+00,2022-04-25 13:16:03.172561+00,2022-04-25 13:16:03.172561+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2022-04-25 13:16:03.172562+00
1650892563.173343,dbt2,1034,10,postgres,psql,,-1,2022-04-25 13:16:03.171117+00,2022-04-25 13:16:03.172662+00,2022-04-25 13:16:03.172662+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2022-04-25 13:16:03.172663+00
1650892563.173343,dbt2,1035,10,postgres,psql,,-1,2022-04-25 13:16:03.171931+00,2022-04-25 13:16:03.173343+00,2022-04-25 13:16:03.173343+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2022-04-25 13:16:03.173344+00
1650892563.173343,,857,,,"",,,2022-04-25 13:10:06.460006+00,,,"",,
1650892563.173343,,860,,,"",,,2022-04-25 13:10:06.460423+00,,,"",,
1650892563.173343,,856,,,"",,,2022-04-25 13:10:06.45987+00,,,"",,
1650892563.173343,,858,,,"",,,2022-04-25 13:10:06.460109+00,,,"",,
1650892623.175051,,859,,,"",,,2022-04-25 13:10:06.460281+00,,,"",,
1650892623.175051,,862,10,postgres,"",,,2022-04-25 13:10:06.460709+00,,,"",,
1650892623.175051,dbt2,915,10,postgres,dbt2-client,10.1.1.11,36750,2022-04-25 13:16:00.235842+00,2022-04-25 13:17:03.176101+00,2022-04-25 13:17:03.176501+00,"SELECT * FROM payment($1, $2, $3, $4, $5, $6, $7)",active,2022-04-25 13:17:03.176501+00
1650892623.175051,dbt2,916,10,postgres,dbt2-client,10.1.1.11,36752,2022-04-25 13:16:00.335092+00,2022-04-25 13:17:03.172271+00,2022-04-25 13:17:03.177244+00,COMMIT,active,2022-04-25 13:17:03.177244+00
1650892623.175051,dbt2,917,10,postgres,dbt2-client,10.1.1.11,36754,2022-04-25 13:16:00.435569+00,2022-04-25 13:17:03.174836+00,2022-04-25 13:17:03.17506+00,"SELECT * FROM payment($1, $2, $3, $4, $5, $6, $7)",active,2022-04-25 13:17:03.175061+00
1650892623.175051,dbt2,918,10,postgres,dbt2-client,10.1.1.11,36756,2022-04-25 13:16:00.535848+00,2022-04-25 13:17:03.169546+00,2022-04-25 13:17:03.169833+00,"SELECT * FROM new_order($1, $2, $3, $4, $5, ($6, $7, $8), ($9, $10, $11), ($12, $13, $14), ($15, $16, $17), ($18, $19, $20), ($21, $22, $23), ($24, $25, $26), ($27, $28, $29), ($30, $31, $32), ($33, $34, $35), ($36, $37, $38), ($39, $40, $41), ($42, $43, $44), ($45, $46, $47), ($48, $49, $50))",active,2022-04-25 13:17:03.169834+00
1650892623.175051,dbt2,919,10,postgres,dbt2-client,10.1.1.11,36758,2022-04-25 13:16:00.636111+00,2022-04-25 13:17:03.173276+00,2022-04-25 13:17:03.173482+00,"SELECT * FROM payment($1, $2, $3, $4, $5, $6, $7)",active,2022-04-25 13:17:03.173482+00
1650892623.175051,dbt2,920,10,postgres,dbt2-client,10.1.1.11,36760,2022-04-25 13:16:00.736384+00,2022-04-25 13:17:03.172804+00,2022-04-25 13:17:03.173767+00,"SELECT * FROM payment($1, $2, $3, $4, $5, $6, $7)",active,2022-04-25 13:17:03.173768+00
1650892623.175051,dbt2,921,10,postgres,dbt2-client,10.1.1.11,36762,2022-04-25 13:16:00.836923+00,2022-04-25 13:17:03.17512+00,2022-04-25 13:17:03.175325+00,"SELECT * FROM payment($1, $2, $3, $4, $5, $6, $7)",active,2022-04-25 13:17:03.175325+00
1650892623.175051,dbt2,922,10,postgres,dbt2-client,10.1.1.11,36764,2022-04-25 13:16:00.93861+00,2022-04-25 13:17:03.177168+00,2022-04-25 13:17:03.177361+00,"SELECT * FROM new_order($1, $2, $3, $4, $5, ($6, $7, $8), ($9, $10, $11), ($12, $13, $14), ($15, $16, $17), ($18, $19, $20), ($21, $22, $23), ($24, $25, $26), ($27, $28, $29), ($30, $31, $32), ($33, $34, $35), ($36, $37, $38), ($39, $40, $41), ($42, $43, $44), ($45, $46, $47), ($48, $49, $50))",active,2022-04-25 13:17:03.177362+00
1650892623.175051,dbt2,923,10,postgres,dbt2-client,10.1.1.11,36766,2022-04-25 13:16:01.038217+00,2022-04-25 13:17:03.170799+00,2022-04-25 13:17:03.171491+00,"SELECT * FROM payment($1, $2, $3, $4, $5, $6, $7)",active,2022-04-25 13:17:03.171492+00
1650892623.175051,dbt2,924,10,postgres,dbt2-client,10.1.1.11,36768,2022-04-25 13:16:01.138839+00,2022-04-25 13:17:03.157455+00,2022-04-25 13:17:03.157639+00,"SELECT * FROM payment($1, $2, $3, $4, $5, $6, $7)",active,2022-04-25 13:17:03.15764+00
1650892623.175051,dbt2,1104,10,postgres,psql,,-1,2022-04-25 13:17:03.172632+00,2022-04-25 13:17:03.175051+00,2022-04-25 13:17:03.175051+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2022-04-25 13:17:03.175052+00
