ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1650892563.172662,pg_toast,pg_toast_1255,pg_toast_1255_index,2,3,3,2,1
1650892563.172662,pg_toast,pg_toast_1247,pg_toast_1247_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_2619,pg_toast_2619_index,10298,41250,41250,16,17264
1650892563.172662,pg_toast,pg_toast_3381,pg_toast_3381_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_3429,pg_toast_3429_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_2618,pg_toast_2618_index,901,3139,3139,14,1450
1650892563.172662,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_3466,pg_toast_3466_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_2615,pg_toast_2615_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_1262,pg_toast_1262_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_1213,pg_toast_1213_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_1260,pg_toast_1260_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_3600,pg_toast_3600_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_3079,pg_toast_3079_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_2328,pg_toast_2328_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_1417,pg_toast_1417_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_1418,pg_toast_1418_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_3118,pg_toast_3118_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_3256,pg_toast_3256_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_6000,pg_toast_6000_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_826,pg_toast_826_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_3394,pg_toast_3394_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1650892563.172662,pg_toast,pg_toast_3592,pg_toast_3592_index,0,0,0,0,0
