ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1650892563.171299,pg_catalog,pg_aggregate,2,290,573,573,0,0,0,0,145,0,11,568,14,928,0,0,0,0
1650892563.171299,pg_catalog,pg_foreign_table,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650892563.171299,pg_catalog,pg_class,14821,4722625,131800,99783,175,520,153,179,418,0,411,281262,170,273657,,,,
1650892563.171299,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,public,order_line,8,1140408,4907798,53852634,26632197,23416954,0,14906353,26361003,125354,1237343,125506195,495618,138423396,,,,
1650892563.171299,pg_catalog,pg_partitioned_table,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650892563.171299,pg_catalog,pg_rewrite,3,417,944,944,0,0,0,0,139,0,52,944,12,1622,116,1236,14,1450
1650892563.171299,pg_toast,pg_toast_3118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,public,stock,8,400000,57299497,52900645,100000,26347095,0,0,100000,39,44666,116376436,4649,269167787,,,,
1650892563.171299,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,public,item,6,400000,26372208,26347116,100000,0,0,0,100000,0,12154,26351612,1689,52742956,,,,
1650892563.171299,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,pg_catalog,pg_opfamily,3,438,0,0,0,0,0,0,146,0,4,4,0,0,,,,
1650892563.171299,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,pg_catalog,pg_type,3,1875,29284,28901,170,0,150,0,621,124,69,29251,49,60906,0,0,0,0
1650892563.171299,pg_catalog,pg_ts_parser,3,3,0,0,0,0,0,0,1,0,2,2,0,0,,,,
1650892563.171299,pg_catalog,pg_amop,4,3780,15393,29847,0,0,0,0,945,0,61,24690,73,33505,,,,
1650892563.171299,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,pg_catalog,pg_publication,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,pg_catalog,pg_statistic_ext_data,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650892563.171299,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,pg_catalog,pg_statistic,2,1015,42328,41918,92,8000,0,7419,498,107,342,52718,44,87600,574,42024,16,17264
1650892563.171299,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,pg_catalog,pg_range,3,18,68,0,0,0,0,0,6,0,2,2,20,116,,,,
1650892563.171299,pg_toast,pg_toast_14524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1650892563.171299,pg_catalog,pg_ts_config,3,87,56,56,0,0,0,0,29,0,2,58,4,80,,,,
1650892563.171299,pg_catalog,pg_statistic_ext,5,0,8573,0,0,0,0,0,0,0,0,0,9,17137,0,0,0,0
1650892563.171299,pg_toast,pg_toast_1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
