Time,USER,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,threads,fd-nr,Command
1650892623,postgres,853,0.00,0.00,0.00,0.00,0.00,0,1.60,0.00,11142332,287284,0.44,132,36,10.33,0.67,0.00,0,0.20,0.12,1,10,"/usr/pgsql-14/bin/postmaster -D /var/lib/pgsql/14/main/data"
1650892623,postgres,854,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,351908,5300,0.01,132,20,0.00,3.27,0.00,0,6.70,0.20,1,8,"postgres: main: logger"
1650892623,postgres,856,0.18,0.18,0.00,0.03,0.37,5,136.15,7.66,11142332,501972,0.76,132,32,0.13,2550.95,0.00,0,1.52,8.25,1,13,"postgres: main: checkpointer"
1650892623,postgres,857,0.00,0.02,0.00,0.00,0.02,1,0.18,0.00,11142332,85640,0.13,132,20,0.00,0.00,0.00,0,5.00,0.12,1,7,"postgres: main: background writer"
1650892623,postgres,858,0.12,0.08,0.00,0.12,0.20,1,0.00,0.00,11142332,72028,0.11,132,24,0.00,148.35,0.00,0,68.78,4.35,1,8,"postgres: main: walwriter"
1650892623,postgres,859,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,11142872,8776,0.01,132,16,0.00,0.00,0.00,0,0.13,0.00,1,8,"postgres: main: autovacuum launcher"
1650892623,postgres,860,0.00,0.03,0.00,0.00,0.03,1,8.23,0.00,11142332,6644,0.01,132,16,0.00,0.00,0.00,0,3.58,0.93,1,7,"postgres: main: archiver last was 000000010000000700000003"
1650892623,postgres,861,0.03,0.07,0.00,0.10,0.10,0,0.00,0.00,354232,6132,0.01,132,16,0.00,3.80,0.00,0,39.30,1.32,1,8,"postgres: main: stats collector"
1650892623,postgres,862,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,11142748,7004,0.01,132,16,0.00,0.00,0.00,0,0.02,0.00,1,8,"postgres: main: logical replication launcher"
1650892623,postgres,915,19.73,3.03,0.00,6.83,22.76,4,442.12,365.24,11147460,891524,1.36,132,40,1839.79,1986.14,0.00,0,1334.51,332.22,1,81,"postgres: main: postgres dbt2 10.1.1.11(36750) SELECT waiting"
1650892623,postgres,916,19.39,3.02,0.00,6.90,22.41,0,444.17,355.03,11147452,893880,1.36,132,40,1777.01,1979.61,0.00,0,1332.89,331.37,1,51,"postgres: main: postgres dbt2 10.1.1.11(36752) SELECT waiting"
1650892623,postgres,917,19.48,3.08,0.00,6.90,22.56,5,437.30,349.35,11147588,895720,1.36,132,40,1756.08,2018.93,0.00,0,1336.14,330.21,1,55,"postgres: main: postgres dbt2 10.1.1.11(36754) SELECT waiting"
1650892623,postgres,918,19.79,2.93,0.00,7.05,22.73,0,432.77,342.95,11147484,890900,1.36,132,40,1688.24,2034.12,0.00,0,1331.17,336.37,1,49,"postgres: main: postgres dbt2 10.1.1.11(36756) SELECT waiting"
1650892623,postgres,919,19.49,2.95,0.00,6.93,22.44,0,429.77,336.34,11147592,884356,1.35,132,40,1633.06,2007.86,0.00,0,1337.60,330.12,1,49,"postgres: main: postgres dbt2 10.1.1.11(36758) SELECT waiting"
1650892623,postgres,920,19.63,3.02,0.00,6.80,22.64,1,441.92,341.09,11147464,888668,1.35,132,40,1702.17,2023.86,0.00,0,1339.67,331.61,1,49,"postgres: main: postgres dbt2 10.1.1.11(36760) SELECT waiting"
1650892623,postgres,921,19.63,3.05,0.00,6.90,22.68,5,428.39,343.10,11147452,893276,1.36,132,40,1707.50,2021.46,0.00,0,1336.89,333.89,1,50,"postgres: main: postgres dbt2 10.1.1.11(36762) SELECT waiting"
1650892623,postgres,922,19.64,2.97,0.00,6.75,22.61,4,443.12,348.75,11147612,890768,1.36,132,40,1747.62,2047.32,0.00,0,1346.52,336.22,1,50,"postgres: main: postgres dbt2 10.1.1.11(36764) SELECT waiting"
1650892623,postgres,923,20.01,3.07,0.00,6.81,23.08,5,448.80,362.13,11147592,892696,1.36,132,40,1751.68,2063.85,0.00,0,1354.88,334.54,1,53,"postgres: main: postgres dbt2 10.1.1.11(36766) idle in transaction"
1650892623,postgres,924,19.44,3.02,0.00,6.98,22.46,0,438.99,333.82,11147496,892664,1.36,132,40,1627.59,2026.39,0.00,0,1337.17,328.69,1,49,"postgres: main: postgres dbt2 10.1.1.11(36768) idle"
1650892623,postgres,948,0.00,0.00,0.00,0.00,0.00,3,1.82,0.00,222516,3064,0.00,132,12,0.00,0.67,0.00,0,0.10,0.00,1,4,"/bin/sh /usr/bin/dbt2-pgsql-db-stat -D dbt2 -o /tmp/3-tier/db/pgsql1.dbt2.internal -i 6 -s 60"
1650892623,postgres,1038,0.00,0.00,0.00,0.00,0.00,5,0.02,0.00,217188,864,0.00,132,24,0.00,0.00,0.00,0,0.02,0.00,1,3,"sar -o /tmp/3-tier/db/pgsql1.dbt2.internal/sar_raw.out 60 6"
1650892623,postgres,1039,0.02,0.22,0.00,0.00,0.23,3,9.66,0.00,220636,4232,0.01,132,16,0.00,0.00,0.00,0,0.17,0.10,1,5,"pidstat -H -h -l -d -r -s -U -u -w -v -h -l -d -r -s -u -w 60 6"
1650892623,postgres,1040,0.00,0.00,0.00,0.00,0.00,1,1.82,0.00,222828,1284,0.00,132,16,0.00,0.73,0.00,0,1.77,0.13,1,5,"sadc 60 7 -Z -S XALL /tmp/3-tier/db/pgsql1.dbt2.internal/sar_raw.out"
1650892623,postgres,1103,0.00,0.00,0.00,0.00,0.00,2,1.33,0.00,217072,784,0.00,132,12,0.00,0.00,0.00,0,0.02,0.00,1,3,"sleep 60"
1650892683,postgres,853,0.02,0.02,0.00,0.00,0.03,5,1.58,0.00,11142332,287284,0.44,132,36,673.67,181.73,0.00,0,0.18,0.02,1,10,"/usr/pgsql-14/bin/postmaster -D /var/lib/pgsql/14/main/data"
1650892683,postgres,854,0.02,0.02,0.00,0.00,0.03,0,0.00,0.00,351908,5300,0.01,132,20,0.00,3.80,0.00,0,7.33,0.27,1,8,"postgres: main: logger"
1650892683,postgres,856,0.47,0.60,0.00,0.20,1.07,1,118.53,0.00,11142456,954832,1.45,132,32,0.00,9878.93,0.00,0,9.92,38.38,1,30,"postgres: main: checkpointer"
1650892683,postgres,857,0.00,0.02,0.00,0.00,0.02,3,0.07,0.00,11142332,85640,0.13,132,20,0.00,0.00,0.00,0,4.98,0.17,1,7,"postgres: main: background writer"
1650892683,postgres,858,0.10,0.08,0.00,0.07,0.18,2,0.00,0.00,11142332,72028,0.11,132,24,0.00,88.93,0.00,0,64.52,3.22,1,8,"postgres: main: walwriter"
1650892683,postgres,859,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,11142872,8776,0.01,132,16,0.00,0.00,0.00,0,0.13,0.00,1,8,"postgres: main: autovacuum launcher"
1650892683,postgres,860,0.00,0.02,0.00,0.00,0.02,2,5.25,0.00,11142332,6644,0.01,132,16,0.00,0.00,0.00,0,1.98,0.30,1,7,"postgres: main: archiver last was 00000001000000070000001A"
1650892683,postgres,861,0.05,0.07,0.00,0.10,0.12,3,0.00,0.00,354232,6132,0.01,132,16,0.00,4.87,0.00,0,47.83,1.87,1,8,"postgres: main: stats collector"
