Linux 6.1.12-200.fc37.x86_64 (lithium) 	04/28/2023 	_x86_64_	(4 CPU)

03:07:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:08:35 PM     all     29.83      0.00     38.17      7.82      9.63     14.53
03:09:35 PM     all     30.95      0.00     39.82      7.59      9.13     12.50
03:10:35 PM     all     27.70      0.00     39.38      8.17      9.13     15.62
03:11:35 PM     all     28.32      0.00     38.61      8.25     11.08     13.74
03:12:35 PM     all     27.00      0.00     36.23      9.56     12.96     14.26
03:13:35 PM     all     29.30      0.00     38.99      8.08      9.36     14.27
03:14:35 PM     all     29.82      0.00     39.76      7.46      7.71     15.25
03:15:35 PM     all     28.14      0.00     38.12      8.14      8.52     17.08
03:16:35 PM     all     30.51      0.00     39.01      7.59      7.95     14.94
03:17:35 PM     all     29.86      0.00     39.92      8.01      8.22     13.98
03:18:35 PM     all     30.07      0.00     39.28      7.85      7.73     15.07
03:19:35 PM     all     29.85      0.00     39.32      8.11      9.00     13.73
03:20:35 PM     all     29.45      0.00     38.70      7.85      8.14     15.86
03:21:35 PM     all     30.49      0.00     38.83      7.85      8.42     14.41
03:22:35 PM     all     28.66      0.00     38.13      8.32      8.91     15.98
03:23:35 PM     all     27.87      0.00     36.83      8.30      9.46     17.53
03:24:35 PM     all     29.98      0.00     39.27      8.09      8.83     13.83
03:25:35 PM     all     28.30      0.00     38.86      7.91      8.30     16.64
03:26:35 PM     all     30.26      0.00     40.37      8.21      8.71     12.46
03:27:35 PM     all     25.95      0.00     39.52      8.94      7.73     17.86
03:28:35 PM     all     28.99      0.00     39.60      8.69      8.19     14.53
03:29:35 PM     all     30.03      0.00     38.99      7.84      8.38     14.76
03:30:35 PM     all     29.93      0.00     38.71      7.54      8.14     15.67
03:31:35 PM     all     30.45      0.00     38.82      7.80      8.37     14.56
03:32:35 PM     all     28.77      0.00     37.87      7.75      8.22     17.39
03:33:35 PM     all     28.31      0.00     38.46      7.93      8.76     16.54
03:34:35 PM     all     28.59      0.00     39.39      8.40      9.86     13.77
03:35:35 PM     all     29.30      0.00     38.37      7.63      8.50     16.19
03:36:35 PM     all     29.35      0.00     38.53      7.56      8.55     16.01
03:37:35 PM     all     29.08      0.00     38.38      7.79     10.10     14.65
03:38:35 PM     all     31.65      0.00     39.26      6.75      8.14     14.19
03:39:35 PM     all     31.00      0.00     40.28      6.92      7.78     14.03
03:40:35 PM     all     29.60      0.00     40.12      6.87      7.57     15.84
03:41:35 PM     all     28.06      0.00     38.98      8.59      8.92     15.46
03:42:35 PM     all     27.07      0.00     37.24      8.88     11.92     14.90
03:43:35 PM     all     30.13      0.00     38.61      7.36      9.42     14.47
03:44:35 PM     all     31.00      0.00     39.82      7.05      8.73     13.40
03:45:35 PM     all     30.36      0.00     39.36      7.67      9.62     13.00
03:46:35 PM     all     30.00      1.25     38.96      7.64      8.86     13.30
03:47:35 PM     all     30.68      0.00     39.16      7.66      9.23     13.27
03:48:35 PM     all     31.17      0.00     40.10      7.35      8.41     12.96
03:49:35 PM     all     29.74      0.00     38.65      7.91     10.57     13.13
03:50:35 PM     all     29.84      0.00     39.14      7.48      8.24     15.29
03:51:35 PM     all     29.43      0.00     38.81      7.94      8.54     15.29
03:52:35 PM     all     27.82      0.00     37.47      8.29     11.13     15.29
03:53:35 PM     all     28.54      0.00     38.81      7.87     11.04     13.74
03:54:35 PM     all     28.04      0.00     39.97      8.50      8.66     14.82
03:55:35 PM     all     28.31      0.00     40.06      8.29      8.79     14.54
03:56:35 PM     all     29.65      0.00     38.54      7.89      8.99     14.94
03:57:35 PM     all     29.19      0.00     38.84      7.43      9.40     15.13
03:58:35 PM     all     29.95      0.00     40.09      7.03      7.43     15.51
03:59:35 PM     all     29.52      0.00     38.56      8.26     10.20     13.46
04:00:35 PM     all     31.59      0.00     40.04      7.72      8.58     12.07
04:01:35 PM     all     29.62      0.00     38.90      7.78      9.56     14.13
04:02:35 PM     all     30.04      0.00     39.26      7.61      7.75     15.33
04:03:35 PM     all     29.35      0.00     38.73      7.60      8.07     16.25
04:04:35 PM     all     30.39      0.00     39.44      7.87      8.74     13.55
04:05:35 PM     all     26.73      0.00     37.25      8.39     11.44     16.19
04:06:35 PM     all     28.00      0.00     37.84      8.78     10.06     15.32
04:07:35 PM     all     29.26      0.00     39.19      7.83      8.20     15.53
