# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
lithium;60;1682719715;168940;14981136;691832;4.22;216;15178680;1510248;6.10;1056196;14640068;261120
lithium;60;1682719775;161864;14953048;711652;4.34;216;15157792;1530516;6.18;1074172;14616952;246316
lithium;60;1682719835;187408;14972388;701432;4.28;216;15152488;1531316;6.18;1075200;14610740;166128
lithium;60;1682719895;192940;14982808;686576;4.19;216;15157156;1591776;6.43;1068168;14615396;243232
lithium;60;1682719955;202984;14969148;699500;4.27;216;15133472;1592028;6.43;1072240;14591764;262516
lithium;60;1682720015;207208;14961872;705816;4.31;216;15122296;1592112;6.43;1075900;14580360;235488
lithium;60;1682720075;193004;14951208;716764;4.38;216;15126104;1592424;6.43;1081464;14584044;219240
lithium;60;1682720135;240908;14952780;717864;4.38;216;15080248;1592704;6.43;1081540;14538172;229012
lithium;60;1682720195;203788;14970204;697640;4.26;216;15134952;1532988;6.19;1076240;14592628;206968
lithium;60;1682720255;194416;14966824;702108;4.29;216;15140884;1523052;6.15;1066116;14598616;125332
lithium;60;1682720315;233108;14961756;709940;4.33;216;15097840;1533592;6.19;1076280;14555472;253952
lithium;60;1682720375;253648;14967136;700656;4.28;216;15082696;1533892;6.19;1076324;14540336;192256
lithium;60;1682720435;223704;14943684;728272;4.45;216;15089232;1524096;6.15;1066368;14546828;100996
lithium;60;1682720495;228352;14976136;689800;4.21;216;15117544;1524408;6.15;1066432;14575092;205948
lithium;60;1682720555;219076;14957932;704204;4.30;216;15108676;1524712;6.16;1066516;14566184;213524
lithium;60;1682720615;277104;14969864;700148;4.27;216;15063068;1514600;6.12;1061224;14520504;187340
lithium;60;1682720675;223344;14969220;692508;4.23;216;15116116;1594696;6.44;1070012;14573520;236368
lithium;60;1682720735;206876;14947848;722144;4.41;192;15111800;1605372;6.48;1084796;14568944;226888
lithium;60;1682720795;217332;14937992;718540;4.39;192;15090616;1608108;6.49;1089080;14547548;244072
lithium;60;1682720855;311700;14943456;720596;4.40;192;15001248;1595736;6.44;1083292;14457996;249756
lithium;60;1682720915;264108;14949544;710980;4.34;192;15054972;1535724;6.20;1078092;14511572;265664
lithium;60;1682720975;229324;14960740;704344;4.30;192;15101132;1525884;6.16;1068164;14557560;281612
lithium;60;1682721035;227668;14948036;717880;4.38;192;15090052;1526192;6.16;1068396;14546248;264336
lithium;60;1682721095;252148;14970756;690048;4.21;192;15088500;1526420;6.16;1068584;14544508;308532
lithium;60;1682721155;237436;14957268;705204;4.31;192;15090252;1526724;6.16;1068760;14546096;222028
lithium;60;1682721215;229716;14964980;698880;4.27;192;15104016;1539596;6.22;1074908;14559828;300124
lithium;60;1682721275;228672;14949524;702744;4.29;192;15090120;1527604;6.17;1069340;14545596;229844
lithium;60;1682721335;261008;14947328;710944;4.34;192;15055088;1538272;6.21;1079656;14510392;245912
lithium;60;1682721395;235108;14930852;726092;4.43;192;15065044;1608844;6.50;1082548;14520172;47780
lithium;60;1682721455;238452;14922804;731268;4.46;192;15053756;1635992;6.61;1108344;14508648;226656
lithium;60;1682721515;235048;14940264;705716;4.31;192;15074844;1598768;6.45;1080484;14529648;186484
lithium;60;1682721575;247440;14955544;699076;4.27;192;15080204;1609324;6.50;1091156;14534812;267600
lithium;60;1682721635;236300;14927128;729468;4.45;192;15060796;1609652;6.50;1096772;14515136;223512
lithium;60;1682721695;303636;14923008;731984;4.47;192;14989704;1609952;6.50;1096968;14443860;243636
lithium;60;1682721755;320160;14948260;707824;4.32;192;14998920;1529656;6.18;1070956;14452832;268544
lithium;60;1682721815;251604;14943888;709824;4.33;192;15063004;1529948;6.18;1071128;14516748;264192
lithium;60;1682721875;253680;14947660;706292;4.31;192;15065152;1540492;6.22;1081448;14518680;287876
lithium;60;1682721935;275636;14948424;702180;4.29;192;15043912;1540940;6.22;1081620;14497304;220652
lithium;60;1682721995;286972;14932440;721108;4.40;192;15016700;1541240;6.22;1086640;14465064;233688
lithium;60;1682722055;316896;14933840;712372;4.35;192;14986332;1541552;6.22;1086868;14434516;247476
lithium;60;1682722115;308780;14933244;714340;4.36;192;14993652;1541952;6.23;1087040;14441676;228884
lithium;60;1682722175;300600;14938920;713472;4.36;192;15008364;1542360;6.23;1087252;14456208;233596
lithium;60;1682722235;286384;14935792;713292;4.35;192;15021592;1568120;6.33;1091024;14469264;187332
lithium;60;1682722295;282560;14938588;706104;4.31;192;15028532;1613452;6.51;1092332;14475948;186452
lithium;60;1682722355;239276;14944844;710884;4.34;192;15078404;1613716;6.52;1095908;14525628;173216
lithium;60;1682722415;248288;14912272;738156;4.51;192;15037112;1640848;6.62;1125528;14484152;244088
lithium;60;1682722475;252308;14922564;729516;4.45;192;15043416;1613560;6.51;1103216;14490360;78128
lithium;60;1682722535;325928;14942632;709164;4.33;192;14990356;1543508;6.23;1088192;14437100;90160
lithium;60;1682722595;284064;14944272;704660;4.30;192;15033800;1544264;6.23;1088572;14480316;245420
lithium;60;1682722655;259536;14937596;705864;4.31;192;15051956;1544568;6.24;1088796;14498332;214236
lithium;60;1682722715;261652;14949788;701888;4.29;192;15062680;1544860;6.24;1088956;14508668;206480
lithium;60;1682722775;257220;14928544;723320;4.42;192;15045924;1545148;6.24;1093312;14487800;132272
lithium;60;1682722835;279280;14960892;686780;4.19;192;15056520;1535204;6.20;1083380;14498224;107396
lithium;60;1682722895;272288;14939492;705724;4.31;192;15042220;1535504;6.20;1083556;14483684;262076
lithium;60;1682722955;290644;14948396;699568;4.27;192;15033028;1546072;6.24;1093864;14474360;263660
lithium;60;1682723015;299784;14920132;728312;4.45;192;14995888;1546468;6.24;1094088;14437048;105064
lithium;60;1682723075;278936;14928688;716856;4.38;192;15025588;1617096;6.53;1097036;14466576;195744
lithium;60;1682723135;286784;14939236;709560;4.33;192;15028576;1607372;6.49;1091352;14469404;32652
lithium;60;1682723195;296704;14910352;732784;4.47;192;14989988;1618160;6.53;1108220;14430656;199068
lithium;60;1682723255;316808;14937028;709100;4.33;192;14996880;1618364;6.53;1110224;14437356;246096
