# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
lithium;60;1682719715;lo;729.53;729.53;388.48;388.48;0.00;0.00;0.00;0.00
lithium;60;1682719715;enp1s0;2223.50;2766.75;444.88;913.35;0.00;0.00;0.00;0.00
lithium;60;1682719775;lo;708.53;708.53;365.45;365.45;0.00;0.00;0.00;0.00
lithium;60;1682719775;enp1s0;2172.53;2921.37;455.37;956.67;0.00;0.00;0.00;0.00
lithium;60;1682719835;lo;683.85;683.85;353.18;353.18;0.00;0.00;0.00;0.00
lithium;60;1682719835;enp1s0;2051.03;2774.97;430.70;904.51;0.00;0.00;0.00;0.00
lithium;60;1682719895;lo;692.87;692.87;353.15;353.15;0.00;0.00;0.00;0.00
lithium;60;1682719895;enp1s0;2086.63;2817.43;436.50;918.56;0.00;0.00;0.00;0.00
lithium;60;1682719955;lo;686.25;686.25;348.87;348.87;0.00;0.00;0.00;0.00
lithium;60;1682719955;enp1s0;1993.32;2686.73;417.92;878.41;0.00;0.00;0.00;0.00
lithium;60;1682720015;lo;684.78;684.78;348.87;348.87;0.00;0.00;0.00;0.00
lithium;60;1682720015;enp1s0;2008.27;2733.57;420.36;886.70;0.00;0.00;0.00;0.00
lithium;60;1682720075;lo;662.43;662.43;337.51;337.51;0.00;0.00;0.00;0.00
lithium;60;1682720075;enp1s0;1841.33;2529.38;383.71;812.93;0.00;0.00;0.00;0.00
lithium;60;1682720135;lo;639.53;639.53;323.73;323.73;0.00;0.00;0.00;0.00
lithium;60;1682720135;enp1s0;1785.35;2436.07;374.57;790.47;0.00;0.00;0.00;0.00
lithium;60;1682720195;lo;675.87;675.87;347.47;347.47;0.00;0.00;0.00;0.00
lithium;60;1682720195;enp1s0;1909.28;2598.62;398.41;843.47;0.00;0.00;0.00;0.00
lithium;60;1682720255;lo;676.31;676.31;345.47;345.47;0.00;0.00;0.00;0.00
lithium;60;1682720255;enp1s0;1889.46;2601.13;397.37;835.79;0.00;0.00;0.00;0.00
lithium;60;1682720315;lo;690.50;690.50;352.09;352.09;0.00;0.00;0.00;0.00
lithium;60;1682720315;enp1s0;2078.15;2805.42;434.58;916.37;0.00;0.00;0.00;0.00
lithium;60;1682720375;lo;709.60;709.60;363.61;363.61;0.00;0.00;0.00;0.00
lithium;60;1682720375;enp1s0;2218.38;2985.43;466.42;977.81;0.00;0.00;0.00;0.00
lithium;60;1682720435;lo;700.68;700.68;359.87;359.87;0.00;0.00;0.00;0.00
lithium;60;1682720435;enp1s0;2202.83;2937.00;461.77;969.38;0.00;0.00;0.00;0.00
lithium;60;1682720495;lo;711.31;711.31;364.39;364.39;0.00;0.00;0.00;0.00
lithium;60;1682720495;enp1s0;2273.12;3011.25;477.30;998.64;0.00;0.00;0.00;0.00
lithium;60;1682720555;lo;692.50;692.50;356.31;356.31;0.00;0.00;0.00;0.00
lithium;60;1682720555;enp1s0;2084.87;2803.55;436.55;919.28;0.00;0.00;0.00;0.00
lithium;60;1682720615;lo;665.42;665.42;343.43;343.43;0.00;0.00;0.00;0.00
lithium;60;1682720615;enp1s0;1969.42;2649.92;412.56;867.64;0.00;0.00;0.00;0.00
lithium;60;1682720675;lo;702.47;702.47;360.64;360.64;0.00;0.00;0.00;0.00
lithium;60;1682720675;enp1s0;2225.45;2969.88;465.65;977.97;0.00;0.00;0.00;0.00
lithium;60;1682720735;lo;689.52;689.52;352.93;352.93;0.00;0.00;0.00;0.00
lithium;60;1682720735;enp1s0;2088.93;2806.78;437.46;919.42;0.00;0.00;0.00;0.00
lithium;60;1682720795;lo;712.22;712.22;363.84;363.84;0.00;0.00;0.00;0.00
lithium;60;1682720795;enp1s0;2213.15;2968.18;464.48;976.47;0.00;0.00;0.00;0.00
lithium;60;1682720855;lo;644.27;644.27;330.65;330.65;0.00;0.00;0.00;0.00
lithium;60;1682720855;enp1s0;1841.95;2495.00;384.54;812.17;0.00;0.00;0.00;0.00
lithium;60;1682720915;lo;696.83;696.83;361.36;361.36;0.00;0.00;0.00;0.00
lithium;60;1682720915;enp1s0;2097.92;2815.32;439.93;923.58;0.00;0.00;0.00;0.00
lithium;60;1682720975;lo;711.08;711.08;364.83;364.83;0.00;0.00;0.00;0.00
