# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
lithium;60;1682719715;2378.47;100156.47;10653.13;0.23;12001.33;2068.90;0.00;4083.40;197.37
lithium;60;1682719775;9035.00;108995.13;1849.67;0.13;14272.07;3560.28;0.00;7104.90;199.56
lithium;60;1682719835;8110.80;110056.47;373.68;0.00;12848.38;3120.93;0.00;6237.77;199.87
lithium;60;1682719895;8388.20;102579.67;422.42;0.00;11903.22;2660.27;0.00;5319.07;199.94
lithium;60;1682719955;4112.13;100038.20;585.10;0.02;10147.13;1573.22;0.00;3146.43;200.00
lithium;60;1682720015;2921.60;100479.73;575.12;0.00;9805.00;1172.88;0.00;2345.77;200.00
lithium;60;1682720075;2666.47;98635.87;676.02;0.00;9796.53;1815.47;0.00;3630.93;200.00
lithium;60;1682720135;4227.00;108906.80;529.27;0.00;8758.67;964.27;0.00;1928.40;199.99
lithium;60;1682720195;2069.39;100795.93;707.37;0.00;8896.48;1013.16;0.00;2024.53;199.82
lithium;60;1682720255;1389.90;99704.68;411.85;0.00;8113.10;580.36;0.00;1160.59;199.98
lithium;60;1682720315;1276.20;105061.27;492.22;0.00;8732.55;724.27;0.00;1448.53;200.00
lithium;60;1682720375;1221.73;111419.33;278.30;0.00;9264.97;580.27;0.00;1160.53;200.00
lithium;60;1682720435;987.00;110422.47;438.33;0.00;8961.68;422.08;0.00;844.17;200.00
lithium;60;1682720495;1068.89;109777.97;526.50;0.00;9082.49;363.67;0.00;727.35;200.00
lithium;60;1682720555;3509.40;109059.67;502.70;0.00;9811.38;796.80;0.00;1593.60;200.00
lithium;60;1682720615;3763.27;110883.93;626.35;0.00;9492.40;1102.93;0.00;2205.87;200.00
lithium;60;1682720675;2621.47;107916.13;593.20;0.00;9452.70;494.93;0.00;989.80;199.99
lithium;60;1682720735;5236.40;116596.27;267.35;0.00;10116.88;1029.32;0.00;2058.20;199.96
lithium;60;1682720795;7683.33;110813.73;508.85;0.00;13535.87;3770.67;0.00;7541.30;200.00
lithium;60;1682720855;5573.53;128682.27;692.13;0.00;12781.58;2228.27;0.00;4456.53;200.00
lithium;60;1682720915;4872.73;117239.33;634.15;0.00;11309.17;1227.73;0.00;2455.43;200.00
lithium;60;1682720975;956.13;111569.13;326.68;0.00;8773.62;430.93;0.00;861.87;200.00
lithium;60;1682721035;599.07;114563.00;626.43;0.00;8658.88;374.15;0.00;748.30;200.00
lithium;60;1682721095;526.67;106667.07;528.23;0.00;8715.35;311.47;0.00;622.93;200.00
lithium;60;1682721155;248.67;107829.60;534.98;0.00;8434.75;278.40;0.00;556.80;200.00
lithium;60;1682721215;5797.40;109348.47;653.93;0.00;11276.77;2033.07;0.00;4066.13;200.00
lithium;60;1682721275;3791.87;111976.87;577.28;0.00;10230.90;1341.87;0.00;2683.57;199.99
lithium;60;1682721335;302.33;109715.87;487.73;0.00;8776.15;409.60;0.00;819.20;200.00
lithium;60;1682721395;740.20;113158.07;203.15;0.00;8273.23;259.20;0.00;518.40;200.00
lithium;60;1682721455;4654.00;88992.53;645.17;0.00;8184.25;1061.33;0.00;2122.67;200.00
lithium;60;1682721515;1421.33;100019.47;661.25;0.00;7576.77;449.07;0.00;898.13;200.00
lithium;60;1682721575;25876.40;93790.67;576.25;0.00;14069.03;6813.87;0.00;13627.70;200.00
lithium;60;1682721635;8829.87;101939.07;336.30;0.00;11840.70;3388.55;0.00;6776.87;199.99
lithium;60;1682721695;1128.13;105385.53;189.87;0.00;8541.72;1102.93;0.00;2205.87;200.00
lithium;60;1682721755;1352.27;91254.93;461.28;0.00;8117.80;669.87;0.00;1339.60;199.98
lithium;60;1682721815;683.40;89031.67;364.97;0.00;7065.70;131.20;0.00;262.40;200.00
lithium;60;1682721875;697.07;92729.07;237.18;0.00;7081.10;407.47;0.00;814.93;200.00
lithium;60;1682721935;635.40;93248.07;356.00;0.00;7402.27;438.40;0.00;876.80;200.00
lithium;60;1682721995;4810.87;88884.13;961.22;0.30;9261.10;1782.40;0.00;3530.50;198.08
lithium;60;1682722055;575.13;91681.00;215.30;0.02;7349.42;550.40;0.00;1100.80;200.00
lithium;60;1682722115;495.87;94456.53;361.43;0.00;7426.43;284.80;0.00;569.60;200.00
lithium;60;1682722175;678.40;87367.40;331.83;0.00;6851.15;284.80;0.00;569.60;200.00
lithium;60;1682722235;598.10;97833.63;389.99;0.00;7489.87;297.60;0.00;595.20;200.00
lithium;60;1682722295;2309.52;97377.43;391.28;0.00;7989.85;814.00;0.00;1627.74;199.97
lithium;60;1682722355;1760.73;87847.47;209.72;0.02;6555.63;710.40;0.00;1420.80;200.00
lithium;60;1682722415;5501.67;86690.00;648.00;0.00;8713.90;1825.07;0.00;3650.13;200.00
lithium;60;1682722475;9496.67;105776.40;585.53;0.00;12310.25;3805.87;0.00;7611.67;200.00
lithium;60;1682722535;9069.60;95001.20;373.37;0.00;12589.53;2955.73;0.00;5911.47;200.00
lithium;60;1682722595;4963.11;91025.76;327.56;0.00;9113.88;1938.88;0.00;3877.69;200.00
lithium;60;1682722655;4573.47;94566.33;373.33;0.00;8887.33;1475.20;0.00;2950.40;200.00
lithium;60;1682722715;3289.60;101265.53;200.87;0.00;8456.13;1137.07;0.00;2274.13;200.00
lithium;60;1682722775;2777.07;87358.33;475.23;0.05;7743.05;846.93;0.00;1693.87;200.00
lithium;60;1682722835;3164.27;89893.40;338.97;0.00;8732.37;1230.40;0.00;2460.80;200.00
lithium;60;1682722895;2745.67;87911.87;554.45;0.00;8047.08;974.93;0.00;1949.87;200.00
lithium;60;1682722955;2019.13;100632.40;407.40;0.00;8615.22;1027.20;0.00;2054.40;200.00
lithium;60;1682723015;3929.13;115974.13;348.78;0.00;9462.77;821.33;0.00;1642.67;200.00
lithium;60;1682723075;3493.93;108364.87;225.80;0.00;9894.25;992.00;0.00;1984.00;200.00
lithium;60;1682723135;7686.60;104436.07;439.32;0.00;10817.65;1354.67;0.00;2709.33;200.00
lithium;60;1682723195;6488.47;108206.60;529.97;0.00;11087.87;1566.93;0.00;3133.87;200.00
lithium;60;1682723255;1046.13;110130.73;318.42;0.00;8509.87;695.47;0.00;1390.80;199.98
