# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
potassium;60;1650892623;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892623;eth0;0.50;0.00;0.03;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892623;eth1;3051.95;3051.85;18056.55;18057.17;0.00;0.00;0.00;1.48
potassium;60;1650892683;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892683;eth0;0.55;0.00;0.03;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892683;eth1;3029.50;3029.02;17937.08;17936.86;0.00;0.00;0.00;1.47
potassium;60;1650892743;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892743;eth0;0.52;0.02;0.03;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892743;eth1;3371.38;3370.78;19967.32;19967.26;0.00;0.00;0.00;1.64
potassium;60;1650892803;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892803;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892803;eth1;3285.60;3285.15;19458.07;19458.25;0.00;0.00;0.00;1.59
potassium;60;1650892863;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892863;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892863;eth1;3229.08;3228.52;19122.99;19120.99;0.00;0.00;0.00;1.57
