# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
potassium;60;1682719714;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682719714;enp1s0;1458.80;1559.17;7682.28;7707.89;0.00;0.00;0.00;0.00
potassium;60;1682719774;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682719774;enp1s0;1558.52;1683.37;8257.39;8264.71;0.00;0.00;0.00;0.00
potassium;60;1682719834;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682719834;enp1s0;1489.90;1610.28;7869.83;7877.19;0.00;0.00;0.00;0.00
potassium;60;1682719894;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682719894;enp1s0;1509.40;1619.85;7940.06;7945.96;0.00;0.00;0.00;0.00
potassium;60;1682719954;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682719954;enp1s0;1461.27;1542.25;7552.78;7553.25;0.00;0.00;0.00;0.00
potassium;60;1682720014;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682720014;enp1s0;1462.33;1546.25;7660.23;7663.16;0.00;0.00;0.00;0.00
potassium;60;1682720074;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682720074;enp1s0;1369.63;1446.50;7104.44;7110.89;0.00;0.00;0.00;0.00
potassium;60;1682720134;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682720134;enp1s0;1306.70;1376.78;6762.43;6766.63;0.00;0.00;0.00;0.00
potassium;60;1682720194;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682720194;enp1s0;1384.30;1450.63;7174.20;7177.31;0.00;0.00;0.00;0.00
potassium;60;1682720254;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682720254;enp1s0;1403.13;1465.35;7300.70;7304.10;0.00;0.00;0.00;0.00
potassium;60;1682720314;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682720314;enp1s0;1480.97;1533.53;7773.50;7776.36;0.00;0.00;0.00;0.00
potassium;60;1682720374;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682720374;enp1s0;1608.32;1655.43;8538.34;8540.76;0.00;0.00;0.00;0.00
potassium;60;1682720434;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682720434;enp1s0;1584.93;1632.25;8416.50;8419.11;0.00;0.00;0.00;0.00
potassium;60;1682720494;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682720494;enp1s0;1613.27;1657.07;8567.45;8569.92;0.00;0.00;0.00;0.00
potassium;60;1682720554;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682720554;enp1s0;1525.27;1564.73;8039.55;8041.41;0.00;0.00;0.00;0.00
potassium;60;1682720614;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682720614;enp1s0;1426.30;1462.98;7456.30;7457.01;0.00;0.00;0.00;0.00
potassium;60;1682720674;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
