ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,query,state,state_change
1653667915.539285,,15574,,,"",,,2022-05-27 16:11:51.81696+00,,,"",,
1653667915.539285,,15576,10,postgres,"",,,2022-05-27 16:11:51.8174+00,,,"",,
1653667915.539285,dbt3,15641,10,postgres,psql,,-1,2022-05-27 16:11:55.368502+00,2022-05-27 16:11:55.369871+00,2022-05-27 16:11:55.369871+00,COPY supplier FROM PROGRAM '/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T s -o -C 6 -S 2' USING DELIMITERS '|';,active,2022-05-27 16:11:55.369871+00
1653667915.539285,dbt3,15642,10,postgres,psql,,-1,2022-05-27 16:11:55.368721+00,2022-05-27 16:11:55.369861+00,2022-05-27 16:11:55.369861+00,COPY supplier FROM PROGRAM '/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T s -o -C 6 -S 1' USING DELIMITERS '|';,active,2022-05-27 16:11:55.369861+00
1653667915.539285,dbt3,15643,10,postgres,psql,,-1,2022-05-27 16:11:55.368914+00,2022-05-27 16:11:55.37006+00,2022-05-27 16:11:55.37006+00,COPY supplier FROM PROGRAM '/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T s -o -C 6 -S 3' USING DELIMITERS '|';,active,2022-05-27 16:11:55.37006+00
1653667915.539285,dbt3,15644,10,postgres,psql,,-1,2022-05-27 16:11:55.369097+00,2022-05-27 16:11:55.370188+00,2022-05-27 16:11:55.370188+00,COPY supplier FROM PROGRAM '/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T s -o -C 6 -S 5' USING DELIMITERS '|';,active,2022-05-27 16:11:55.370188+00
1653667915.539285,dbt3,15645,10,postgres,psql,,-1,2022-05-27 16:11:55.369301+00,2022-05-27 16:11:55.371809+00,2022-05-27 16:11:55.371809+00,COPY supplier FROM PROGRAM '/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T s -o -C 6 -S 4' USING DELIMITERS '|';,active,2022-05-27 16:11:55.37181+00
1653667915.539285,dbt3,15650,10,postgres,psql,,-1,2022-05-27 16:11:55.371596+00,2022-05-27 16:11:55.372861+00,2022-05-27 16:11:55.372861+00,COPY supplier FROM PROGRAM '/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T s -o -C 6 -S 6' USING DELIMITERS '|';,active,2022-05-27 16:11:55.372862+00
1653667915.539285,dbt3,15672,10,postgres,psql,,-1,2022-05-27 16:11:55.53683+00,2022-05-27 16:11:55.539285+00,2022-05-27 16:11:55.539285+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2022-05-27 16:11:55.539285+00
1653667915.539285,dbt3,15669,10,postgres,psql,,-1,2022-05-27 16:11:55.534913+00,2022-05-27 16:11:55.539321+00,2022-05-27 16:11:55.539321+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2022-05-27 16:11:55.539322+00
