ctime,relname,pid,mode,granted
1653667915.538703,supplier,15641,RowExclusiveLock,t
1653667915.538703,supplier,15642,RowExclusiveLock,t
1653667915.538703,supplier,15643,RowExclusiveLock,t
1653667915.538703,supplier,15644,RowExclusiveLock,t
1653667915.538703,supplier,15645,RowExclusiveLock,t
1653667915.538703,supplier,15650,RowExclusiveLock,t
1653667975.536149,partsupp,15701,RowExclusiveLock,t
1653667975.536149,partsupp,15698,RowExclusiveLock,t
1653667975.536149,partsupp,15699,RowExclusiveLock,t
1653667975.536149,partsupp,15700,RowExclusiveLock,t
1653667975.536149,partsupp,15700,ExclusiveLock,f
1653667975.536149,partsupp,15698,ExclusiveLock,t
1653667975.536149,partsupp,15703,RowExclusiveLock,t
1653667975.536149,partsupp,15702,RowExclusiveLock,t
1653667975.536149,pg_index,15717,AccessShareLock,t
1653667975.536149,pg_index,15720,AccessShareLock,t
1653667975.536149,pg_index_indexrelid_index,15717,AccessShareLock,t
1653667975.536149,pg_index_indrelid_index,15717,AccessShareLock,t
1653667975.536149,pg_namespace,15720,AccessShareLock,t
1653667975.536149,pg_namespace,15717,AccessShareLock,t
1653667975.536149,pg_namespace_nspname_index,15717,AccessShareLock,t
1653667975.536149,pg_namespace_oid_index,15717,AccessShareLock,t
1653668035.574692,orders,15747,ExclusiveLock,t
1653668035.574692,orders,15753,RowExclusiveLock,t
1653668035.574692,orders,15750,RowExclusiveLock,t
1653668035.574692,orders,15747,RowExclusiveLock,t
1653668035.574692,orders,15748,RowExclusiveLock,t
1653668035.574692,orders,15746,RowExclusiveLock,t
1653668035.574692,orders,15749,RowExclusiveLock,t
1653668035.574692,partsupp,15758,ShareUpdateExclusiveLock,t
1653668095.603503,customer,15758,ShareUpdateExclusiveLock,t
1653668095.603503,lineitem,15783,ExclusiveLock,t
1653668095.603503,lineitem,15783,RowExclusiveLock,t
1653668095.603503,lineitem,15779,RowExclusiveLock,t
1653668095.603503,lineitem,15777,RowExclusiveLock,t
1653668095.603503,lineitem,15785,RowExclusiveLock,t
1653668095.603503,lineitem,15780,RowExclusiveLock,t
1653668095.603503,lineitem,15778,RowExclusiveLock,t
1653668095.603503,orders,15789,ShareUpdateExclusiveLock,t
1653668155.559692,lineitem,15780,RowExclusiveLock,t
1653668155.559692,lineitem,15785,ExclusiveLock,f
1653668155.559692,lineitem,15779,ExclusiveLock,t
1653668155.559692,lineitem,15783,RowExclusiveLock,t
1653668155.559692,lineitem,15779,RowExclusiveLock,t
1653668155.559692,lineitem,15778,RowExclusiveLock,t
1653668155.559692,lineitem,15777,RowExclusiveLock,t
1653668155.559692,lineitem,15785,RowExclusiveLock,t
1653668155.559692,orders,15789,ShareUpdateExclusiveLock,t
1653668155.559692,pg_cast,15812,AccessShareLock,t
1653668155.559692,pg_cast_source_target_index,15812,AccessShareLock,t
1653668155.559692,pg_opclass,15812,AccessShareLock,t
1653668155.559692,pg_opclass_am_name_nsp_index,15812,AccessShareLock,t
1653668215.563928,lineitem,15783,RowExclusiveLock,t
1653668215.563928,lineitem,15779,RowExclusiveLock,t
1653668215.563928,lineitem,15778,RowExclusiveLock,t
1653668215.563928,lineitem,15777,RowExclusiveLock,t
1653668215.563928,lineitem,15785,RowExclusiveLock,t
1653668215.563928,lineitem,15780,RowExclusiveLock,t
1653668275.609593,customer,15902,ShareLock,t
1653668275.609593,customer,15907,ShareLock,t
1653668275.609593,lineitem,15888,ShareLock,t
1653668275.609593,lineitem,15924,ShareLock,t
1653668275.609593,lineitem,15904,ShareLock,t
1653668275.609593,lineitem,15901,ShareLock,t
1653668275.609593,lineitem,15895,ShareLock,t
1653668275.609593,lineitem,15883,ShareLock,t
1653668275.609593,lineitem,15887,ShareLock,t
1653668275.609593,lineitem,15889,ShareLock,t
1653668275.609593,lineitem,15925,ShareLock,t
1653668275.609593,lineitem,15906,ShareLock,t
1653668275.609593,lineitem,15900,ShareLock,t
1653668275.609593,orders,15910,ShareLock,t
1653668275.609593,orders,15894,ShareLock,t
1653668275.609593,orders,15885,ShareLock,t
1653668275.609593,orders,15892,ShareLock,t
1653668275.609593,part,15884,ShareLock,t
1653668275.609593,partsupp,15877,ShareLock,t
1653668275.609593,partsupp,15881,ShareLock,t
1653668335.611511,lineitem,15925,ShareLock,t
1653668335.611511,lineitem,15906,ShareLock,t
1653668335.611511,lineitem,15900,ShareLock,t
1653668335.611511,lineitem,15924,ShareLock,t
1653668335.611511,lineitem,15904,ShareLock,t
1653668335.611511,lineitem,15901,ShareLock,t
1653668335.611511,lineitem,15888,ShareLock,t
1653668335.611511,lineitem,15895,ShareLock,t
1653668335.611511,lineitem,15883,ShareLock,t
1653668335.611511,lineitem,15887,ShareLock,t
1653668335.611511,lineitem,15889,ShareLock,t
1653668335.611511,pg_am,15971,AccessShareLock,t
1653668335.611511,pg_index,15972,AccessShareLock,t
