Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,Command
1653693171,26,15538,0.00,0.00,0.00,0.00,0.00,0,3.32,0.00,222524,3160,0.00,132,16,0.00,0.67,0.67,0,0.10,0.00,"/bin/bash /usr/local/bin/dbt3-load-test -a pgsql -o /tmp/r10e/load -p -c unix_socket_directories='/tmp' -f 10 -g 0 -d"
1653693171,26,15554,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,217196,852,0.00,132,20,0.00,0.00,0.00,0,0.02,0.00,"sar -o /tmp/r10e/load//sar_raw.out 60"
1653693171,26,15555,0.00,0.00,0.00,0.00,0.00,3,9.10,0.00,220428,3936,0.01,132,20,0.00,0.00,0.00,0,0.27,0.03,"pidstat -h -l -d -r -s -u -w 60"
1653693171,26,15556,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,222836,1256,0.00,132,20,0.00,0.27,0.00,0,0.62,0.53,"sadc 60 -Z -S XALL /tmp/r10e/load//sar_raw.out"
1653693171,26,15568,0.02,0.03,0.00,0.00,0.05,5,25.45,44.84,497240,24788,0.04,132,36,0.13,9758.44,0.40,0,1.72,0.03,"/usr/pgsql-14/bin/postgres -D /var/lib/pgsql/local/dbt3/pgdata -c unix_socket_directories=/tmp -p 5432"
1653693171,26,15569,0.00,0.00,0.00,0.00,0.00,2,1.85,0.00,349708,5204,0.01,132,20,0.00,0.27,0.00,0,0.50,0.02,"postgres: logger"
1653693171,26,15571,0.03,0.03,0.00,0.07,0.07,4,10.83,1.25,497464,30668,0.05,132,20,0.00,15.93,0.00,0,1.60,1.13,"postgres: checkpointer"
1653693171,26,15572,0.00,0.03,0.00,0.13,0.03,2,8.28,0.00,497240,23768,0.04,132,20,0.00,13.73,0.00,0,4.47,1.93,"postgres: background writer"
1653693171,26,15573,0.02,0.27,0.00,0.60,0.28,0,19.36,0.00,497240,10100,0.02,132,28,0.00,2480.12,0.00,0,49.53,3.85,"postgres: walwriter"
1653693171,26,15574,0.00,0.00,0.00,0.00,0.00,4,4.53,0.03,497808,8848,0.01,132,16,0.00,0.00,0.00,0,0.10,0.03,"postgres: autovacuum launcher"
1653693171,26,15575,0.00,0.02,0.00,0.07,0.02,4,2.50,0.00,351968,5232,0.01,132,20,0.00,3.87,0.13,0,6.03,0.50,"postgres: stats collector"
1653693171,26,15576,0.00,0.00,0.00,0.00,0.00,1,3.87,0.00,497668,6868,0.01,132,16,0.00,0.00,0.00,0,0.02,0.00,"postgres: logical replication launcher"
1653693171,26,15629,0.00,0.00,0.00,0.00,0.00,3,8.45,0.00,222524,3140,0.00,132,16,0.00,1.07,0.00,0,0.22,0.02,"/bin/sh /usr/local/bin/dbt3-pgsql-dbstat /tmp/r10e/load"
1653693171,26,15630,0.00,0.00,0.00,0.00,0.00,3,16.63,0.00,223236,3712,0.01,132,16,0.00,0.80,0.40,0,0.23,0.05,"/bin/sh /usr/local/bin/dbt3-pgsql-load-data -C 6 -d"
1653693171,26,15667,0.00,0.00,0.00,0.00,0.00,3,1.37,0.00,217080,824,0.00,132,12,0.00,0.00,0.00,0,0.02,0.02,"sleep 60"
1653693171,26,15692,0.00,0.00,0.00,0.00,0.00,0,6.13,0.00,274076,6132,0.01,132,20,0.00,0.07,0.00,0,0.03,0.00,"psql -v ON_ERROR_STOP=1 -X"
1653693171,26,15693,0.00,0.00,0.00,0.00,0.00,1,6.13,0.00,274076,6116,0.01,132,20,0.00,0.07,0.00,0,0.03,0.07,"psql -v ON_ERROR_STOP=1 -X"
1653693171,26,15694,0.00,0.00,0.00,0.00,0.00,3,6.15,0.00,274076,6108,0.01,132,20,0.00,0.07,0.00,0,0.03,0.00,"psql -v ON_ERROR_STOP=1 -X"
1653693171,26,15695,0.00,0.00,0.00,0.00,0.00,1,6.22,0.00,274076,6236,0.01,132,20,0.00,0.07,0.00,0,0.03,0.03,"psql -v ON_ERROR_STOP=1 -X"
1653693171,26,15696,0.00,0.00,0.00,0.00,0.00,1,6.18,0.00,274076,6028,0.01,132,20,0.00,0.07,0.00,0,0.03,0.03,"psql -v ON_ERROR_STOP=1 -X"
1653693171,26,15697,0.00,0.00,0.00,0.00,0.00,3,6.17,0.00,274076,6016,0.01,132,20,0.00,0.07,0.00,0,0.03,0.00,"psql -v ON_ERROR_STOP=1 -X"
1653693171,26,15698,3.07,0.70,0.00,4.32,3.77,1,73.04,7.33,499108,115348,0.18,132,36,0.00,3374.70,3.00,0,120.90,19.98,"postgres: postgres dbt3 [local] COPY"
1653693171,26,15699,3.25,0.70,0.00,4.23,3.95,0,88.42,18.40,499108,117252,0.18,132,36,0.00,3184.60,0.00,0,147.48,25.38,"postgres: postgres dbt3 [local] COPY"
1653693171,26,15700,3.10,0.65,0.00,3.88,3.75,0,82.94,0.03,499108,116668,0.18,132,36,0.00,3049.69,0.00,0,134.41,18.93,"postgres: postgres dbt3 [local] COPY"
1653693171,26,15701,3.07,0.65,0.00,4.07,3.72,5,90.03,0.08,499108,117080,0.18,132,36,0.00,3013.03,0.00,0,119.45,22.53,"postgres: postgres dbt3 [local] COPY"
1653693171,26,15702,3.05,0.73,0.00,4.67,3.78,0,75.15,0.02,499108,116780,0.18,132,36,0.00,3586.40,0.00,0,102.48,26.20,"postgres: postgres dbt3 [local] COPY"
1653693171,26,15703,3.28,0.78,0.00,4.50,4.07,5,86.10,19.43,498576,115488,0.18,132,36,0.00,3736.71,0.00,0,132.68,25.06,"postgres: postgres dbt3 [local] COPY"
1653693171,26,15704,22.80,0.57,0.00,6.42,23.36,5,1283.27,0.00,315212,309076,0.47,132,20,0.00,0.00,0.00,0,24.05,136.68,"/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T S -o -C 6 -S 3"
1653693171,26,15705,22.51,0.47,0.00,6.65,22.98,1,1283.24,0.00,315212,309060,0.47,132,20,0.00,0.00,0.00,0,20.61,140.78,"/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T S -o -C 6 -S 1"
1653693171,26,15706,22.41,0.48,0.00,6.37,22.90,0,1283.15,0.00,315212,308984,0.47,132,20,0.00,0.00,0.00,0,24.60,104.90,"/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T S -o -C 6 -S 6"
1653693171,26,15707,22.51,0.57,0.00,6.95,23.08,1,1283.19,0.00,315212,308992,0.47,132,20,0.00,0.00,0.00,0,18.23,139.06,"/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T S -o -C 6 -S 2"
1653693171,26,15708,22.45,0.48,0.00,6.68,22.93,4,1283.19,0.00,315212,308980,0.47,132,24,0.00,0.00,0.00,0,22.90,114.31,"/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T S -o -C 6 -S 4"
1653693171,26,15709,23.15,0.72,0.00,5.73,23.86,5,1283.20,0.00,315212,308992,0.47,132,20,0.00,0.00,0.00,0,24.05,130.71,"/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T S -o -C 6 -S 5"
1653693231,26,15554,0.00,0.00,0.00,0.00,0.00,3,0.02,0.00,217196,852,0.00,132,24,0.00,0.07,0.00,0,0.75,0.02,"sar -o /tmp/r10e/load//sar_raw.out 60"
1653693231,26,15555,0.02,0.13,0.00,0.18,0.15,3,2.25,0.00,220428,4464,0.01,132,20,0.00,0.20,0.00,0,0.05,0.85,"pidstat -h -l -d -r -s -u -w 60"
1653693231,26,15556,0.00,0.00,0.00,0.08,0.00,3,0.00,0.00,222836,1256,0.00,132,20,0.00,0.40,0.00,0,0.12,2.02,"sadc 60 -Z -S XALL /tmp/r10e/load//sar_raw.out"
1653693231,26,15568,0.00,0.02,0.00,0.00,0.02,5,4.08,0.00,497240,24788,0.04,132,36,0.07,52141.73,3.00,0,0.48,0.17,"/usr/pgsql-14/bin/postgres -D /var/lib/pgsql/local/dbt3/pgdata -c unix_socket_directories=/tmp -p 5432"
1653693231,26,15569,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,349708,5204,0.01,132,20,0.00,0.13,0.00,0,0.27,0.00,"postgres: logger"
1653693231,26,15571,0.08,0.92,0.00,2.40,1.00,0,12.75,0.05,497464,72564,0.11,132,32,1.13,769.53,0.00,0,64.52,22.88,"postgres: checkpointer"
1653693231,26,15572,0.02,0.07,0.00,0.27,0.08,2,9.97,0.00,497240,59620,0.09,132,20,1.27,176.53,0.00,0,3.50,5.85,"postgres: background writer"
1653693231,26,15573,0.08,0.60,0.00,1.25,0.68,0,0.02,0.00,497240,10100,0.02,132,28,0.00,5673.60,0.00,0,115.65,9.20,"postgres: walwriter"
1653693231,26,15574,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,497808,8848,0.01,132,16,0.00,0.00,0.00,0,0.12,0.00,"postgres: autovacuum launcher"
1653693231,26,15575,0.00,0.02,0.00,0.17,0.02,0,0.00,0.00,351968,5232,0.01,132,20,0.00,2.47,0.00,0,11.00,0.42,"postgres: stats collector"
1653693231,26,15629,0.00,0.00,0.00,0.00,0.00,5,1.92,0.00,222524,3140,0.00,132,16,0.00,0.73,0.00,0,0.10,0.03,"/bin/sh /usr/local/bin/dbt3-pgsql-dbstat /tmp/r10e/load"
1653693231,26,15630,0.00,0.00,0.00,0.00,0.00,0,10.83,0.00,223236,3716,0.01,132,16,0.00,0.80,0.80,0,0.20,0.03,"/bin/sh /usr/local/bin/dbt3-pgsql-load-data -C 6 -d"
1653693231,26,15716,0.00,0.00,0.00,0.00,0.00,0,1.37,0.00,217080,816,0.00,132,12,0.00,0.00,0.00,0,0.02,0.00,"sleep 60"
1653693231,26,15740,0.00,0.00,0.00,0.00,0.00,5,6.17,0.00,274076,6020,0.01,132,20,0.00,0.07,0.00,0,0.03,0.02,"psql -v ON_ERROR_STOP=1 -X"
1653693231,26,15741,0.00,0.00,0.00,0.00,0.00,1,6.18,0.02,274076,6052,0.01,132,24,0.00,0.07,0.00,0,0.05,0.05,"psql -v ON_ERROR_STOP=1 -X"
1653693231,26,15742,0.00,0.00,0.00,0.00,0.00,2,6.17,0.00,274076,6012,0.01,132,20,0.00,0.07,0.00,0,0.03,0.03,"psql -v ON_ERROR_STOP=1 -X"
1653693231,26,15743,0.00,0.00,0.00,0.00,0.00,0,6.18,0.00,274076,6080,0.01,132,20,0.00,0.07,0.00,0,0.03,0.00,"psql -v ON_ERROR_STOP=1 -X"
1653693231,26,15744,0.00,0.00,0.00,0.00,0.00,5,6.13,0.00,274076,5932,0.01,132,24,0.00,0.07,0.00,0,0.03,0.13,"psql -v ON_ERROR_STOP=1 -X"
1653693231,26,15745,0.00,0.00,0.00,0.00,0.00,4,6.22,0.00,274076,6240,0.01,132,20,0.00,0.07,0.00,0,0.03,0.03,"psql -v ON_ERROR_STOP=1 -X"
1653693231,26,15746,6.32,0.95,0.00,2.38,7.27,0,100.42,0.02,498584,111460,0.17,132,36,0.00,4034.67,0.00,0,425.03,21.43,"postgres: postgres dbt3 [local] COPY"
1653693231,26,15747,6.20,1.07,0.00,2.82,7.27,1,87.23,0.00,498584,110448,0.17,132,36,0.00,4178.67,0.00,0,421.62,21.07,"postgres: postgres dbt3 [local] COPY"
1653693231,26,15748,6.10,1.05,0.00,3.08,7.15,2,108.67,0.00,498584,112272,0.17,132,36,0.00,3991.60,0.00,0,420.28,20.97,"postgres: postgres dbt3 [local] COPY"
1653693231,26,15749,6.13,1.12,0.00,3.08,7.25,4,134.30,0.00,498584,110128,0.17,132,36,0.00,4004.67,0.00,0,426.85,21.15,"postgres: postgres dbt3 [local] COPY"
1653693231,26,15750,6.35,1.05,0.00,2.28,7.40,5,92.83,0.00,498584,110156,0.17,132,36,0.00,4087.87,0.00,0,440.80,19.47,"postgres: postgres dbt3 [local] COPY"
