# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
pgsql1.dbt2.internal;60;1653667971;nvme1n1;53.05;3.60;7896.27;148.91;1.83;30.27;3.59;19.04
pgsql1.dbt2.internal;60;1653667971;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653667971;nvme1n1p2;53.05;3.60;7896.27;148.91;1.80;30.27;3.59;19.04
pgsql1.dbt2.internal;60;1653667971;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653667971;nvme0n1;62.67;3.07;7934.00;126.66;1.65;23.56;2.89;18.10
pgsql1.dbt2.internal;60;1653667971;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653667971;nvme0n1p2;62.67;3.07;7934.00;126.66;1.65;23.56;2.89;18.10
pgsql1.dbt2.internal;60;1653667971;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653667971;md127;128.58;6.60;13870.67;107.92;3.33;25.90;1.16;14.98
pgsql1.dbt2.internal;60;1653667971;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
