# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
pgsql1.dbt2.internal;60;1653667971;-1;69.90;0.00;3.70;0.00;0.00;26.40
pgsql1.dbt2.internal;60;1653667971;0;70.49;0.00;8.24;0.00;0.00;21.27
pgsql1.dbt2.internal;60;1653667971;1;68.78;0.00;2.49;0.00;0.00;28.74
pgsql1.dbt2.internal;60;1653667971;2;69.79;0.00;2.75;0.00;0.00;27.45
pgsql1.dbt2.internal;60;1653667971;3;69.16;0.00;2.84;0.00;0.00;28.01
pgsql1.dbt2.internal;60;1653667971;4;70.20;0.00;2.65;0.00;0.00;27.14
pgsql1.dbt2.internal;60;1653667971;5;70.97;0.00;3.25;0.00;0.00;25.77
pgsql1.dbt2.internal;60;1653668031;-1;71.30;0.00;4.46;0.00;0.00;24.24
pgsql1.dbt2.internal;60;1653668031;0;73.77;0.00;4.74;0.00;0.00;21.49
pgsql1.dbt2.internal;60;1653668031;1;69.54;0.00;4.24;0.00;0.00;26.22
pgsql1.dbt2.internal;60;1653668031;2;72.38;0.00;4.09;0.00;0.00;23.53
pgsql1.dbt2.internal;60;1653668031;3;70.21;0.00;4.83;0.00;0.00;24.96
pgsql1.dbt2.internal;60;1653668031;4;70.56;0.00;4.11;0.00;0.00;25.33
pgsql1.dbt2.internal;60;1653668031;5;71.37;0.00;4.74;0.00;0.00;23.89
pgsql1.dbt2.internal;60;1653668091;-1;71.43;0.00;5.25;0.00;0.00;23.32
pgsql1.dbt2.internal;60;1653668091;0;73.25;0.00;5.15;0.00;0.00;21.60
pgsql1.dbt2.internal;60;1653668091;1;71.41;0.00;5.13;0.00;0.00;23.46
pgsql1.dbt2.internal;60;1653668091;2;69.66;0.00;5.56;0.00;0.00;24.78
pgsql1.dbt2.internal;60;1653668091;3;71.49;0.00;5.26;0.00;0.00;23.25
pgsql1.dbt2.internal;60;1653668091;4;71.49;0.00;5.11;0.00;0.00;23.40
pgsql1.dbt2.internal;60;1653668091;5;71.29;0.00;5.29;0.00;0.00;23.41
pgsql1.dbt2.internal;60;1653668151;-1;62.91;0.00;5.81;0.00;0.00;31.28
pgsql1.dbt2.internal;60;1653668151;0;62.91;0.00;5.61;0.00;0.00;31.48
pgsql1.dbt2.internal;60;1653668151;1;65.78;0.00;5.58;0.00;0.00;28.64
pgsql1.dbt2.internal;60;1653668151;2;63.71;0.00;5.51;0.00;0.00;30.79
pgsql1.dbt2.internal;60;1653668151;3;55.35;0.00;6.45;0.00;0.00;38.21
pgsql1.dbt2.internal;60;1653668151;4;64.46;0.00;5.45;0.00;0.00;30.09
pgsql1.dbt2.internal;60;1653668151;5;65.28;0.00;6.25;0.00;0.00;28.47
