# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
pgsql1.dbt3.internal;60;1654125328;lo;14.53;14.53;5.62;5.62;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125328;eth0;0.53;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125328;eth1;1.37;0.82;0.09;0.10;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125388;lo;10.72;10.72;2.18;2.18;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125388;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125388;eth1;0.62;0.12;0.03;0.01;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125448;lo;14.72;14.72;2.77;2.77;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125448;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125448;eth1;0.65;0.13;0.04;0.01;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125508;lo;12.95;12.95;2.21;2.21;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125508;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125508;eth1;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125568;lo;12.28;12.28;2.38;2.38;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125568;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125568;eth1;0.72;0.17;0.04;0.02;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125628;lo;23.52;23.52;7.03;7.03;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125628;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125628;eth1;1.18;0.67;0.07;0.07;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125688;lo;8.10;8.10;2.29;2.29;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125688;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125688;eth1;0.72;0.20;0.04;0.02;0.00;0.00;0.00;0.00
