ctime,relname,pid,mode,granted
1653668521.994413,lineitem,16293,AccessShareLock,t
1653668521.994413,lineitem,16294,AccessShareLock,t
1653668521.994413,lineitem,16292,AccessShareLock,t
1653668521.994413,lineitem_l_orderkey_idx_l_returnflag,16292,AccessShareLock,t
1653668521.994413,lineitem_l_orderkey_idx_part2,16292,AccessShareLock,t
1653668521.994413,lineitem_l_orderkey_l_suppkey_idx,16292,AccessShareLock,t
1653668521.994413,lineitem_l_orderkey_l_suppkey_l_quantity_idx,16292,AccessShareLock,t
1653668521.994413,lineitem_l_partkey_l_quantity_l_shipmode_idx,16292,AccessShareLock,t
1653668521.994413,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,16292,AccessShareLock,t
1653668521.994413,lineitem_l_receiptdate_idx,16292,AccessShareLock,t
1653668521.994413,lineitem_l_shipdate_idx,16292,AccessShareLock,t
1653668521.994413,pk_lineitem,16292,AccessShareLock,t
1653668581.997522,customer,16373,AccessShareLock,t
1653668581.997522,customer,16374,AccessShareLock,t
1653668581.997522,customer,16372,AccessShareLock,t
1653668581.997522,customer_c_mktsegment_c_custkey_idx,16372,AccessShareLock,t
1653668581.997522,customer_c_nationkey_c_custkey_idx,16372,AccessShareLock,t
1653668581.997522,customer_c_phone_c_acctbal_c_custkey_idx,16372,AccessShareLock,t
1653668581.997522,customer_c_phone_idx_c_acctbal,16372,AccessShareLock,t
1653668581.997522,orders,16374,AccessShareLock,t
1653668581.997522,orders,16373,AccessShareLock,t
1653668581.997522,orders,16372,AccessShareLock,t
1653668581.997522,orders_o_custkey_idx,16373,AccessShareLock,t
1653668581.997522,orders_o_custkey_idx,16372,AccessShareLock,t
1653668581.997522,orders_o_custkey_idx,16374,AccessShareLock,t
1653668581.997522,orders_o_orderdate_idx,16372,AccessShareLock,t
1653668581.997522,orders_o_orderkey_o_orderdate_idx,16372,AccessShareLock,t
1653668581.997522,pk_customer,16373,AccessShareLock,t
1653668581.997522,pk_customer,16372,AccessShareLock,t
1653668581.997522,pk_customer,16374,AccessShareLock,t
1653668581.997522,pk_orders,16372,AccessShareLock,t
1653668642.000422,lineitem,16475,AccessShareLock,t
1653668642.000422,lineitem,16471,AccessShareLock,t
1653668642.000422,lineitem,16473,AccessShareLock,t
1653668642.000422,lineitem,16472,AccessShareLock,t
1653668642.000422,lineitem,16474,AccessShareLock,t
1653668642.000422,lineitem_l_orderkey_idx_l_returnflag,16471,AccessShareLock,t
1653668642.000422,lineitem_l_orderkey_idx_part2,16471,AccessShareLock,t
1653668642.000422,lineitem_l_orderkey_l_suppkey_idx,16471,AccessShareLock,t
1653668642.000422,lineitem_l_orderkey_l_suppkey_l_quantity_idx,16471,AccessShareLock,t
1653668642.000422,lineitem_l_partkey_l_quantity_l_shipmode_idx,16471,AccessShareLock,t
1653668642.000422,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,16471,AccessShareLock,t
1653668642.000422,lineitem_l_receiptdate_idx,16471,AccessShareLock,t
1653668642.000422,lineitem_l_shipdate_idx,16471,AccessShareLock,t
1653668642.000422,pg_index,16487,AccessShareLock,t
1653668642.000422,pg_index,16486,AccessShareLock,t
1653668642.000422,pg_namespace,16486,AccessShareLock,t
1653668642.000422,pk_lineitem,16471,AccessShareLock,t
1653668642.000422,pk_supplier,16471,AccessShareLock,t
1653668642.000422,supplier,16471,AccessShareLock,t
1653668642.000422,supplier_s_nationkey_s_suppkey_idx,16471,AccessShareLock,t
1653668642.000422,supplier_s_suppkey_idx_like,16471,AccessShareLock,t
1653668702.045128,customer,16543,AccessShareLock,t
1653668702.045128,customer,16544,AccessShareLock,t
1653668702.045128,customer,16542,AccessShareLock,t
1653668702.045128,customer_c_mktsegment_c_custkey_idx,16542,AccessShareLock,t
1653668702.045128,customer_c_nationkey_c_custkey_idx,16544,AccessShareLock,t
1653668702.045128,customer_c_nationkey_c_custkey_idx,16543,AccessShareLock,t
1653668702.045128,customer_c_nationkey_c_custkey_idx,16542,AccessShareLock,t
1653668702.045128,customer_c_phone_c_acctbal_c_custkey_idx,16542,AccessShareLock,t
1653668702.045128,customer_c_phone_idx_c_acctbal,16542,AccessShareLock,t
1653668702.045128,lineitem,16542,AccessShareLock,t
1653668702.045128,lineitem,16544,AccessShareLock,t
1653668702.045128,lineitem,16543,AccessShareLock,t
1653668702.045128,lineitem_l_orderkey_idx_l_returnflag,16542,AccessShareLock,t
1653668702.045128,lineitem_l_orderkey_idx_part2,16542,AccessShareLock,t
1653668702.045128,lineitem_l_orderkey_l_suppkey_idx,16542,AccessShareLock,t
1653668702.045128,lineitem_l_orderkey_l_suppkey_l_quantity_idx,16542,AccessShareLock,t
1653668702.045128,lineitem_l_partkey_l_quantity_l_shipmode_idx,16542,AccessShareLock,t
1653668702.045128,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,16542,AccessShareLock,t
1653668702.045128,lineitem_l_receiptdate_idx,16542,AccessShareLock,t
1653668702.045128,lineitem_l_shipdate_idx,16542,AccessShareLock,t
1653668702.045128,nation,16543,AccessShareLock,t
1653668702.045128,nation,16544,AccessShareLock,t
1653668702.045128,nation,16542,AccessShareLock,t
1653668702.045128,orders,16543,AccessShareLock,t
1653668702.045128,orders,16542,AccessShareLock,t
1653668702.045128,orders,16544,AccessShareLock,t
1653668702.045128,orders_o_custkey_idx,16542,AccessShareLock,t
1653668702.045128,orders_o_orderdate_idx,16542,AccessShareLock,t
1653668702.045128,orders_o_orderkey_o_orderdate_idx,16542,AccessShareLock,t
1653668702.045128,pg_index,16552,AccessShareLock,t
1653668702.045128,pg_index_indexrelid_index,16552,AccessShareLock,t
1653668702.045128,pg_index_indrelid_index,16552,AccessShareLock,t
1653668702.045128,pg_namespace,16552,AccessShareLock,t
1653668702.045128,pg_namespace_nspname_index,16552,AccessShareLock,t
1653668702.045128,pg_namespace_oid_index,16552,AccessShareLock,t
1653668702.045128,pg_rewrite,16556,AccessShareLock,t
1653668702.045128,pg_rewrite_rel_rulename_index,16556,AccessShareLock,t
1653668702.045128,pk_customer,16542,AccessShareLock,t
1653668702.045128,pk_lineitem,16542,AccessShareLock,t
1653668702.045128,pk_nation,16542,AccessShareLock,t
1653668702.045128,pk_orders,16542,AccessShareLock,t
1653668702.045128,pk_region,16542,AccessShareLock,t
1653668702.045128,pk_supplier,16542,AccessShareLock,t
1653668702.045128,region,16543,AccessShareLock,t
1653668702.045128,region,16544,AccessShareLock,t
1653668702.045128,region,16542,AccessShareLock,t
1653668702.045128,supplier,16543,AccessShareLock,t
1653668702.045128,supplier,16542,AccessShareLock,t
1653668702.045128,supplier,16544,AccessShareLock,t
1653668702.045128,supplier_s_nationkey_s_suppkey_idx,16544,AccessShareLock,t
1653668702.045128,supplier_s_nationkey_s_suppkey_idx,16543,AccessShareLock,t
1653668702.045128,supplier_s_nationkey_s_suppkey_idx,16542,AccessShareLock,t
1653668702.045128,supplier_s_suppkey_idx_like,16542,AccessShareLock,t
