ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1653668461.987559,,0,0,0,13967,221618,60523,55109,1,0,0
1653668461.987559,postgres,0,297,14,3859,45690,185670,20489,0,0,0
1653668461.987559,dbt3,2,19864,59,1150785170,1325243774,28825433706,1102733417,750767821,4305,1007531
1653668461.987559,template1,0,0,0,0,0,0,0,0,0,0
1653668461.987559,template0,0,0,0,0,0,0,0,0,0,0
1653668521.996284,,0,0,0,14030,222254,60716,55274,1,0,0
1653668521.996284,postgres,0,299,14,3938,47012,187641,21154,0,0,0
1653668521.996284,dbt3,5,19919,59,1160060619,1350849827,28909937287,1111410479,750842443,4310,1007531
1653668521.996284,template1,0,0,0,0,0,0,0,0,0,0
1653668521.996284,template0,0,0,0,0,0,0,0,0,0,0
1653668582.001609,,0,0,0,14096,222923,60934,55448,1,0,0
1653668582.001609,postgres,0,301,14,3970,47063,188882,21168,0,0,0
1653668582.001609,dbt3,5,19978,59,1162832414,1358260073,29223392272,1112128815,750842448,4315,1007531
1653668582.001609,template1,0,0,0,0,0,0,0,0,0,0
1653668582.001609,template0,0,0,0,0,0,0,0,0,0,0
1653668642.000067,,0,0,0,14166,223853,61184,55686,1,0,0
1653668642.000067,postgres,0,303,14,4002,47114,190123,21182,0,0,0
1653668642.000067,dbt3,6,20054,59,1179428686,1366605246,29340510697,1128373482,750842454,4321,1007531
1653668642.000067,template1,0,0,0,0,0,0,0,0,0,0
1653668642.000067,template0,0,0,0,0,0,0,0,0,0,0
1653668702.036998,,0,0,0,14185,224468,61363,55837,1,0,0
1653668702.036998,postgres,0,305,14,4034,47165,191364,21196,0,0,0
1653668702.036998,dbt3,6,20107,59,1184402184,1366650828,29597265383,1128425044,750842473,4326,1007546
1653668702.036998,template1,0,0,0,0,0,0,0,0,0,0
1653668702.036998,template0,0,0,0,0,0,0,0,0,0,0
