ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1653668461.992623,pg_toast,pg_toast_18192,pg_toast_18192_index,0,0,0,1,0
1653668461.992623,public,orders,orders_o_orderkey_o_orderdate_idx,0,0,0,1,0
1653668461.992623,public,orders,pk_orders,0,0,0,1,0
1653668461.992623,public,orders,orders_o_orderdate_idx,0,0,0,0,29
1653668461.992623,public,orders,orders_o_custkey_idx,0,0,0,1,0
1653668461.992623,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,41579,32345,32022,2967,88607
1653668461.992623,pg_catalog,pg_type,pg_type_oid_index,147264,146702,146702,2682,301949
1653668461.992623,pg_catalog,pg_type,pg_type_typname_nsp_index,3963,2969,2566,1873,9311
1653668461.992623,pg_toast,pg_toast_18197,pg_toast_18197_index,0,0,0,1,0
1653668461.992623,public,lineitem,pk_lineitem,0,0,0,1,0
1653668461.992623,public,lineitem,lineitem_l_orderkey_l_suppkey_l_quantity_idx,0,0,0,1,0
1653668461.992623,public,lineitem,lineitem_l_receiptdate_idx,0,0,0,0,95
1653668461.992623,public,lineitem,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,0,0,0,1,0
1653668461.992623,public,lineitem,lineitem_l_partkey_l_quantity_l_shipmode_idx,0,0,0,1,0
1653668461.992623,public,lineitem,lineitem_l_shipdate_idx,0,0,0,0,95
1653668461.992623,public,lineitem,lineitem_l_orderkey_idx_part2,0,0,0,1,0
1653668461.992623,public,lineitem,lineitem_l_orderkey_l_suppkey_idx,0,0,0,1,0
1653668461.992623,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,0,0,0,1,0
1653668461.992623,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_1247,pg_toast_1247_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_2619,pg_toast_2619_index,1066,1825,1825,541,1493
1653668461.992623,pg_toast,pg_toast_3381,pg_toast_3381_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_3429,pg_toast_3429_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_2618,pg_toast_2618_index,1110,3885,3885,218,1660
1653668461.992623,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_3466,pg_toast_3466_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_2615,pg_toast_2615_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_1262,pg_toast_1262_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_1213,pg_toast_1213_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_1260,pg_toast_1260_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_3600,pg_toast_3600_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_3079,pg_toast_3079_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_2328,pg_toast_2328_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_1417,pg_toast_1417_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_1418,pg_toast_1418_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_3118,pg_toast_3118_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_3256,pg_toast_3256_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_6000,pg_toast_6000_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_826,pg_toast_826_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_3394,pg_toast_3394_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_3592,pg_toast_3592_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_3456,pg_toast_3456_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_3350,pg_toast_3350_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_6100,pg_toast_6100_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_authid,pg_authid_oid_index,11109,11109,11109,1895,20323
1653668461.992623,pg_catalog,pg_authid,pg_authid_rolname_index,9282,9282,9282,1904,16660
1653668461.992623,pg_toast,pg_toast_18172,pg_toast_18172_index,0,0,0,1,0
1653668461.992623,public,supplier,pk_supplier,0,0,0,1,0
1653668461.992623,public,supplier,supplier_s_suppkey_idx_like,0,0,0,1,0
1653668461.992623,public,supplier,supplier_s_nationkey_s_suppkey_idx,0,0,0,1,0
1653668461.992623,public,nation,pk_nation,0,0,0,1,0
1653668461.992623,pg_catalog,pg_statistic_ext_data,pg_statistic_ext_data_stxoid_index,0,0,0,0,0
1653668461.992623,pg_toast,pg_toast_18177,pg_toast_18177_index,0,0,0,1,0
1653668461.992623,public,part,pk_part,0,0,0,1,0
1653668461.992623,public,part,part_p_type_p_partkey_idx,0,0,0,1,0
1653668461.992623,public,part,part_ios_test1,0,0,0,1,0
1653668461.992623,public,part,part_p_container_p_brand_p_partkey_idx,0,0,0,1,0
1653668461.992623,public,part,part_p_size_idx,0,0,0,0,10
1653668461.992623,public,region,pk_region,0,0,0,1,0
1653668461.992623,pg_toast,pg_toast_18182,pg_toast_18182_index,0,0,0,1,0
1653668461.992623,public,partsupp,pk_partsupp,0,0,0,1,0
1653668461.992623,public,partsupp,partsupp_ps_suppkey_idx,0,0,0,1,0
1653668461.992623,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_subscription,pg_subscription_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_subscription,pg_subscription_subname_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,308304,742621,742621,5960,632707
1653668461.992623,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,891,891,891,474,10856
1653668461.992623,pg_catalog,pg_proc,pg_proc_oid_index,54070,54070,54070,7084,108843
1653668461.992623,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,4911,28752,28752,3671,10866
1653668461.992623,pg_catalog,pg_class,pg_class_oid_index,252611,251709,226723,3476,515315
1653668461.992623,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,0,0,0,459,2800
1653668461.992623,pg_catalog,pg_class,pg_class_relname_nsp_index,24906,13053,12593,3417,55903
1653668461.992623,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_constraint,pg_constraint_oid_index,216,104,104,34,512
1653668461.992623,pg_catalog,pg_constraint,pg_constraint_conparentid_index,0,0,0,28,198
1653668461.992623,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,28,198
1653668461.992623,pg_catalog,pg_constraint,pg_constraint_conrelid_contypid_conname_index,906,906,906,595,1178
1653668461.992623,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,28,198
1653668461.992623,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,894,0,0,118,1670
