Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,Command
1653693721,26,6395,0.00,0.02,0.00,0.00,0.02,0,0.43,0.00,224900,3468,0.01,132,116,0.00,0.00,0.00,0,0.57,0.00,"-bash"
1653693721,26,16015,0.00,0.00,0.00,0.00,0.00,2,18.08,0.00,222656,3232,0.00,132,16,0.00,152.57,0.33,0,0.75,0.10,"/bin/bash /usr/local/bin/dbt3-power-test -a pgsql -f 10 -o /tmp/r10e/power -p -c unix_socket_directories='/tmp' -s /tmp/r10e/seed"
1653693721,26,16157,0.00,0.02,0.00,0.00,0.02,5,9.03,0.00,497240,24724,0.04,132,36,0.33,82143.91,10510.78,0,1.10,0.15,"/usr/pgsql-14/bin/postgres -D /var/lib/pgsql/local/dbt3/pgdata -c unix_socket_directories=/tmp -p 5432"
1653693721,26,16158,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,349708,5336,0.01,132,20,0.00,0.00,0.00,0,0.05,0.00,"postgres: logger"
1653693721,26,16160,0.07,1.28,0.00,0.70,1.35,5,37.39,1.32,497464,136256,0.21,132,28,0.20,4379.74,0.00,0,180.04,502.42,"postgres: checkpointer"
1653693721,26,16161,0.13,0.12,0.00,0.02,0.25,5,26.46,0.00,497240,101316,0.15,132,28,5.73,743.08,0.00,0,7.18,1.57,"postgres: background writer"
1653693721,26,16162,0.02,0.13,0.00,0.05,0.15,1,1.25,0.00,497240,9692,0.01,132,24,0.00,1933.01,0.00,0,70.02,1.02,"postgres: walwriter"
1653693721,26,16163,0.00,0.00,0.00,0.00,0.00,0,0.25,0.00,497808,9056,0.01,132,16,0.00,0.00,0.00,0,0.13,0.00,"postgres: autovacuum launcher"
1653693721,26,16164,0.02,0.02,0.00,0.03,0.03,1,0.00,0.00,351968,5364,0.01,132,16,0.00,1.53,0.53,0,16.90,0.05,"postgres: stats collector"
1653693721,26,16175,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,217196,908,0.00,132,24,0.00,0.07,0.00,0,0.77,0.00,"sar -o /tmp/r10e/power//sar_raw.out 60"
1653693721,26,16176,0.00,0.03,0.00,0.00,0.03,3,9.80,0.00,220704,4196,0.01,132,20,0.00,0.00,0.00,0,0.22,0.12,"pidstat -h -l -d -r -s -u -w 60"
1653693721,26,16177,0.00,0.00,0.00,0.00,0.00,2,5.10,0.00,222524,3156,0.00,132,12,0.00,1.07,0.00,0,0.20,0.05,"/bin/sh /usr/local/bin/dbt3-pgsql-dbstat /tmp/r10e/power"
1653693721,26,16178,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,222836,1320,0.00,132,20,0.00,0.67,0.00,0,0.88,0.77,"sadc 60 -Z -S XALL /tmp/r10e/power//sar_raw.out"
1653693721,26,16208,0.00,0.00,0.00,0.00,0.00,5,1.37,0.00,217080,904,0.00,132,12,0.00,0.00,0.00,0,0.02,0.02,"sleep 60"
1653693721,26,16264,0.00,0.00,0.00,0.00,0.00,3,2.60,0.00,219472,2372,0.00,132,112,70.39,0.00,0.00,0,0.03,0.87,"less /tmp/r10e/power/plans/1.txt"
1653693721,26,16291,0.00,0.00,0.00,0.00,0.00,3,5.52,0.00,274076,6064,0.01,132,20,0.00,0.07,0.00,0,0.05,0.00,"psql -v ON_ERROR_STOP=1 -X -e"
1653693721,26,16292,0.72,0.12,0.00,0.00,0.83,2,13.81,0.00,499500,17144,0.03,132,24,0.00,0.00,0.00,0,0.10,0.05,"postgres: postgres dbt3 [local] EXPLAIN"
1653693721,26,16293,0.70,0.13,0.00,0.00,0.83,4,10.46,0.00,498680,15032,0.02,132,36,0.00,0.00,0.00,0,0.08,0.10,"postgres: parallel worker for PID 16292"
1653693721,26,16294,0.70,0.13,0.00,0.00,0.83,0,9.92,0.00,498680,14864,0.02,132,36,0.00,0.00,0.00,0,0.00,0.65,"postgres: parallel worker for PID 16292"
1653693781,26,16015,0.00,0.02,0.00,0.00,0.02,3,15.47,0.00,222656,3240,0.00,132,16,0.00,1.00,0.27,0,0.58,0.00,"/bin/bash /usr/local/bin/dbt3-power-test -a pgsql -f 10 -o /tmp/r10e/power -p -c unix_socket_directories='/tmp' -s /tmp/r10e/seed"
1653693781,26,16157,0.02,0.02,0.00,0.00,0.03,3,7.10,0.00,497240,24724,0.04,132,36,0.00,24369.07,11545.87,0,0.87,0.03,"/usr/pgsql-14/bin/postgres -D /var/lib/pgsql/local/dbt3/pgdata -c unix_socket_directories=/tmp -p 5432"
1653693781,26,16160,0.00,0.02,0.00,0.03,0.02,2,0.00,0.00,497464,136256,0.21,132,28,0.00,0.00,0.00,0,9.98,0.03,"postgres: checkpointer"
1653693781,26,16161,0.10,0.02,0.00,0.02,0.12,1,0.28,0.00,497240,101316,0.15,132,28,0.00,9.20,0.00,0,4.38,0.15,"postgres: background writer"
1653693781,26,16162,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,497240,9692,0.01,132,24,0.00,0.40,0.00,0,2.87,0.02,"postgres: walwriter"
1653693781,26,16163,0.00,0.00,0.00,0.00,0.00,3,0.18,0.00,497808,9056,0.01,132,16,0.00,0.00,0.00,0,0.13,0.00,"postgres: autovacuum launcher"
1653693781,26,16164,0.02,0.03,0.00,0.00,0.05,2,0.00,0.00,351968,5364,0.01,132,16,0.00,1.53,0.00,0,9.90,0.02,"postgres: stats collector"
1653693781,26,16175,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,217196,908,0.00,132,24,0.00,0.07,0.00,0,0.02,0.00,"sar -o /tmp/r10e/power//sar_raw.out 60"
1653693781,26,16176,0.02,0.03,0.00,0.00,0.05,1,1.92,0.00,220704,4724,0.01,132,20,0.00,0.13,0.00,0,0.15,0.08,"pidstat -h -l -d -r -s -u -w 60"
1653693781,26,16177,0.00,0.00,0.00,0.00,0.00,5,2.00,0.00,222524,3156,0.00,132,12,0.00,0.80,0.00,0,0.10,0.03,"/bin/sh /usr/local/bin/dbt3-pgsql-dbstat /tmp/r10e/power"
1653693781,26,16178,0.00,0.02,0.00,0.00,0.02,3,0.00,0.00,222836,1320,0.00,132,20,0.00,0.33,0.00,0,0.82,0.00,"sadc 60 -Z -S XALL /tmp/r10e/power//sar_raw.out"
1653693781,26,16300,0.00,0.00,0.00,0.00,0.00,5,1.37,0.00,217080,928,0.00,132,16,0.00,0.00,0.00,0,0.02,0.00,"sleep 60"
1653693781,26,16371,0.00,0.00,0.00,0.00,0.00,3,5.48,0.00,274076,5928,0.01,132,24,0.00,0.07,0.00,0,0.05,0.00,"psql -v ON_ERROR_STOP=1 -X -e"
1653693781,26,16372,3.95,3.02,0.00,0.40,6.97,2,496.73,0.00,499760,147136,0.22,132,40,0.00,0.00,0.00,0,1404.32,5.47,"postgres: postgres dbt3 [local] EXPLAIN"
1653693781,26,16373,6.22,4.83,0.00,0.03,11.05,0,501.05,0.00,498836,145156,0.22,132,36,0.00,0.00,0.00,0,2.63,6.10,"postgres: parallel worker for PID 16372"
1653693781,26,16374,6.23,4.88,0.00,0.00,11.12,4,504.42,0.00,498836,145060,0.22,132,36,0.00,0.00,0.00,0,2.90,0.92,"postgres: parallel worker for PID 16372"
1653693841,26,16015,0.02,0.02,0.00,0.00,0.03,5,19.00,0.00,222656,3244,0.00,132,16,0.00,1.13,0.33,0,0.70,0.03,"/bin/bash /usr/local/bin/dbt3-power-test -a pgsql -f 10 -o /tmp/r10e/power -p -c unix_socket_directories='/tmp' -s /tmp/r10e/seed"
1653693841,26,16157,0.00,0.03,0.00,0.00,0.03,5,9.48,0.00,497240,24724,0.04,132,36,0.00,33533.47,33030.53,0,1.10,0.17,"/usr/pgsql-14/bin/postgres -D /var/lib/pgsql/local/dbt3/pgdata -c unix_socket_directories=/tmp -p 5432"
1653693841,26,16160,0.02,0.02,0.00,0.02,0.03,0,0.00,0.00,497464,136256,0.21,132,28,0.00,0.00,0.00,0,9.98,0.00,"postgres: checkpointer"
1653693841,26,16161,0.10,0.02,0.00,0.00,0.12,2,0.03,0.00,497240,101316,0.15,132,28,0.00,0.13,0.00,0,3.30,0.13,"postgres: background writer"
1653693841,26,16162,0.00,0.00,0.00,0.02,0.00,2,0.00,0.00,497240,9692,0.01,132,24,0.00,2.13,0.00,0,3.25,0.02,"postgres: walwriter"
1653693841,26,16163,0.00,0.00,0.00,0.00,0.00,2,0.07,0.00,497808,9056,0.01,132,16,0.00,0.00,0.00,0,0.73,0.00,"postgres: autovacuum launcher"
1653693841,26,16164,0.02,0.02,0.00,0.02,0.03,5,0.00,0.00,351968,5364,0.01,132,16,0.00,1.53,0.00,0,9.00,0.03,"postgres: stats collector"
1653693841,26,16165,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,497668,6980,0.01,132,16,0.00,0.00,0.00,0,0.02,0.00,"postgres: logical replication launcher"
1653693841,26,16176,0.00,0.03,0.00,0.00,0.03,1,0.05,0.00,220704,4724,0.01,132,20,0.00,0.13,0.00,0,0.15,0.02,"pidstat -h -l -d -r -s -u -w 60"
1653693841,26,16177,0.00,0.00,0.00,0.00,0.00,1,2.02,0.00,222524,3160,0.00,132,12,0.00,0.87,0.00,0,0.10,0.02,"/bin/sh /usr/local/bin/dbt3-pgsql-dbstat /tmp/r10e/power"
1653693841,26,16178,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,222836,1320,0.00,132,20,0.00,0.00,0.00,0,0.77,0.00,"sadc 60 -Z -S XALL /tmp/r10e/power//sar_raw.out"
1653693841,26,16381,0.00,0.00,0.00,0.00,0.00,4,1.40,0.00,217080,828,0.00,132,12,0.00,0.00,0.00,0,0.02,0.00,"sleep 60"
1653693841,26,16470,0.00,0.00,0.00,0.00,0.00,4,5.53,0.00,274076,6084,0.01,132,24,0.00,0.07,0.00,0,0.07,0.00,"psql -v ON_ERROR_STOP=1 -X -e"
1653693841,26,16471,13.65,2.15,0.00,0.00,15.80,1,124.90,0.00,511972,31248,0.05,132,64,0.00,1163.07,0.00,0,0.45,0.53,"postgres: postgres dbt3 [local] EXPLAIN"
1653693841,26,16472,8.45,1.32,0.00,0.03,9.77,2,88.45,0.00,507340,24204,0.04,132,36,0.00,645.47,0.00,0,0.22,1.17,"postgres: parallel worker for PID 16471"
1653693841,26,16473,8.53,1.37,0.00,0.02,9.90,5,84.33,0.00,506500,23456,0.04,132,36,0.00,646.00,0.00,0,0.17,3.83,"postgres: parallel worker for PID 16471"
1653693841,26,16474,4.83,0.87,0.00,0.02,5.70,0,26.68,0.00,503028,19716,0.03,132,36,0.00,516.27,0.00,0,0.07,3.88,"postgres: parallel worker for PID 16471"
1653693841,26,16475,4.90,0.80,0.00,0.00,5.70,3,26.65,0.00,503028,19716,0.03,132,36,0.00,516.27,0.00,0,0.10,0.18,"postgres: parallel worker for PID 16471"
1653693901,26,16015,0.00,0.00,0.00,0.00,0.00,3,12.67,0.00,222656,3248,0.00,132,16,0.00,0.87,0.13,0,0.45,0.02,"/bin/bash /usr/local/bin/dbt3-power-test -a pgsql -f 10 -o /tmp/r10e/power -p -c unix_socket_directories='/tmp' -s /tmp/r10e/seed"
1653693901,26,16157,0.00,0.02,0.00,0.00,0.02,5,6.37,0.00,497240,24724,0.04,132,36,1.80,23448.00,22322.53,0,0.75,0.02,"/usr/pgsql-14/bin/postgres -D /var/lib/pgsql/local/dbt3/pgdata -c unix_socket_directories=/tmp -p 5432"
1653693901,26,16160,0.00,0.02,0.00,0.05,0.02,5,0.00,0.00,497464,136256,0.21,132,28,0.00,0.00,0.00,0,9.98,0.00,"postgres: checkpointer"
1653693901,26,16161,0.00,0.02,0.00,0.02,0.02,0,0.02,0.00,497240,101316,0.15,132,28,0.00,0.00,0.00,0,0.72,0.00,"postgres: background writer"
1653693901,26,16162,0.00,0.00,0.00,0.03,0.00,3,0.00,0.00,497240,9692,0.01,132,24,0.00,0.40,0.00,0,2.47,0.02,"postgres: walwriter"
1653693901,26,16163,0.00,0.00,0.00,0.00,0.00,3,0.02,0.00,497808,9056,0.01,132,16,0.00,0.00,0.00,0,0.13,0.00,"postgres: autovacuum launcher"
