# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
pgsql1.dbt2.internal;60;1653668521;nvme1n1;1081.67;34.20;39505.33;36.55;11.34;10.37;0.12;13.06
pgsql1.dbt2.internal;60;1653668521;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668521;nvme1n1p2;1081.67;34.20;39505.33;36.55;11.31;10.37;0.12;13.06
pgsql1.dbt2.internal;60;1653668521;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668521;nvme0n1;1078.82;42.53;39567.27;36.72;9.57;8.74;0.13;13.58
pgsql1.dbt2.internal;60;1653668521;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668521;nvme0n1p2;1078.82;42.53;39567.27;36.72;9.52;8.74;0.13;13.58
pgsql1.dbt2.internal;60;1653668521;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668521;md127;2090.67;60.73;71013.13;34.00;21.85;10.45;0.08;16.96
pgsql1.dbt2.internal;60;1653668521;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
