# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
pgsql1.dbt2.internal;60;1653668521;-1;23.40;0.00;7.73;0.00;0.00;68.87
pgsql1.dbt2.internal;60;1653668521;0;25.26;0.00;8.08;0.00;0.00;66.67
pgsql1.dbt2.internal;60;1653668521;1;15.17;0.00;5.36;0.00;0.00;79.48
pgsql1.dbt2.internal;60;1653668521;2;34.59;0.00;12.10;0.00;0.00;53.32
pgsql1.dbt2.internal;60;1653668521;3;22.92;0.00;7.98;0.00;0.00;69.10
pgsql1.dbt2.internal;60;1653668521;4;17.76;0.00;5.42;0.00;0.00;76.82
pgsql1.dbt2.internal;60;1653668521;5;24.71;0.00;7.43;0.00;0.00;67.85
pgsql1.dbt2.internal;60;1653668581;-1;41.51;0.00;4.77;0.00;0.00;53.72
pgsql1.dbt2.internal;60;1653668581;0;47.53;0.00;6.19;0.00;0.00;46.28
pgsql1.dbt2.internal;60;1653668581;1;42.12;0.00;4.39;0.00;0.00;53.50
pgsql1.dbt2.internal;60;1653668581;2;39.11;0.00;2.52;0.00;0.00;58.38
pgsql1.dbt2.internal;60;1653668581;3;18.35;0.00;3.33;0.00;0.00;78.32
pgsql1.dbt2.internal;60;1653668581;4;56.76;0.00;7.01;0.00;0.00;36.22
pgsql1.dbt2.internal;60;1653668581;5;45.25;0.00;5.19;0.00;0.00;49.56
pgsql1.dbt2.internal;60;1653668641;-1;30.30;0.00;11.40;0.00;0.00;58.30
pgsql1.dbt2.internal;60;1653668641;0;24.40;0.00;9.53;0.00;0.00;66.07
pgsql1.dbt2.internal;60;1653668641;1;33.80;0.00;11.87;0.00;0.00;54.33
pgsql1.dbt2.internal;60;1653668641;2;38.34;0.00;9.08;0.00;0.00;52.58
pgsql1.dbt2.internal;60;1653668641;3;30.60;0.00;11.69;0.00;0.00;57.71
pgsql1.dbt2.internal;60;1653668641;4;29.60;0.00;14.28;0.00;0.00;56.12
pgsql1.dbt2.internal;60;1653668641;5;25.05;0.00;11.93;0.00;0.00;63.02
pgsql1.dbt2.internal;60;1653668701;-1;43.19;0.00;2.62;0.00;0.00;54.19
pgsql1.dbt2.internal;60;1653668701;0;35.80;0.00;1.67;0.00;0.00;62.53
pgsql1.dbt2.internal;60;1653668701;1;68.87;0.00;2.63;0.00;0.00;28.50
pgsql1.dbt2.internal;60;1653668701;2;84.88;0.00;4.77;0.00;0.00;10.35
pgsql1.dbt2.internal;60;1653668701;3;4.81;0.00;0.86;0.00;0.00;94.33
pgsql1.dbt2.internal;60;1653668701;4;50.01;0.00;3.27;0.00;0.00;46.72
pgsql1.dbt2.internal;60;1653668701;5;15.13;0.00;2.55;0.00;0.00;82.32
