ctime,datid,datname,pid,leader_pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query_id,query,backend_type
1654125270.979895,,,7588,,,,"",,,,2022-06-01 23:14:29.766816+00,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1654125270.979895,,,7590,,10,postgres,"",,,,2022-06-01 23:14:29.767204+00,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1654125270.979895,16384,dbt3,7657,,10,postgres,psql,,,-1,2022-06-01 23:14:30.889048+00,2022-06-01 23:14:30.891588+00,2022-06-01 23:14:30.891588+00,2022-06-01 23:14:30.891589+00,,,active,,3615,,"COPY supplier
FROM PROGRAM
'/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T s -o -C 6 -S 5'
USING DELIMITERS '|';",client backend
1654125270.979895,16384,dbt3,7655,,10,postgres,psql,,,-1,2022-06-01 23:14:30.888382+00,2022-06-01 23:14:30.88947+00,2022-06-01 23:14:30.88947+00,2022-06-01 23:14:30.88947+00,,,active,,3615,,"COPY supplier
FROM PROGRAM
'/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T s -o -C 6 -S 1'
USING DELIMITERS '|';",client backend
1654125270.979895,16384,dbt3,7656,,10,postgres,psql,,,-1,2022-06-01 23:14:30.888851+00,2022-06-01 23:14:30.891477+00,2022-06-01 23:14:30.891477+00,2022-06-01 23:14:30.891478+00,,,active,,3615,,"COPY supplier
FROM PROGRAM
'/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T s -o -C 6 -S 3'
USING DELIMITERS '|';",client backend
1654125270.979895,16384,dbt3,7658,,10,postgres,psql,,,-1,2022-06-01 23:14:30.889317+00,2022-06-01 23:14:30.890755+00,2022-06-01 23:14:30.890755+00,2022-06-01 23:14:30.890756+00,,,active,,3615,,"COPY supplier
FROM PROGRAM
'/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T s -o -C 6 -S 2'
USING DELIMITERS '|';",client backend
1654125270.979895,16384,dbt3,7663,,10,postgres,psql,,,-1,2022-06-01 23:14:30.89194+00,2022-06-01 23:14:30.893288+00,2022-06-01 23:14:30.893288+00,2022-06-01 23:14:30.893289+00,,,active,,3615,,"COPY supplier
FROM PROGRAM
'/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T s -o -C 6 -S 4'
USING DELIMITERS '|';",client backend
1654125270.979895,16384,dbt3,7680,,10,postgres,psql,,,-1,2022-06-01 23:14:30.969201+00,2022-06-01 23:14:30.972822+00,2022-06-01 23:14:30.972822+00,2022-06-01 23:14:30.972824+00,,,active,,3615,,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, * FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",client backend
1654125270.979895,16384,dbt3,7661,,10,postgres,psql,,,-1,2022-06-01 23:14:30.90243+00,2022-06-01 23:14:30.907765+00,2022-06-01 23:14:30.907765+00,2022-06-01 23:14:30.907766+00,,,active,,3615,,"COPY supplier
FROM PROGRAM
'/mnt/home/mark.wong/src/dbt3/src/dbgen/dbgen -s 10 -T s -o -C 6 -S 6'
USING DELIMITERS '|';",client backend
1654125270.979895,16384,dbt3,7681,,10,postgres,psql,,,-1,2022-06-01 23:14:30.975452+00,,,2022-06-01 23:14:30.978154+00,Client,ClientRead,idle,,,,"",client backend
