ctime,relname,pid,mode,granted
1654125270.982624,pg_index,7680,AccessShareLock,t
1654125270.982624,pg_index,7683,AccessShareLock,t
1654125270.982624,pg_index_indexrelid_index,7680,AccessShareLock,t
1654125270.982624,pg_index_indexrelid_index,7683,AccessShareLock,t
1654125270.982624,pg_index_indrelid_index,7683,AccessShareLock,t
1654125270.982624,pg_index_indrelid_index,7680,AccessShareLock,t
1654125270.982624,pg_namespace,7683,AccessShareLock,t
1654125270.982624,pg_namespace,7680,AccessShareLock,t
1654125270.982624,pg_namespace_nspname_index,7683,AccessShareLock,t
1654125270.982624,pg_namespace_nspname_index,7680,AccessShareLock,t
1654125270.982624,pg_namespace_oid_index,7680,AccessShareLock,t
1654125270.982624,pg_namespace_oid_index,7683,AccessShareLock,t
1654125270.982624,supplier,7663,RowExclusiveLock,t
1654125270.982624,supplier,7657,RowExclusiveLock,t
1654125270.982624,supplier,7661,RowExclusiveLock,t
1654125270.982624,supplier,7655,RowExclusiveLock,t
1654125270.982624,supplier,7656,RowExclusiveLock,t
1654125270.982624,supplier,7658,RowExclusiveLock,t
1654125331.010800,customer,7731,RowExclusiveLock,t
1654125331.010800,customer,7732,RowExclusiveLock,t
1654125331.010800,customer,7730,RowExclusiveLock,t
1654125331.010800,customer,7728,RowExclusiveLock,t
1654125331.010800,customer,7729,RowExclusiveLock,t
1654125331.010800,customer,7733,RowExclusiveLock,t
1654125331.010800,pg_index,7748,AccessShareLock,t
1654125331.010800,pg_index_indexrelid_index,7748,AccessShareLock,t
1654125331.010800,pg_index_indrelid_index,7748,AccessShareLock,t
1654125331.010800,pg_namespace,7748,AccessShareLock,t
1654125331.010800,pg_namespace_nspname_index,7748,AccessShareLock,t
1654125331.010800,pg_namespace_oid_index,7748,AccessShareLock,t
1654125391.023622,orders,7759,RowExclusiveLock,t
1654125391.023622,orders,7758,RowExclusiveLock,t
1654125391.023622,orders,7762,RowExclusiveLock,t
1654125391.023622,orders,7761,RowExclusiveLock,t
1654125391.023622,orders,7760,RowExclusiveLock,t
1654125391.023622,orders,7766,RowExclusiveLock,t
1654125391.023622,partsupp,7770,ShareUpdateExclusiveLock,t
1654125391.023622,pg_index,7778,AccessShareLock,t
1654125391.023622,pg_index_indexrelid_index,7778,AccessShareLock,t
