ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1654125270.982941,0,,0,0,0,7164,141231,38334,34518,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654125270.982941,14699,postgres,0,193,11,2840,34650,120770,16031,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
1654125270.982941,16384,dbt3,10,15455,77,611291730,606392949,17385357532,430067173,399590255,2830,444620,0,56475,157667195225,0,,,0,0,24459919.036,24576569.14,3786.898,4722,0,0,3,2022-05-31 22:46:51.108916+00
1654125270.982941,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125270.982941,14698,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125330.996694,0,,0,0,0,7164,141773,38511,34631,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654125330.996694,14699,postgres,0,195,11,2849,34724,122011,16045,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
1654125330.996694,16384,dbt3,9,15516,77,611559978,607260851,17385369901,430074851,409690276,2909,444621,0,56475,157667195225,0,,,0,0,24774221.535,24892139.923,3786.898,4744,0,0,3,2022-05-31 22:46:51.108916+00
1654125330.996694,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125330.996694,14698,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125390.998427,0,,0,0,0,7164,142046,38583,34693,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654125390.998427,14699,postgres,0,197,11,2863,34977,123332,16139,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
1654125390.998427,16384,dbt3,10,15537,77,611595876,607395397,17385376519,430077941,411190276,2909,444621,0,56475,157667195225,0,,,0,0,24866340.107,24984224.541,3786.898,4755,0,0,3,2022-05-31 22:46:51.108916+00
1654125390.998427,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125390.998427,14698,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125451.000864,0,,0,0,0,7164,142362,38701,34767,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654125451.000864,14699,postgres,0,199,11,2863,35060,124573,16153,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
