# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
pgsql1.dbt3.internal;60;1654125328;nvme0n1;140.33;0.07;26223.53;186.87;5.78;40.55;0.86;12.06
pgsql1.dbt3.internal;60;1654125328;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125328;nvme0n1p2;140.33;0.07;26223.53;186.87;5.77;40.55;0.86;12.06
pgsql1.dbt3.internal;60;1654125328;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125328;nvme1n1;134.80;0.00;26178.07;194.20;0.37;2.10;0.92;12.42
pgsql1.dbt3.internal;60;1654125328;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125328;nvme1n1p2;134.80;0.00;26178.07;194.20;0.35;2.10;0.92;12.42
pgsql1.dbt3.internal;60;1654125328;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125328;md127;264.55;0.07;50721.73;191.73;6.71;25.37;0.42;11.18
pgsql1.dbt3.internal;60;1654125328;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125328;sda;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125328;sda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125328;sda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654125328;sda3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
