ctime,datid,datname,pid,leader_pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query_id,query,backend_type
1654125746.926293,,,8149,,,,"",,,,2022-06-01 23:22:25.836165+00,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1654125746.926293,,,8151,,10,postgres,"",,,,2022-06-01 23:22:25.836618+00,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1654125746.926293,16384,dbt3,8194,,10,postgres,psql,,,-1,2022-06-01 23:22:26.925049+00,,2022-06-01 23:22:26.926291+00,2022-06-01 23:22:26.927747+00,,,idle,,,,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",client backend
1654125746.926293,16384,dbt3,8195,,10,postgres,psql,,,-1,2022-06-01 23:22:26.925265+00,2022-06-01 23:22:26.926293+00,2022-06-01 23:22:26.926293+00,2022-06-01 23:22:26.926293+00,,,active,,3712,,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, * FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",client backend
1654125746.926293,16384,dbt3,8196,,10,postgres,psql,,,-1,2022-06-01 23:22:26.92549+00,2022-06-01 23:22:26.926584+00,2022-06-01 23:22:26.926584+00,2022-06-01 23:22:26.926585+00,,,active,,3712,,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, * FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",client backend
1654125746.926293,16384,dbt3,8197,,10,postgres,psql,,,-1,2022-06-01 23:22:26.925654+00,2022-06-01 23:22:26.926869+00,2022-06-01 23:22:26.926869+00,2022-06-01 23:22:26.92687+00,,,active,,3712,,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, * FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",client backend
1654125746.926293,,,8147,,,,"",,,,2022-06-01 23:22:25.835741+00,,,,Activity,BgWriterMain,,,,,"",background writer
1654125746.926293,,,8146,,,,"",,,,2022-06-01 23:22:25.835524+00,,,,Activity,CheckpointerMain,,,,,"",checkpointer
1654125746.926293,,,8148,,,,"",,,,2022-06-01 23:22:25.835956+00,,,,Activity,WalWriterMain,,,,,"",walwriter
1654125806.948112,,,8149,,,,"",,,,2022-06-01 23:22:25.836165+00,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1654125806.948112,,,8151,,10,postgres,"",,,,2022-06-01 23:22:25.836618+00,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1654125806.948112,16384,dbt3,8299,,10,postgres,psql,,,-1,2022-06-01 23:23:18.64803+00,2022-06-01 23:23:18.651435+00,2022-06-01 23:23:18.651513+00,2022-06-01 23:23:18.651514+00,,,active,,3727,,"select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from
	customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from
			lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 314
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate
LIMIT 100;",client backend
1654125806.948112,16384,dbt3,8300,8299,10,postgres,psql,,,,2022-06-01 23:23:18.656472+00,2022-06-01 23:23:18.651435+00,2022-06-01 23:23:18.651513+00,2022-06-01 23:23:18.659807+00,,,active,,3727,,"select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from
	customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from
			lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 314
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate
LIMIT 100;",parallel worker
1654125806.948112,16384,dbt3,8301,8299,10,postgres,psql,,,,2022-06-01 23:23:18.656715+00,2022-06-01 23:23:18.651435+00,2022-06-01 23:23:18.651513+00,2022-06-01 23:23:18.659855+00,,,active,,3727,,"select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from
	customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from
			lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 314
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate
LIMIT 100;",parallel worker
1654125806.948112,16384,dbt3,8310,,10,postgres,psql,,,-1,2022-06-01 23:23:26.934517+00,2022-06-01 23:23:26.936523+00,2022-06-01 23:23:26.936523+00,2022-06-01 23:23:26.936524+00,,,active,,3727,,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, * FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",client backend
1654125806.948112,16384,dbt3,8313,,10,postgres,psql,,,-1,2022-06-01 23:23:26.944948+00,2022-06-01 23:23:26.948112+00,2022-06-01 23:23:26.948112+00,2022-06-01 23:23:26.948113+00,,,active,,3727,,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, * FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",client backend
1654125806.948112,,,8147,,,,"",,,,2022-06-01 23:22:25.835741+00,,,,Activity,BgWriterMain,,,,,"",background writer
1654125806.948112,,,8146,,,,"",,,,2022-06-01 23:22:25.835524+00,,,,Timeout,CheckpointWriteDelay,,,,,"",checkpointer
1654125806.948112,,,8148,,,,"",,,,2022-06-01 23:22:25.835956+00,,,,Activity,WalWriterMain,,,,,"",walwriter
1654125866.948474,,,8149,,,,"",,,,2022-06-01 23:22:25.836165+00,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1654125866.948474,,,8151,,10,postgres,"",,,,2022-06-01 23:22:25.836618+00,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
