ctime,relname,pid,mode,granted
1654125746.926291,pg_rewrite,8197,AccessShareLock,t
1654125746.926291,pg_rewrite_rel_rulename_index,8197,AccessShareLock,t
1654125806.930656,customer,8301,AccessShareLock,t
1654125806.930656,customer,8300,AccessShareLock,t
1654125806.930656,customer,8299,AccessShareLock,t
1654125806.930656,customer_c_mktsegment_c_custkey_idx,8299,AccessShareLock,t
1654125806.930656,customer_c_nationkey_c_custkey_idx,8299,AccessShareLock,t
1654125806.930656,customer_c_phone_c_acctbal_c_custkey_idx,8299,AccessShareLock,t
1654125806.930656,customer_c_phone_idx_c_acctbal,8299,AccessShareLock,t
1654125806.930656,lineitem,8299,AccessShareLock,t
1654125806.930656,lineitem,8300,AccessShareLock,t
1654125806.930656,lineitem,8301,AccessShareLock,t
1654125806.930656,lineitem_l_orderkey_idx_l_returnflag,8299,AccessShareLock,t
1654125806.930656,lineitem_l_orderkey_idx_part2,8299,AccessShareLock,t
1654125806.930656,lineitem_l_orderkey_l_suppkey_idx,8299,AccessShareLock,t
1654125806.930656,lineitem_l_orderkey_l_suppkey_l_quantity_idx,8299,AccessShareLock,t
1654125806.930656,lineitem_l_orderkey_l_suppkey_l_quantity_idx,8301,AccessShareLock,t
1654125806.930656,lineitem_l_orderkey_l_suppkey_l_quantity_idx,8300,AccessShareLock,t
1654125806.930656,lineitem_l_partkey_l_quantity_l_shipmode_idx,8299,AccessShareLock,t
1654125806.930656,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,8299,AccessShareLock,t
1654125806.930656,lineitem_l_receiptdate_idx,8299,AccessShareLock,t
1654125806.930656,lineitem_l_shipdate_idx,8299,AccessShareLock,t
1654125806.930656,orders,8300,AccessShareLock,t
1654125806.930656,orders,8301,AccessShareLock,t
1654125806.930656,orders,8299,AccessShareLock,t
1654125806.930656,orders_o_custkey_idx,8299,AccessShareLock,t
1654125806.930656,orders_o_orderdate_idx,8299,AccessShareLock,t
1654125806.930656,orders_o_orderkey_o_orderdate_idx,8299,AccessShareLock,t
1654125806.930656,pk_customer,8299,AccessShareLock,t
1654125806.930656,pk_lineitem,8299,AccessShareLock,t
1654125806.930656,pk_orders,8299,AccessShareLock,t
1654125866.936418,customer,8369,AccessShareLock,t
1654125866.936418,customer,8368,AccessShareLock,t
1654125866.936418,customer,8370,AccessShareLock,t
1654125866.936418,customer_c_mktsegment_c_custkey_idx,8370,AccessShareLock,t
1654125866.936418,customer_c_mktsegment_c_custkey_idx,8369,AccessShareLock,t
1654125866.936418,customer_c_mktsegment_c_custkey_idx,8368,AccessShareLock,t
1654125866.936418,customer_c_nationkey_c_custkey_idx,8368,AccessShareLock,t
1654125866.936418,customer_c_phone_c_acctbal_c_custkey_idx,8368,AccessShareLock,t
1654125866.936418,customer_c_phone_idx_c_acctbal,8368,AccessShareLock,t
1654125866.936418,lineitem,8368,AccessShareLock,t
1654125866.936418,lineitem,8369,AccessShareLock,t
1654125866.936418,lineitem,8370,AccessShareLock,t
1654125866.936418,lineitem_l_orderkey_idx_l_returnflag,8368,AccessShareLock,t
1654125866.936418,lineitem_l_orderkey_idx_part2,8368,AccessShareLock,t
1654125866.936418,lineitem_l_orderkey_l_suppkey_idx,8368,AccessShareLock,t
1654125866.936418,lineitem_l_orderkey_l_suppkey_l_quantity_idx,8368,AccessShareLock,t
1654125866.936418,lineitem_l_partkey_l_quantity_l_shipmode_idx,8368,AccessShareLock,t
1654125866.936418,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,8368,AccessShareLock,t
1654125866.936418,lineitem_l_receiptdate_idx,8368,AccessShareLock,t
1654125866.936418,lineitem_l_shipdate_idx,8368,AccessShareLock,t
1654125866.936418,orders,8369,AccessShareLock,t
1654125866.936418,orders,8370,AccessShareLock,t
1654125866.936418,orders,8368,AccessShareLock,t
1654125866.936418,orders_o_custkey_idx,8368,AccessShareLock,t
1654125866.936418,orders_o_orderdate_idx,8368,AccessShareLock,t
1654125866.936418,orders_o_orderkey_o_orderdate_idx,8368,AccessShareLock,t
1654125866.936418,pk_customer,8368,AccessShareLock,t
1654125866.936418,pk_lineitem,8368,AccessShareLock,t
1654125866.936418,pk_orders,8368,AccessShareLock,t
1654125926.944020,customer,8484,AccessShareLock,t
1654125926.944020,customer,8486,AccessShareLock,t
1654125926.944020,customer,8485,AccessShareLock,t
1654125926.944020,customer_c_mktsegment_c_custkey_idx,8484,AccessShareLock,t
1654125926.944020,customer_c_nationkey_c_custkey_idx,8484,AccessShareLock,t
1654125926.944020,customer_c_phone_c_acctbal_c_custkey_idx,8484,AccessShareLock,t
1654125926.944020,customer_c_phone_idx_c_acctbal,8484,AccessShareLock,t
1654125926.944020,lineitem,8486,AccessShareLock,t
1654125926.944020,lineitem,8485,AccessShareLock,t
1654125926.944020,lineitem,8484,AccessShareLock,t
1654125926.944020,lineitem_l_orderkey_idx_l_returnflag,8484,AccessShareLock,t
1654125926.944020,lineitem_l_orderkey_idx_part2,8484,AccessShareLock,t
1654125926.944020,lineitem_l_orderkey_l_suppkey_idx,8484,AccessShareLock,t
1654125926.944020,lineitem_l_orderkey_l_suppkey_l_quantity_idx,8484,AccessShareLock,t
1654125926.944020,lineitem_l_partkey_l_quantity_l_shipmode_idx,8484,AccessShareLock,t
1654125926.944020,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,8484,AccessShareLock,t
1654125926.944020,lineitem_l_receiptdate_idx,8484,AccessShareLock,t
1654125926.944020,lineitem_l_shipdate_idx,8484,AccessShareLock,t
1654125926.944020,nation,8486,AccessShareLock,t
1654125926.944020,nation,8485,AccessShareLock,t
1654125926.944020,nation,8484,AccessShareLock,t
1654125926.944020,orders,8486,AccessShareLock,t
1654125926.944020,orders,8485,AccessShareLock,t
1654125926.944020,orders,8484,AccessShareLock,t
1654125926.944020,orders_o_custkey_idx,8484,AccessShareLock,t
1654125926.944020,orders_o_orderdate_idx,8484,AccessShareLock,t
1654125926.944020,orders_o_orderkey_o_orderdate_idx,8484,AccessShareLock,t
1654125926.944020,pg_rewrite,8495,AccessShareLock,t
1654125926.944020,pg_rewrite_rel_rulename_index,8495,AccessShareLock,t
1654125926.944020,pk_customer,8484,AccessShareLock,t
1654125926.944020,pk_lineitem,8484,AccessShareLock,t
1654125926.944020,pk_nation,8484,AccessShareLock,t
1654125926.944020,pk_orders,8484,AccessShareLock,t
