ctime,relid,indexrelid,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,relid,indexrelid,schemaname,relname,indexrelname,idx_blks_read,idx_blks_hit
1654125746.926869,17757,17758,pg_toast,pg_toast_17754,pg_toast_17754_index,0,0,0,17757,17758,pg_toast,pg_toast_17754,pg_toast_17754_index,1,0
1654125746.926869,17754,17798,public,orders,pk_orders,0,0,0,17754,17798,public,orders,pk_orders,1,12
1654125746.926869,17754,17803,public,orders,orders_o_orderkey_o_orderdate_idx,30,30,0,17754,17803,public,orders,orders_o_orderkey_o_orderdate_idx,6,97
1654125746.926869,17754,17787,public,orders,orders_o_orderdate_idx,0,0,0,17754,17787,public,orders,orders_o_orderdate_idx,0,34
1654125746.926869,17754,17794,public,orders,orders_o_custkey_idx,28,28,0,17754,17794,public,orders,orders_o_custkey_idx,6,91
1654125746.926869,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,23793,20501,20197,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,1546,51925
1654125746.926869,1247,2703,pg_catalog,pg_type,pg_type_oid_index,87658,87268,87268,1247,2703,pg_catalog,pg_type,pg_type_oid_index,1457,180484
1654125746.926869,1247,2704,pg_catalog,pg_type,pg_type_typname_nsp_index,2495,1858,1563,1247,2704,pg_catalog,pg_type,pg_type_typname_nsp_index,1114,5999
1654125746.926869,17762,17763,pg_toast,pg_toast_17759,pg_toast_17759_index,0,0,0,17762,17763,pg_toast,pg_toast_17759,pg_toast_17759_index,1,0
1654125746.926869,17759,17788,public,lineitem,pk_lineitem,0,0,0,17759,17788,public,lineitem,pk_lineitem,1,17
1654125746.926869,17759,17793,public,lineitem,lineitem_l_shipdate_idx,0,0,0,17759,17793,public,lineitem,lineitem_l_shipdate_idx,0,103
1654125746.926869,17759,17796,public,lineitem,lineitem_l_orderkey_idx_part2,0,0,0,17759,17796,public,lineitem,lineitem_l_orderkey_idx_part2,1,17
1654125746.926869,17759,17792,public,lineitem,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,0,0,0,17759,17792,public,lineitem,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,1,17
1654125746.926869,17759,17786,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,0,0,0,17759,17786,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,1,17
1654125746.926869,17759,17806,public,lineitem,lineitem_l_partkey_l_quantity_l_shipmode_idx,18,18,0,17759,17806,public,lineitem,lineitem_l_partkey_l_quantity_l_shipmode_idx,8,82
1654125746.926869,17759,17808,public,lineitem,lineitem_l_orderkey_l_suppkey_l_quantity_idx,38,38,0,17759,17808,public,lineitem,lineitem_l_orderkey_l_suppkey_l_quantity_idx,8,162
1654125746.926869,17759,17795,public,lineitem,lineitem_l_orderkey_l_suppkey_idx,0,0,0,17759,17795,public,lineitem,lineitem_l_orderkey_l_suppkey_idx,1,17
1654125746.926869,17759,17805,public,lineitem,lineitem_l_receiptdate_idx,0,0,0,17759,17805,public,lineitem,lineitem_l_receiptdate_idx,0,96
1654125746.926869,2836,2837,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,2836,2837,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0
1654125746.926869,4171,4172,pg_toast,pg_toast_1247,pg_toast_1247_index,0,0,0,4171,4172,pg_toast,pg_toast_1247,pg_toast_1247_index,0,0
1654125746.926869,2830,2831,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,2830,2831,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0
1654125746.926869,2832,2833,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,2832,2833,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0
1654125746.926869,4157,4158,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0,0,4157,4158,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0
1654125746.926869,4159,4160,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0,0,4159,4160,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0
1654125746.926869,2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,771,1253,1253,2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,341,1144
1654125746.926869,3439,3440,pg_toast,pg_toast_3381,pg_toast_3381_index,0,0,0,3439,3440,pg_toast,pg_toast_3381,pg_toast_3381_index,0,0
