ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1654125746.929260,3394,pg_catalog,pg_init_privs,0,0,151,1192,0,0,0,0,3394,pg_catalog,pg_init_privs,0,0,1158,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,4167,pg_toast,pg_toast_3256,0,0,0,0,,,,,4167,pg_toast,pg_toast_3256,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,4151,pg_toast,pg_toast_1417,0,0,0,0,,,,,4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,2834,pg_toast,pg_toast_2609,0,0,0,0,,,,,2834,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,6000,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,6000,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,2840,pg_toast,pg_toast_2619,497,1319,341,1144,,,,,2840,pg_toast,pg_toast_2619,0,0,771,1253,278,0,265,0,25,25,543,26,,2022-06-01 17:47:00.966812+00,,,0,4,0,0
1654125746.929260,2328,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,2328,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,4157,pg_toast,pg_toast_2612,0,0,0,0,,,,,4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,1260,pg_catalog,pg_authid,449,12965,1878,24238,0,0,0,0,1260,pg_catalog,pg_authid,356,1698,13058,13058,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,6102,pg_catalog,pg_subscription_rel,0,0,0,0,,,,,6102,pg_catalog,pg_subscription_rel,251,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,1214,pg_catalog,pg_shdepend,89,151,332,1461,,,,,1214,pg_catalog,pg_shdepend,0,0,1399,240,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,4163,pg_toast,pg_toast_2615,0,0,0,0,,,,,4163,pg_toast,pg_toast_2615,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,4169,pg_toast,pg_toast_3600,0,0,0,0,,,,,4169,pg_toast,pg_toast_3600,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,17762,pg_toast,pg_toast_17759,0,0,1,0,,,,,17762,pg_toast,pg_toast_17759,1,0,0,0,0,0,0,0,0,0,0,0,2022-06-01 23:22:22.021977+00,,,,1,0,0,0
1654125746.929260,2615,pg_catalog,pg_namespace,602,11717,1767,22239,0,0,0,0,2615,pg_catalog,pg_namespace,276,1884,15810,10954,32,0,0,0,10,22,10,32,,,,,0,0,0,0
1654125746.929260,17757,pg_toast,pg_toast_17754,0,0,1,0,,,,,17757,pg_toast,pg_toast_17754,1,0,0,0,0,0,0,0,0,0,0,0,2022-06-01 23:20:35.991628+00,,,,1,0,0,0
1654125746.929260,17767,public,region,5,14,2,10,,,,,17767,public,region,1,5,8,0,5,0,0,0,5,0,0,0,2022-06-01 23:19:28.976054+00,,2022-06-01 23:19:28.982807+00,,1,0,1,0
1654125746.929260,2396,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,2396,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1654125746.929260,3600,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,3600,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
