# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
pgsql1.dbt3.internal;60;1654125806;-1;26.84;0.00;6.98;0.00;0.00;66.18
pgsql1.dbt3.internal;60;1654125806;0;7.86;0.00;2.39;0.00;0.00;89.75
pgsql1.dbt3.internal;60;1654125806;1;24.84;0.00;7.08;0.00;0.00;68.08
pgsql1.dbt3.internal;60;1654125806;2;15.89;0.00;2.40;0.00;0.00;81.70
pgsql1.dbt3.internal;60;1654125806;3;51.13;0.00;12.81;0.00;0.00;36.07
pgsql1.dbt3.internal;60;1654125806;4;26.11;0.00;6.65;0.00;0.00;67.24
pgsql1.dbt3.internal;60;1654125806;5;35.20;0.00;10.52;0.00;0.00;54.28
pgsql1.dbt3.internal;60;1654125866;-1;36.11;0.00;9.88;0.00;0.00;54.01
pgsql1.dbt3.internal;60;1654125866;0;9.64;0.00;1.42;0.00;0.00;88.94
pgsql1.dbt3.internal;60;1654125866;1;13.60;0.00;7.69;0.00;0.00;78.71
pgsql1.dbt3.internal;60;1654125866;2;64.68;0.00;20.45;0.00;0.00;14.87
pgsql1.dbt3.internal;60;1654125866;3;41.80;0.00;2.87;0.00;0.00;55.33
pgsql1.dbt3.internal;60;1654125866;4;18.26;0.00;5.14;0.00;0.00;76.60
pgsql1.dbt3.internal;60;1654125866;5;68.48;0.00;21.67;0.00;0.00;9.85
pgsql1.dbt3.internal;60;1654125926;-1;43.87;0.00;3.51;0.00;0.00;52.61
pgsql1.dbt3.internal;60;1654125926;0;7.45;0.00;0.95;0.00;0.00;91.60
pgsql1.dbt3.internal;60;1654125926;1;63.21;0.00;3.30;0.00;0.00;33.49
pgsql1.dbt3.internal;60;1654125926;2;11.06;0.00;1.80;0.00;0.00;87.14
pgsql1.dbt3.internal;60;1654125926;3;85.15;0.00;6.33;0.00;0.00;8.52
pgsql1.dbt3.internal;60;1654125926;4;29.71;0.00;4.27;0.00;0.00;66.02
pgsql1.dbt3.internal;60;1654125926;5;66.54;0.00;4.42;0.00;0.00;29.04
