ctime,datid,datname,pid,leader_pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query_id,query,backend_type
1654125964.512213,,,8598,,,,"",,,,2022-06-01 23:26:03.380564+00,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1654125964.512213,,,8600,,10,postgres,"",,,,2022-06-01 23:26:03.38088+00,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1654125964.512213,16384,dbt3,8712,,10,postgres,psql,,,-1,2022-06-01 23:26:04.508165+00,2022-06-01 23:26:04.509234+00,2022-06-01 23:26:04.509234+00,2022-06-01 23:26:04.509235+00,,,active,,3769,,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, * FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",client backend
1654125964.512213,16384,dbt3,8713,,10,postgres,psql,,,-1,2022-06-01 23:26:04.510823+00,2022-06-01 23:26:04.512213+00,2022-06-01 23:26:04.512213+00,2022-06-01 23:26:04.512214+00,,,active,,3769,,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, * FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",client backend
1654125964.512213,16384,dbt3,8716,,10,postgres,psql,,,-1,2022-06-01 23:26:04.51116+00,2022-06-01 23:26:04.512213+00,2022-06-01 23:26:04.512213+00,2022-06-01 23:26:04.512214+00,,,active,,3769,,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, * FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",client backend
1654125964.512213,,,8596,,,,"",,,,2022-06-01 23:26:03.380254+00,,,,Activity,BgWriterMain,,,,,"",background writer
1654125964.512213,,,8595,,,,"",,,,2022-06-01 23:26:03.380097+00,,,,Activity,CheckpointerMain,,,,,"",checkpointer
1654125964.512213,,,8597,,,,"",,,,2022-06-01 23:26:03.380408+00,,,,Activity,WalWriterMain,,,,,"",walwriter
1654126024.553514,,,8598,,,,"",,,,2022-06-01 23:26:03.380564+00,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1654126024.553514,,,8600,,10,postgres,"",,,,2022-06-01 23:26:03.38088+00,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1654126024.553514,16384,dbt3,9287,,10,postgres,psql,,,-1,2022-06-01 23:26:50.308817+00,2022-06-01 23:26:50.32435+00,2022-06-01 23:26:50.324519+00,2022-06-01 23:26:50.32452+00,,,active,,3809,,"select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from
	customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from
			lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 312
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate
LIMIT 100;",client backend
1654126024.553514,16384,dbt3,9288,9287,10,postgres,psql,,,,2022-06-01 23:26:50.339637+00,2022-06-01 23:26:50.32435+00,2022-06-01 23:26:50.324519+00,2022-06-01 23:26:50.35524+00,,,active,,3809,,"select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from
	customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from
			lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 312
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate
LIMIT 100;",parallel worker
1654126024.553514,16384,dbt3,9289,9287,10,postgres,psql,,,,2022-06-01 23:26:50.34964+00,2022-06-01 23:26:50.32435+00,2022-06-01 23:26:50.324519+00,2022-06-01 23:26:50.36215+00,,,active,,3809,,"select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from
	customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from
			lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 312
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate
LIMIT 100;",parallel worker
