ctime,relid,indexrelid,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,relid,indexrelid,schemaname,relname,indexrelname,idx_blks_read,idx_blks_hit
1654125964.512213,17757,17758,pg_toast,pg_toast_17754,pg_toast_17754_index,0,0,0,17757,17758,pg_toast,pg_toast_17754,pg_toast_17754_index,1,0
1654125964.512213,17754,17798,public,orders,pk_orders,80137,125136,125136,17754,17798,public,orders,pk_orders,33157,252622
1654125964.512213,17754,17803,public,orders,orders_o_orderkey_o_orderdate_idx,3262950,3262950,3521,17754,17803,public,orders,orders_o_orderkey_o_orderdate_idx,2796805,7037276
1654125964.512213,17754,17787,public,orders,orders_o_orderdate_idx,0,0,0,17754,17787,public,orders,orders_o_orderdate_idx,15,35930
1654125964.512213,17754,17794,public,orders,orders_o_custkey_idx,1690644,15141978,15015007,17754,17794,public,orders,orders_o_custkey_idx,37783,5079184
1654125964.512213,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,24361,20992,20688,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,1596,53103
1654125964.512213,1247,2703,pg_catalog,pg_type,pg_type_oid_index,90238,89844,89844,1247,2703,pg_catalog,pg_type,pg_type_oid_index,1504,185756
1654125964.512213,1247,2704,pg_catalog,pg_type,pg_type_typname_nsp_index,2536,1890,1593,1247,2704,pg_catalog,pg_type,pg_type_typname_nsp_index,1149,6077
1654125964.512213,17762,17763,pg_toast,pg_toast_17759,pg_toast_17759_index,0,0,0,17762,17763,pg_toast,pg_toast_17759,pg_toast_17759_index,1,0
1654125964.512213,17759,17788,public,lineitem,pk_lineitem,1,180128,180128,17759,17788,public,lineitem,pk_lineitem,2017,239648
1654125964.512213,17759,17793,public,lineitem,lineitem_l_shipdate_idx,0,0,0,17759,17793,public,lineitem,lineitem_l_shipdate_idx,11,122830
1654125964.512213,17759,17796,public,lineitem,lineitem_l_orderkey_idx_part2,0,0,0,17759,17796,public,lineitem,lineitem_l_orderkey_idx_part2,84,21467
1654125964.512213,17759,17792,public,lineitem,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,679966,3542351,3263144,17759,17792,public,lineitem,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,502138,2630267
