# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
pgsql1.dbt3.internal;60;1654126024;nvme0n1;1116.77;0.07;35735.53;32.00;0.61;0.52;0.11;12.33
pgsql1.dbt3.internal;60;1654126024;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126024;nvme0n1p2;1116.77;0.07;35735.53;32.00;0.61;0.52;0.11;12.33
pgsql1.dbt3.internal;60;1654126024;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126024;nvme1n1;1120.97;0.00;35720.80;31.87;1.51;1.32;0.10;11.60
pgsql1.dbt3.internal;60;1654126024;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126024;nvme1n1p2;1120.97;0.00;35720.80;31.87;1.51;1.32;0.10;11.60
pgsql1.dbt3.internal;60;1654126024;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126024;md127;2196.50;0.07;66533.07;30.29;2.18;0.99;0.05;11.15
pgsql1.dbt3.internal;60;1654126024;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126024;sda;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126024;sda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126024;sda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126024;sda3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
