# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
pgsql1.dbt3.internal;60;1654126024;-1;82.48;0.00;12.10;0.00;0.00;5.42
pgsql1.dbt3.internal;60;1654126024;0;82.76;0.00;11.95;0.00;0.00;5.29
pgsql1.dbt3.internal;60;1654126024;1;82.96;0.00;12.24;0.00;0.00;4.80
pgsql1.dbt3.internal;60;1654126024;2;81.81;0.00;12.90;0.00;0.00;5.29
pgsql1.dbt3.internal;60;1654126024;3;82.68;0.00;11.64;0.00;0.00;5.69
pgsql1.dbt3.internal;60;1654126024;4;83.84;0.00;11.34;0.00;0.00;4.82
pgsql1.dbt3.internal;60;1654126024;5;80.80;0.00;12.56;0.00;0.00;6.64
pgsql1.dbt3.internal;60;1654126084;-1;82.31;0.00;10.29;0.00;0.00;7.40
pgsql1.dbt3.internal;60;1654126084;0;82.04;0.00;10.24;0.00;0.00;7.72
pgsql1.dbt3.internal;60;1654126084;1;81.33;0.00;11.71;0.00;0.00;6.96
pgsql1.dbt3.internal;60;1654126084;2;83.58;0.00;9.75;0.00;0.00;6.67
pgsql1.dbt3.internal;60;1654126084;3;81.62;0.00;9.64;0.00;0.00;8.74
pgsql1.dbt3.internal;60;1654126084;4;83.29;0.00;9.62;0.00;0.00;7.09
pgsql1.dbt3.internal;60;1654126084;5;82.01;0.00;10.79;0.00;0.00;7.20
pgsql1.dbt3.internal;60;1654126144;-1;77.93;0.00;8.62;0.00;0.00;13.45
pgsql1.dbt3.internal;60;1654126144;0;76.05;0.00;8.69;0.00;0.00;15.26
pgsql1.dbt3.internal;60;1654126144;1;82.83;0.00;8.63;0.00;0.00;8.53
pgsql1.dbt3.internal;60;1654126144;2;83.44;0.00;8.80;0.00;0.00;7.75
pgsql1.dbt3.internal;60;1654126144;3;76.02;0.00;9.00;0.00;0.00;14.97
pgsql1.dbt3.internal;60;1654126144;4;78.15;0.00;7.85;0.00;0.00;14.00
pgsql1.dbt3.internal;60;1654126144;5;71.07;0.00;8.74;0.00;0.00;20.19
pgsql1.dbt3.internal;60;1654126204;-1;85.00;0.00;11.15;0.00;0.00;3.85
pgsql1.dbt3.internal;60;1654126204;0;83.74;0.00;11.04;0.00;0.00;5.22
pgsql1.dbt3.internal;60;1654126204;1;85.65;0.00;11.57;0.00;0.00;2.78
pgsql1.dbt3.internal;60;1654126204;2;87.05;0.00;10.17;0.00;0.00;2.78
pgsql1.dbt3.internal;60;1654126204;3;85.13;0.00;9.89;0.00;0.00;4.98
pgsql1.dbt3.internal;60;1654126204;4;85.16;0.00;11.74;0.00;0.00;3.10
pgsql1.dbt3.internal;60;1654126204;5;83.28;0.00;12.49;0.00;0.00;4.23
pgsql1.dbt3.internal;60;1654126264;-1;68.75;0.00;27.73;0.00;0.00;3.52
pgsql1.dbt3.internal;60;1654126264;0;67.55;0.00;29.05;0.00;0.00;3.40
pgsql1.dbt3.internal;60;1654126264;1;69.05;0.00;27.22;0.00;0.00;3.72
pgsql1.dbt3.internal;60;1654126264;2;68.60;0.00;27.73;0.00;0.00;3.67
pgsql1.dbt3.internal;60;1654126264;3;67.41;0.00;29.16;0.00;0.00;3.44
pgsql1.dbt3.internal;60;1654126264;4;69.52;0.00;26.73;0.00;0.00;3.75
pgsql1.dbt3.internal;60;1654126264;5;70.37;0.00;26.48;0.00;0.00;3.16
pgsql1.dbt3.internal;60;1654126324;-1;78.02;0.00;18.22;0.00;0.00;3.75
pgsql1.dbt3.internal;60;1654126324;0;76.65;0.00;18.78;0.00;0.00;4.57
pgsql1.dbt3.internal;60;1654126324;1;79.94;0.00;17.13;0.00;0.00;2.94
pgsql1.dbt3.internal;60;1654126324;2;79.66;0.00;17.22;0.00;0.00;3.12
pgsql1.dbt3.internal;60;1654126324;3;74.50;0.00;20.65;0.00;0.00;4.85
pgsql1.dbt3.internal;60;1654126324;4;78.81;0.00;17.66;0.00;0.00;3.54
pgsql1.dbt3.internal;60;1654126324;5;78.60;0.00;17.90;0.00;0.00;3.50
pgsql1.dbt3.internal;60;1654126384;-1;77.87;0.00;19.18;0.00;0.00;2.95
pgsql1.dbt3.internal;60;1654126384;0;80.00;0.00;17.85;0.00;0.00;2.15
pgsql1.dbt3.internal;60;1654126384;1;77.81;0.00;18.67;0.00;0.00;3.52
pgsql1.dbt3.internal;60;1654126384;2;75.67;0.00;21.60;0.00;0.00;2.74
pgsql1.dbt3.internal;60;1654126384;3;78.94;0.00;17.94;0.00;0.00;3.12
pgsql1.dbt3.internal;60;1654126384;4;74.58;0.00;21.31;0.00;0.00;4.10
pgsql1.dbt3.internal;60;1654126384;5;80.21;0.00;17.72;0.00;0.00;2.07
pgsql1.dbt3.internal;60;1654126444;-1;83.07;0.00;11.17;0.00;0.00;5.75
pgsql1.dbt3.internal;60;1654126444;0;83.47;0.00;12.20;0.00;0.00;4.33
pgsql1.dbt3.internal;60;1654126444;1;81.25;0.00;12.31;0.00;0.00;6.44
pgsql1.dbt3.internal;60;1654126444;2;84.56;0.00;9.78;0.00;0.00;5.65
pgsql1.dbt3.internal;60;1654126444;3;80.84;0.00;12.29;0.00;0.00;6.87
pgsql1.dbt3.internal;60;1654126444;4;84.68;0.00;9.57;0.00;0.00;5.75
pgsql1.dbt3.internal;60;1654126444;5;83.63;0.00;10.89;0.00;0.00;5.48
