# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
pgsql1.dbt3.internal;60;1654126024;lo;59.63;59.63;21.61;21.61;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126024;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126024;eth1;0.67;0.17;0.04;0.02;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126084;lo;37.17;37.17;5.92;5.92;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126084;eth0;0.55;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126084;eth1;0.63;0.10;0.04;0.01;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126144;lo;29.15;29.15;7.28;7.28;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126144;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126144;eth1;0.63;0.12;0.04;0.01;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126204;lo;89.13;89.13;12.46;12.46;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126204;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126204;eth1;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126264;lo;27.22;27.22;4.77;4.77;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126264;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126264;eth1;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126324;lo;27.43;27.43;6.69;6.69;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126324;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126324;eth1;0.58;0.05;0.04;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126384;lo;20.58;20.58;4.51;4.51;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126384;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126384;eth1;0.58;0.07;0.04;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126444;lo;42.28;42.28;8.30;8.30;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126444;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126444;eth1;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
