ctime,relname,pid,mode,granted
1653668794.284706,customer,17318,AccessShareLock,t
1653668794.284706,customer,17238,AccessShareLock,t
1653668794.284706,customer,17237,AccessShareLock,t
1653668794.284706,customer,17316,AccessShareLock,t
1653668794.284706,customer,17236,AccessShareLock,t
1653668794.284706,customer,17317,AccessShareLock,t
1653668794.284706,customer_c_mktsegment_c_custkey_idx,17316,AccessShareLock,t
1653668794.284706,customer_c_mktsegment_c_custkey_idx,17236,AccessShareLock,t
1653668794.284706,customer_c_nationkey_c_custkey_idx,17236,AccessShareLock,t
1653668794.284706,customer_c_nationkey_c_custkey_idx,17316,AccessShareLock,t
1653668794.284706,customer_c_phone_c_acctbal_c_custkey_idx,17316,AccessShareLock,t
1653668794.284706,customer_c_phone_c_acctbal_c_custkey_idx,17236,AccessShareLock,t
1653668794.284706,customer_c_phone_idx_c_acctbal,17316,AccessShareLock,t
1653668794.284706,customer_c_phone_idx_c_acctbal,17236,AccessShareLock,t
1653668794.284706,lineitem,17238,AccessShareLock,t
1653668794.284706,lineitem,17237,AccessShareLock,t
1653668794.284706,lineitem,17303,AccessShareLock,t
1653668794.284706,lineitem,17304,AccessShareLock,t
1653668794.284706,lineitem,17318,AccessShareLock,t
1653668794.284706,lineitem,17317,AccessShareLock,t
1653668794.284706,lineitem,17236,AccessShareLock,t
1653668794.284706,lineitem,17302,AccessShareLock,t
1653668794.284706,lineitem,17316,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_idx_l_returnflag,17236,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_idx_l_returnflag,17316,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_idx_l_returnflag,17302,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_idx_part2,17236,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_idx_part2,17316,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_idx_part2,17302,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_l_suppkey_idx,17302,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_l_suppkey_idx,17316,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_l_suppkey_idx,17236,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_l_suppkey_l_quantity_idx,17302,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_l_suppkey_l_quantity_idx,17318,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_l_suppkey_l_quantity_idx,17317,AccessShareLock,t
1653668794.284706,lineitem_l_orderkey_l_suppkey_l_quantity_idx,17236,AccessShareLock,t
